TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
504	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	2400000	56181.2	56181.2	0	195751	99.9777	65.2653	
1006	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	1200000	29080.4	29080.4	0	378174	99.9768	38.6933	
1509	[[0][1,2,3,4,5,]]	5	2400000	26357.8	26357.8	0	189653	99.9766	47.031	
2010	[[0][1,2,3,4,5,]]	5	1500000	16442.1	16442.1	0	304023	99.9758	27.1223	
2513	[[0][1,2,]]	2	2400000	10486.5	10486.5	0	190671	99.9737	32.0116	
3015	[[0][1,2,3,4,5,]]	5	2400000	26276	26276	0	190243	99.9765	39.9029	
3516	[[0][1,2,3,4,5,]]	5	1500000	16463.4	16463.4	0	303630	99.9759	29.3794	
4017	[[0][1,2,3,4,5,]]	5	1500000	16475.6	16469.5	0.0522278	303519	99.976	29.1915	
4517	[[0][1,2,3,4,5,]]	5	1500000	16523.1	16487.4	0.191069	303191	99.976	31.122	
5017	[[0][1,2,3,4,5,]]	5	1500000	16492.8	16488.7	0.156875	303166	99.9762	32.0813	
5518	[[0][1,2,3,4,5,]]	5	1500000	16503.2	16491.6	0.141379	303113	99.9764	32.5122	
6018	[[0][1,2,3,4,5,]]	5	1500000	16493.4	16491.9	0.126526	303108	99.9764	32.8836	
6518	[[0][1,2,3,4,5,]]	5	1500000	16505.7	16493.9	0.119724	303072	99.9765	33.1182	
7019	[[0][1,2,3,4,5,]]	5	1500000	16501	16494.8	0.111879	303056	99.9766	32.7362	
7519	[[0][1,2,3,4,5,]]	5	1500000	16486.9	16493.9	0.105849	303072	99.9766	32.7319	
8020	[[0][1,2,3,4,5,]]	5	1500000	16481.2	16492.6	0.102752	303095	99.9767	32.5677	
8520	[[0][1,2,3,4,5,]]	5	1500000	16514.1	16497.7	0.088897	303003	99.9768	33.1523	
9021	[[0][1,2,3,4,5,]]	5	1500000	16484.7	16498.6	0.0810489	302986	99.9768	33.7896	
