#Fraction	PrimaryRequired	PrimaryFound	SecondaryOptimal	SecondaryFound	Loss
0.1	27.1105	25.062	35.4423	39.5027	11.4563671094
0.2	45.221	43.036	27.7913	41.3346	48.7321571859
0.3	63.3315	59.063	24.6974	32.5236	31.6883558593
0.4	81.442	72.572	21.8923	31.6453	44.5499102424
0.5	99.5525	95.576	20.7511	34.8963	68.1660249336
0.6	117.663	73.077	20.3952	30.6001	50.0357927355
0.7	135.7735	73.08	19.4297	28.803	48.2421241707
0.8	153.884	143.607	19.4297	29.0613	49.5715322419
0.9	171.9945	167.14	19.4297	24.6132	26.6782297205
1.0	190.105	73.078	17.8594	30.9671	73.3938430182
