TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
198	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	2400000	58177.6	58177.6	0	189036	99.9788	65.8255	65.8255	
576	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	1200000	29140	29140	0	377396	99.9757	31.824	31.824	
775	[[0][1,2,3,4,5,]]	5	2400000	26386.7	26386.7	0	189444	99.976	39.7294	39.7294	
1153	[[0][1,2,3,4,5,]]	5	1200000	13237.2	13237.2	0	377629	99.9743	23.3895	23.3895	
1352	[[0][1,2,]]	2	2400000	10555.7	10555.7	0	189420	99.9728	36.0429	36.0429	
1730	[[0][1,2,]]	2	1200000	5303.43	5303.43	0	377009	99.9721	19.0937	19.0937	
1928	[[0][1,]]	1	2400000	5297.79	5297.79	0	188721	99.9805	28.2789	28.2789	
2275	[[0][1,]]	1	1300000	2886.56	2886.56	0	346362	99.9794	18.5471	18.5471	
3276	[[0][1,]]	1	1300000	2879.25	2885.82	0.0759663	346450	99.9795	18.4672	18.5391	
4277	[[0][1,]]	1	1300000	2880.07	2885.25	0.0937015	346520	99.9796	18.6411	18.5493	
5277	[[0][1,]]	1	1300000	2855.1	2882.23	0.326225	346885	99.9794	18.6065	18.555	
6278	[[0][1,]]	1	1300000	2882.63	2882.27	0.309508	346881	99.9796	18.6141	18.5609	
7278	[[0][1,]]	1	1300000	2885.84	2882.63	0.29592	346838	99.9797	18.5446	18.5593	
8279	[[0][1,]]	1	1300000	2870.4	2881.41	0.308354	346986	99.9798	18.6133	18.5647	
9279	[[0][1,]]	1	1300000	2885.25	2881.79	0.295218	346940	99.9799	18.5754	18.5657	
10280	[[0][1,]]	1	1300000	2885.51	2882.16	0.282691	346895	99.98	18.9553	18.6047	
11280	[[0][1,]]	1	1300000	2881.98	2882.14	0.268193	346897	99.9801	18.5946	18.6037	
12281	[[0][1,]]	1	1300000	2875.26	2881.46	0.2644	346980	99.9801	18.7466	18.618	
13281	[[0][1,]]	1	1300000	2887.31	2882.04	0.258089	346910	99.9801	18.9252	18.6487	
14282	[[0][1,]]	1	1300000	2886.71	2882.51	0.249589	346854	99.9802	18.8755	18.6714	
15282	[[0][1,]]	1	1300000	2871.29	2881.39	0.264114	346989	99.9803	18.7138	18.6756	
16283	[[0][1,]]	1	1300000	2886.37	2881.89	0.255832	346929	99.9803	18.6302	18.6711	
17283	[[0][1,]]	1	1300000	2886.35	2882.33	0.247069	346875	99.9803	19.3135	18.7353	
18284	[[0][1,]]	1	1300000	2881.61	2882.26	0.234518	346884	99.9804	18.5786	18.7196	
19284	[[0][1,]]	1	1300000	2882.49	2882.28	0.222494	346881	99.9805	18.5403	18.7017	
20285	[[0][1,]]	1	1300000	2887.19	2882.77	0.217139	346822	99.9805	19.5561	18.7872	
21285	[[0][1,]]	1	1300000	2887.01	2883.2	0.210642	346771	99.9805	19.2822	18.8367	
22286	[[0][1,]]	1	1300000	2872.71	2882.15	0.227772	346898	99.9805	18.514	18.8044	
23286	[[0][1,]]	1	1300000	2887.95	2882.73	0.224314	346828	99.9805	18.4329	18.7672	
24286	[[0][1,]]	1	1300000	2886	2883.06	0.215486	346788	99.9806	18.525	18.743	
25287	[[0][1,]]	1	1300000	2880.31	2882.78	0.206432	346822	99.9806	18.4132	18.71	
26287	[[0][1,]]	1	1300000	2879.2	2882.42	0.199384	346865	99.9807	18.5675	18.6958	
27288	[[0][1,]]	1	1300000	2887.38	2882.92	0.196039	346805	99.9807	18.4074	18.6669	
28288	[[0][1,]]	1	1300000	2886.85	2883.31	0.190403	346758	99.9807	18.632	18.6635	
29289	[[0][1,]]	1	1300000	2877.28	2882.71	0.191275	346830	99.9807	18.4697	18.6441	
30289	[[0][1,]]	1	1300000	2886.38	2883.08	0.185425	346786	99.9808	18.4737	18.627	
31290	[[0][1,]]	1	1300000	2887.63	2883.53	0.182152	346731	99.9808	18.4041	18.6047	
32290	[[0][1,]]	1	1300000	2879.01	2883.08	0.179131	346786	99.9807	19.2564	18.6699	
33291	[[0][1,]]	1	1300000	2881.02	2882.87	0.171301	346811	99.9808	18.3999	18.6429	
34291	[[0][1,]]	1	1300000	2887.27	2883.31	0.168807	346758	99.9808	18.5194	18.6306	
35292	[[0][1,]]	1	1300000	2887.55	2883.74	0.166083	346707	99.9808	18.4686	18.6144	
36292	[[0][1,]]	1	1300000	2877.78	2883.14	0.169344	346778	99.9808	18.4722	18.6001	
37293	[[0][1,]]	1	1300000	2887.53	2883.58	0.166997	346726	99.9808	18.4545	18.5856	
38293	[[0][1,]]	1	1300000	2887.01	2883.92	0.16238	346684	99.9808	18.7286	18.5999	
39294	[[0][1,]]	1	1300000	2878.65	2883.4	0.163543	346747	99.9808	18.4769	18.5876	
40294	[[0][1,]]	1	1300000	2881.91	2883.25	0.15593	346765	99.9808	18.4474	18.5736	
41294	[[0][1,]]	1	1300000	2886.09	2883.53	0.150835	346731	99.9808	19.4279	18.659	
42295	[[0][1,]]	1	1300000	2884.99	2883.68	0.143886	346714	99.9808	18.895	18.6826	
43295	[[0][1,]]	1	1300000	2879	2883.21	0.144928	346770	99.9808	18.5655	18.6709	
44296	[[0][1,]]	1	1300000	2888.24	2883.71	0.14709	346710	99.9809	18.5533	18.6591	
45296	[[0][1,]]	1	1300000	2887.23	2884.06	0.144246	346667	99.9809	18.5394	18.6472	
46297	[[0][1,]]	1	1300000	2877.66	2883.42	0.152214	346744	99.9808	18.5249	18.6349	
47297	[[0][1,]]	1	1300000	2887.25	2883.81	0.149781	346698	99.9808	18.5576	18.6272	
48298	[[0][1,]]	1	1300000	2887.22	2884.15	0.146435	346657	99.9808	18.5764	18.6221	
49298	[[0][1,]]	1	1300000	2885.53	2884.29	0.139653	346640	99.9808	18.4455	18.6045	
50299	[[0][1,]]	1	1300000	2878.81	2883.74	0.144246	346706	99.9808	18.5803	18.602	
51299	[[0][1,]]	1	1300000	2887.75	2884.14	0.143044	346658	99.9808	18.4583	18.5877	
52300	[[0][1,]]	1	1300000	2887.57	2884.48	0.140298	346617	99.9808	18.5326	18.5822	
53300	[[0][1,]]	1	1300000	2878.25	2883.86	0.148086	346692	99.9809	18.5554	18.5795	
54301	[[0][1,]]	1	1300000	2885.62	2884.03	0.141671	346671	99.9808	18.6092	18.5825	
55301	[[0][1,]]	1	1300000	2887.57	2884.39	0.139317	346628	99.9808	19.1428	18.6385	
56302	[[0][1,]]	1	1300000	2884.23	2884.37	0.132179	346630	99.9808	18.4805	18.6227	
57302	[[0][1,]]	1	1300000	2876.23	2883.56	0.151328	346728	99.9808	18.5202	18.6124	
58303	[[0][1,]]	1	1300000	2886.7	2883.87	0.147218	346690	99.9808	18.5849	18.6097	
59303	[[0][1,]]	1	1300000	2887.34	2884.22	0.144229	346648	99.9808	18.5385	18.6026	
60304	[[0][1,]]	1	1300000	2877.77	2883.57	0.152433	346726	99.9808	18.5835	18.6007	
61304	[[0][1,]]	1	1300000	2887.46	2883.96	0.150149	346679	99.9808	18.5499	18.5956	
62305	[[0][1,]]	1	1300000	2887.09	2884.28	0.146087	346642	99.9808	18.5873	18.5947	
63305	[[0][1,]]	1	1300000	2883.65	2884.21	0.138744	346649	99.9808	18.5533	18.5906	
64306	[[0][1,]]	1	1300000	2882.03	2883.99	0.133586	346675	99.9807	18.522	18.5837	
65306	[[0][1,]]	1	1300000	2888.23	2884.42	0.134159	346624	99.9807	19.5017	18.6755	
66306	[[0][1,]]	1	1300000	2887.05	2884.68	0.130169	346592	99.9807	18.6944	18.6774	
67307	[[0][1,]]	1	1300000	2873.74	2883.59	0.167984	346724	99.9807	18.5738	18.6671	
68307	[[0][1,]]	1	1300000	2887.32	2883.96	0.163999	346680	99.9808	18.5033	18.6507	
