TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
504	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	40808.9	40808.9	0	293987	99.9773	44.0684	
1007	[[0][1,2,3,4,5,6,7,]]	7	2000000	30809.8	30809.8	0	227147	99.9766	41.7513	
1511	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	51277.3	51277.3	0	350946	99.9751	45.1075	
2038	[[0][1,]]	1	1700000	3766.78	3766.78	0	265426	99.9798	23.2542	
2540	[[0][1,2,3,4,]]	4	1700000	14945.1	14945.1	0	267583	99.9764	27.6897	
3066	[[0][1,2,]]	2	1200000	5299.07	5299.07	0	377329	99.9746	19.241	
3566	[[0][1,2,]]	2	1200000	5295.19	5297.13	0.0518316	377466	99.9743	19.9557	
4067	[[0][1,2,]]	2	1200000	5264.65	5286.3	0.356632	378239	99.9734	20.1445	
4567	[[0][1,2,]]	2	1200000	5296.54	5288.86	0.306736	378054	99.9731	19.9931	
5068	[[0][1,2,]]	2	1200000	5294.42	5289.97	0.269709	377973	99.9728	20.1213	
5568	[[0][1,2,]]	2	1200000	5285.5	5289.23	0.243721	378027	99.9731	20.1337	
6069	[[0][1,2,]]	2	1200000	5268.84	5286.31	0.266095	378236	99.9732	20.047	
6569	[[0][1,2,]]	2	1200000	5294.65	5287.36	0.252531	378161	99.973	20.0506	
7070	[[0][1,2,]]	2	1200000	5300.45	5288.81	0.250167	378057	99.9731	19.9858	
7570	[[0][1,2,]]	2	1200000	5271.53	5287.08	0.257595	378181	99.9732	19.9634	
8071	[[0][1,2,]]	2	1200000	5280.29	5285.21	0.247225	378315	99.9731	20.0994	
8571	[[0][1,2,]]	2	1200000	5295.39	5285.23	0.247558	378314	99.9731	20.0495	
9072	[[0][1,2,]]	2	1200000	5295.43	5288.31	0.211567	378094	99.9734	20.067	
9572	[[0][1,2,]]	2	1200000	5282.28	5286.88	0.20669	378196	99.9734	20.1748	
10072	[[0][1,2,]]	2	1200000	5302.11	5287.65	0.222339	378142	99.9736	20.0604	
10573	[[0][1,2,]]	2	1200000	5300.75	5289.17	0.234764	378033	99.9736	20.0011	
11074	[[0][1,2,]]	2	1200000	5302.42	5292.53	0.202815	377793	99.9737	20.1055	
11574	[[0][1,2,]]	2	1200000	5274.69	5290.53	0.228134	377938	99.9741	20.1119	
12074	[[0][1,2,]]	2	1200000	5298.72	5290.36	0.225372	377951	99.9743	20.2315	
12575	[[0][1,2,]]	2	1200000	5294.93	5292.7	0.187967	377783	99.9744	20.2966	
13075	[[0][1,2,]]	2	1200000	5288.64	5293.54	0.172027	377723	99.9743	20.2558	
13576	[[0][1,2,]]	2	1200000	5274.92	5291.49	0.203895	377869	99.9742	20.2495	
14076	[[0][1,2,]]	2	1200000	5300.93	5292.04	0.210623	377830	99.9741	20.2173	
14577	[[0][1,2,]]	2	1200000	5301.33	5293.94	0.20625	377694	99.974	20.165	
15077	[[0][1,2,]]	2	1200000	5287.15	5292.45	0.202143	377800	99.974	20.2789	
15578	[[0][1,2,]]	2	1200000	5294.37	5291.81	0.195258	377845	99.974	20.3796	
16078	[[0][1,2,]]	2	1200000	5296.89	5291.26	0.185917	377884	99.9738	20.3879	
16579	[[0][1,2,]]	2	1200000	5290.64	5292.85	0.15053	377769	99.9735	20.4164	
17079	[[0][1,2,]]	2	1200000	5257.23	5288.7	0.254743	378065	99.9731	20.3648	
17580	[[0][1,2,]]	2	1200000	5291.08	5288.32	0.252045	378092	99.9729	20.385	
18080	[[0][1,2,]]	2	1200000	5291.09	5288.56	0.252585	378074	99.9729	20.4302	
18580	[[0][1,2,]]	2	1200000	5292.71	5290.34	0.236198	377947	99.973	20.4768	
19081	[[0][1,2,]]	2	1200000	5278.89	5288.14	0.233802	378104	99.9729	20.4949	
19581	[[0][1,2,]]	2	1200000	5302.74	5288.28	0.237083	378095	99.9732	20.5505	
20082	[[0][1,2,]]	2	1200000	5300.33	5289.6	0.247395	378001	99.9731	20.5273	
20582	[[0][1,2,]]	2	1200000	5295.13	5289.67	0.248007	377995	99.9728	20.4783	
21083	[[0][1,2,]]	2	1200000	5273.41	5287.33	0.260426	378162	99.9728	20.3441	
21583	[[0][1,2,]]	2	1200000	5303.28	5288.59	0.277179	378072	99.9728	20.2699	
22083	[[0][1,2,]]	2	1200000	5301.13	5292.98	0.190522	377759	99.9732	20.328	
22584	[[0][1,2,]]	2	1200000	5287.49	5292.62	0.193142	377784	99.9731	20.3369	
23084	[[0][1,2,]]	2	1200000	5272.89	5290.8	0.226648	377915	99.9731	20.2541	
23585	[[0][1,2,]]	2	1200000	5296.06	5291.13	0.228627	377891	99.9731	20.1562	
24085	[[0][1,2,]]	2	1200000	5295.27	5292.77	0.214263	377774	99.9733	20.1482	
24586	[[0][1,2,]]	2	1200000	5280.79	5290.58	0.21399	377931	99.9733	20.0991	
25086	[[0][1,2,]]	2	1200000	5301.99	5290.74	0.217195	377920	99.9735	20.126	
25587	[[0][1,2,]]	2	1200000	5303.74	5291.61	0.229797	377860	99.9737	20.1248	
26087	[[0][1,2,]]	2	1200000	5303.56	5294.62	0.204147	377645	99.9739	20.2618	
26587	[[0][1,2,]]	2	1200000	5282.23	5292.52	0.207526	377796	99.9742	20.3552	
27088	[[0][1,2,]]	2	1200000	5303.15	5292.72	0.211155	377781	99.9741	20.3223	
