#Fraction	PrimaryRequired	PrimaryFound	SecondaryOptimal	SecondaryFound	Loss
0.1	27.1105	26.088	35.4423	37.1084	4.70088002189
0.2	45.221	41.605	27.7913	30.0212	8.02373404627
0.3	63.3315	60.623	24.6974	26.1767	5.98969932058
0.4	81.442	73.131	21.8923	24.8896	13.6911151409
0.5	99.5525	90.653	20.7511	23.404	12.7843825147
0.6	117.663	90.147	20.3952	23.4571	15.0128461599
0.7	135.7735	119.169	19.4297	22.1447	13.9734530127
0.8	153.884	119.672	19.4297	22.0921	13.7027334442
0.9	171.9945	119.671	19.4297	22.1247	13.8705178155
1.0	190.105	177.718	17.8594	20.5647	15.1477653225
