TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
503	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	40887.9	40887.9	0	293421	99.9769	43.8699	
1006	[[0][1,2,3,4,5,6,7,]]	7	2000000	30788.4	30788.4	0	227307	99.9775	41.9073	
1510	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	51298.8	51298.8	0	350797	99.9747	44.5524	
2035	[[0][1,2,3,4,5,]]	5	1200000	13225.6	13225.6	0	377966	99.9764	24.6782	
2539	[[0][1,2,3,4,]]	4	1700000	14964.6	14964.6	0	267236	99.9773	28.5632	
3062	[[0][1,2,3,4,5,6,]]	6	1200000	15870.2	15870.2	0	377981	99.9771	26.1302	
3562	[[0][1,2,3,4,5,6,]]	6	1200000	15871.9	15871	0.00766925	377961	99.9773	26.3338	
4063	[[0][1,2,3,4,5,6,]]	6	1200000	15871.7	15871.3	0.00593326	377955	99.977	26.069	
4563	[[0][1,2,3,4,5,6,]]	6	1200000	15886.5	15875.1	0.0483494	377864	99.9771	25.9598	
5064	[[0][1,2,3,4,5,6,]]	6	1200000	15890.1	15878.1	0.0595307	377793	99.9771	25.9825	
5564	[[0][1,2,3,4,5,6,]]	6	1200000	15886.2	15879.4	0.0571774	377761	99.9771	25.9939	
6065	[[0][1,2,3,4,5,6,]]	6	1200000	15875.4	15878.9	0.0530976	377774	99.977	26.0001	
6565	[[0][1,2,3,4,5,6,]]	6	1200000	15860.6	15876.6	0.0638646	377828	99.9769	25.9939	
7066	[[0][1,2,3,4,5,6,]]	6	1200000	15894.9	15878.6	0.0710244	377780	99.9769	25.9905	
7566	[[0][1,2,3,4,5,6,]]	6	1200000	15898.7	15880.6	0.0780057	377732	99.9768	25.9859	
8067	[[0][1,2,3,4,5,6,]]	6	1200000	15856.4	15879.2	0.0900182	377765	99.9768	25.9201	
8567	[[0][1,2,3,4,5,6,]]	6	1200000	15865.1	15878.6	0.093446	377781	99.9767	25.8703	
9068	[[0][1,2,3,4,5,6,]]	6	1200000	15888.8	15880.3	0.0941246	377740	99.9768	25.9102	
9568	[[0][1,2,3,4,5,6,]]	6	1200000	15893.6	15881	0.0971842	377723	99.9767	25.9013	
10069	[[0][1,2,3,4,5,6,]]	6	1200000	15885.6	15880.5	0.0957139	377734	99.9767	25.8397	
10569	[[0][1,2,3,4,5,6,]]	6	1200000	15893.8	15881.3	0.0988574	377716	99.9768	25.8242	
11070	[[0][1,2,3,4,5,6,]]	6	1200000	15892.3	15883	0.100106	377676	99.9769	25.8105	
11570	[[0][1,2,3,4,5,6,]]	6	1200000	15866.2	15883.5	0.0950034	377663	99.9769	25.8087	
12070	[[0][1,2,3,4,5,6,]]	6	1200000	15880.5	15882.1	0.091706	377697	99.9769	25.7684	
12571	[[0][1,2,3,4,5,6,]]	6	1200000	15901.5	15882.4	0.094096	377691	99.977	25.7714	
13071	[[0][1,2,3,4,5,6,]]	6	1200000	15888.4	15885.6	0.074772	377615	99.9771	25.8217	
13572	[[0][1,2,3,4,5,6,]]	6	1200000	15892.2	15888.3	0.0600335	377550	99.9771	25.8188	
14072	[[0][1,2,3,4,5,6,]]	6	1200000	15884.8	15887.9	0.0604046	377560	99.9772	25.7823	
14573	[[0][1,2,3,4,5,6,]]	6	1200000	15906.4	15889.2	0.0702687	377530	99.9773	25.7813	
15073	[[0][1,2,3,4,5,6,]]	6	1200000	15897.7	15890.4	0.0716607	377501	99.9773	25.7505	
15574	[[0][1,2,3,4,5,6,]]	6	1200000	15893	15890.3	0.071508	377503	99.9772	25.7204	
16074	[[0][1,2,3,4,5,6,]]	6	1200000	15866.7	15887.8	0.0851895	377563	99.9772	25.6935	
16575	[[0][1,2,3,4,5,6,]]	6	1200000	15856	15886.7	0.0979849	377588	99.9772	25.7089	
17075	[[0][1,2,3,4,5,6,]]	6	1200000	15891.7	15887.9	0.0973767	377561	99.9772	25.7132	
17575	[[0][1,2,3,4,5,6,]]	6	1200000	15889.1	15886.6	0.0927383	377590	99.9771	25.7172	
18076	[[0][1,2,3,4,5,6,]]	6	1200000	15876.4	15885.4	0.0947777	377619	99.9771	25.7273	
18576	[[0][1,2,3,4,5,6,]]	6	1200000	15889.9	15885.2	0.0941623	377624	99.9771	25.7331	
19077	[[0][1,2,3,4,5,6,]]	6	1200000	15887.3	15885.4	0.0942514	377618	99.9771	25.7788	
19577	[[0][1,2,3,4,5,6,]]	6	1200000	15910	15885.8	0.0980016	377610	99.9771	25.7778	
20078	[[0][1,2,3,4,5,6,]]	6	1200000	15881.1	15884.1	0.0946409	377649	99.977	25.7788	
20578	[[0][1,2,3,4,5,6,]]	6	1200000	15891.6	15884	0.094101	377652	99.977	25.7768	
21079	[[0][1,2,3,4,5,6,]]	6	1200000	15890.9	15886.4	0.0865715	377595	99.977	25.769	
21579	[[0][1,2,3,4,5,6,]]	6	1200000	15889	15889.7	0.0546611	377517	99.9772	25.7609	
22080	[[0][1,2,3,4,5,6,]]	6	1200000	15903.4	15890.9	0.0611338	377489	99.9771	25.7875	
22580	[[0][1,2,3,4,5,6,]]	6	1200000	15891.7	15891.1	0.0610223	377483	99.9772	25.7435	
23081	[[0][1,2,3,4,5,6,]]	6	1200000	15888.6	15892.4	0.0522568	377454	99.9772	25.7469	
23581	[[0][1,2,3,4,5,6,]]	6	1200000	15889	15892.3	0.0524888	377456	99.9771	25.7335	
24082	[[0][1,2,3,4,5,6,]]	6	1200000	15889.5	15892.5	0.0517644	377451	99.9771	25.6847	
24582	[[0][1,2,3,4,5,6,]]	6	1200000	15916.3	15893.1	0.0617294	377436	99.9771	25.7242	
25083	[[0][1,2,3,4,5,6,]]	6	1200000	15893.2	15894.3	0.0557507	377407	99.9771	25.7596	
