#Fraction	PrimaryRequired	PrimaryFound	SecondaryOptimal	SecondaryFound	Loss
0.1	27.1105	26.087	35.4423	37.2123	4.99403255432
0.2	45.221	41.601	27.7913	30.2093	8.70056456517
0.3	63.3315	60.616	24.6974	26.1043	5.69655105396
0.4	81.442	72.63	21.8923	24.7105	12.8730192808
0.5	99.5525	90.147	20.7511	23.361	12.577164584
0.6	117.663	90.145	20.3952	23.4194	14.8279987448
0.7	135.7735	119.673	19.4297	21.9327	12.8823399229
0.8	153.884	119.669	19.4297	21.9974	13.2153352857
0.9	171.9945	119.174	19.4297	21.9537	12.9904218799
1.0	190.105	169.241	17.8594	24.2927	36.0219268284
