TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
577	[[0][1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,]]	12	1600000	42146.2	42146.2	0	556688	99.9869	44.4639	44.4639	
1483	[[0][1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,]]	7	2000000	30588.7	30588.7	0	765943	99.9926	38.9867	38.9867	
2193	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,]]	18	1300000	50812.4	50812.4	0	507578	99.9812	44.1722	44.1722	
6592	[[0][1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,]]	2	1200000	5292.31	5292.31	0	4.34918e+06	99.9074	19.1271	19.1271	
8205	[[0][1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,]]	4	1700000	14927.2	14927.2	0	1.54968e+06	99.996	27.7585	27.7585	
16151	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2876.29	2876.29	0	7.99672e+06	99.9989	18.5386	18.5386	
20172	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2849.69	2873.63	0.277743	8.00355e+06	99.9912	18.5201	18.5367	
24184	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2871.37	2873.4	0.264571	8.00423e+06	99.9919	18.4996	18.533	
28132	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2869.38	2873	0.254528	8.0054e+06	99.9926	18.6032	18.54	
32198	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2874.73	2873.17	0.242125	8.00289e+06	99.9672	18.5602	18.542	
36196	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2864.51	2872.31	0.246932	8.00484e+06	99.9612	18.583	18.5461	
40183	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2863.61	2871.44	0.251347	8.00696e+06	99.9574	18.541	18.5456	
44230	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2866.11	2870.91	0.244918	8.00878e+06	99.9616	18.753	18.5664	
48190	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2874.01	2871.22	0.234572	8.00764e+06	99.9579	18.6907	18.5788	
52236	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2869.12	2871.01	0.223622	8.00773e+06	99.9516	18.5281	18.5737	
56210	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2872.03	2871.11	0.212409	8.00782e+06	99.9564	18.5645	18.5728	
60243	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2863.6	2870.36	0.216311	8.01025e+06	99.9606	18.5704	18.5726	
64244	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2866.75	2870	0.208673	8.01156e+06	99.9645	18.524	18.5677	
68285	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2872.96	2870.29	0.200354	8.01101e+06	99.9679	18.5806	18.569	
72289	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2861.64	2869.43	0.21057	8.0129e+06	99.9614	18.5573	18.5678	
76292	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2868.48	2869.33	0.200017	8.01286e+06	99.9577	18.5757	18.5686	
80298	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2877.61	2870.16	0.208506	8.01087e+06	99.9618	18.5789	18.5696	
84297	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2870.68	2870.21	0.197878	8.01101e+06	99.9656	18.5566	18.5683	
88296	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2863.57	2869.55	0.200211	8.01313e+06	99.9689	18.577	18.5692	
92307	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2872.41	2869.83	0.192268	8.01119e+06	99.9545	18.8371	18.596	
96330	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2866.99	2869.55	0.184836	8.01182e+06	99.9524	18.6436	18.6008	
100354	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2863.68	2868.96	0.185823	8.01272e+06	99.9431	18.5743	18.5981	
104357	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2867.81	2868.85	0.176706	8.01347e+06	99.9487	18.7193	18.6102	
108354	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2875.23	2869.49	0.180415	8.0115e+06	99.9464	18.6748	18.6167	
112328	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2874.85	2870.02	0.180063	8.00992e+06	99.9451	18.6083	18.6159	
116368	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2864.38	2869.46	0.180749	8.01001e+06	99.9268	18.5454	18.6088	
120389	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2865.62	2869.07	0.176121	8.01055e+06	99.9199	18.8293	18.6309	
124414	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2868.02	2868.97	0.167456	8.01062e+06	99.9172	18.7904	18.6468	
128415	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2872.22	2869.29	0.162447	8.00922e+06	99.9112	18.7634	18.6585	
132434	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2868.6	2869.22	0.154285	8.0101e+06	99.92	18.5363	18.6463	
136438	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2868.47	2869.15	0.146586	8.00984e+06	99.914	18.5649	18.6381	
140465	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2869.54	2869.19	0.139122	8.00869e+06	99.901	18.5317	18.6275	
144488	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2866.09	2868.88	0.135912	8.01034e+06	99.9108	18.6159	18.6263	
148496	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2865.05	2868.5	0.135023	8.01211e+06	99.9196	18.5894	18.6226	
152515	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2872.86	2868.93	0.135975	8.00976e+06	99.9058	18.594	18.6198	
156475	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2864.63	2868.5	0.136637	8.0117e+06	99.9151	18.5672	18.6145	
160463	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2877.07	2869.36	0.157554	8.00943e+06	99.9166	18.6357	18.6166	
164499	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2874.02	2869.83	0.157191	8.00765e+06	99.9104	18.8275	18.6377	
168528	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2864.16	2869.26	0.16047	8.00939e+06	99.9123	18.6733	18.6413	
172528	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2866.24	2868.96	0.155493	8.01093e+06	99.921	18.5423	18.6314	
176556	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2869.75	2869.04	0.147742	8.01132e+06	99.9288	18.5865	18.6269	
180580	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2868.99	2869.03	0.140162	8.01115e+06	99.9266	18.5851	18.6227	
184579	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2865.76	2868.7	0.137319	8.01102e+06	99.9134	18.5881	18.6193	
188542	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2872.93	2869.13	0.137552	8.00991e+06	99.9143	18.6201	18.6193	
192572	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1300000	2873.7	2869.58	0.138949	8.00931e+06	99.9228	18.639	18.6213	
