TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
295	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	42312.3	42312.3	0	283541	99.9773	43.4173	43.4173	
527	[[0][1,2,3,4,5,6,7,]]	7	2000000	30876.6	30876.6	0	226662	99.9794	38.7784	38.7784	
920	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	45657.1	45657.1	0	394114	99.9569	42.7706	42.7706	
1163	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	2400000	57650.3	57650.3	0	190768	99.9804	58.8209	58.8209	
1433	[[0][1,2,3,4,]]	4	1700000	14998.3	14998.3	0	266639	99.9781	27.5627	27.5627	
1815	[[0][1,]]	1	1300000	2861.6	2861.6	0	349377	99.9777	18.5744	18.5744	
2816	[[0][1,]]	1	1300000	2877.55	2863.19	0.167116	349185	99.978	18.4645	18.5634	
3817	[[0][1,]]	1	1300000	2882.06	2865.08	0.253267	348957	99.9783	18.4074	18.5478	
4817	[[0][1,]]	1	1300000	2885.17	2867.09	0.319084	348714	99.9785	18.7016	18.5632	
5818	[[0][1,]]	1	1300000	2844.45	2864.83	0.384703	348992	99.9786	18.4579	18.5527	
6819	[[0][1,]]	1	1300000	2866.65	2865.01	0.365439	348970	99.9788	18.4869	18.5461	
7819	[[0][1,]]	1	1300000	2859.72	2864.48	0.351149	349034	99.9789	18.6456	18.556	
8820	[[0][1,]]	1	1300000	2857.08	2863.74	0.342121	349125	99.9791	18.4942	18.5499	
9821	[[0][1,]]	1	1300000	2875.87	2864.95	0.348424	348978	99.9792	18.3966	18.5345	
10821	[[0][1,]]	1	1300000	2886.84	2867.14	0.401945	348713	99.9794	18.4591	18.527	
11822	[[0][1,]]	1	1300000	2886.01	2869.03	0.429105	348485	99.9796	18.4726	18.5216	
12823	[[0][1,]]	1	1300000	2870.35	2869.16	0.407299	348469	99.9797	18.4804	18.5174	
13823	[[0][1,]]	1	1300000	2887.04	2870.95	0.429003	348253	99.9799	18.4998	18.5157	
14824	[[0][1,]]	1	1300000	2887.08	2872.56	0.440254	348058	99.98	19.4528	18.6094	
15825	[[0][1,]]	1	1300000	2876.37	2872.94	0.419501	348012	99.9801	19.2686	18.6753	
16825	[[0][1,]]	1	1300000	2882.32	2873.88	0.409721	347898	99.9801	18.4822	18.656	
17826	[[0][1,]]	1	1300000	2887.21	2875.21	0.412671	347738	99.9803	18.6209	18.6525	
18827	[[0][1,]]	1	1300000	2885.32	2876.22	0.405313	347615	99.9803	18.4834	18.6356	
19827	[[0][1,]]	1	1300000	2875.79	2876.18	0.384546	347620	99.9804	18.3749	18.6095	
20828	[[0][1,]]	1	1300000	2886.09	2877.17	0.379041	347501	99.9804	18.4959	18.5981	
21829	[[0][1,]]	1	1300000	2887.53	2878.21	0.375329	347376	99.9805	18.4626	18.5846	
22829	[[0][1,]]	1	1300000	2875.3	2877.92	0.357391	347410	99.9805	18.4344	18.5696	
23830	[[0][1,]]	1	1300000	2884.25	2878.55	0.34535	347334	99.9806	18.3709	18.5497	
24831	[[0][1,]]	1	1300000	2886.05	2879.3	0.336732	347243	99.9806	18.4252	18.5373	
25831	[[0][1,]]	1	1300000	2885.05	2879.88	0.324964	347174	99.9807	18.6679	18.5503	
