TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
295	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	42288	42288	0	283701	99.976	43.4163	43.4163	
526	[[0][1,2,3,4,5,6,7,]]	7	2000000	30879.7	30879.7	0	226633	99.9762	38.6568	38.6568	
881	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	51365	51365	0	350338	99.9726	44.3347	44.3347	
1280	[[0][1,]]	1	1300000	2879.54	2879.54	0	347204	99.9789	18.599	18.599	
1550	[[0][1,2,3,4,]]	4	1700000	14968.5	14968.5	0	267161	99.9749	27.4929	27.4929	
1932	[[0][1,]]	1	1300000	2883.27	2883.27	0	346759	99.9798	18.5645	18.5645	
2932	[[0][1,]]	1	1300000	2882.74	2883.21	0.0054698	346765	99.9799	18.5563	18.5637	
3933	[[0][1,]]	1	1300000	2879.53	2882.85	0.0386439	346810	99.9799	18.4705	18.5543	
4933	[[0][1,]]	1	1300000	2868.02	2881.36	0.158662	346989	99.9799	18.4954	18.5485	
5934	[[0][1,]]	1	1300000	2856.36	2878.86	0.300967	347292	99.9797	19.4181	18.6354	
6934	[[0][1,]]	1	1300000	2881.34	2879.11	0.286659	347262	99.9799	19.4881	18.7207	
7935	[[0][1,]]	1	1300000	2883.99	2879.6	0.27661	347204	99.98	19.4306	18.7917	
8935	[[0][1,]]	1	1300000	2865.74	2878.21	0.299651	347372	99.9801	18.5151	18.764	
9936	[[0][1,]]	1	1300000	2884.47	2878.84	0.291599	347296	99.98	18.4552	18.7331	
10936	[[0][1,]]	1	1300000	2884.25	2879.38	0.282268	347231	99.9801	19.4625	18.8061	
11937	[[0][1,]]	1	1300000	2878.9	2879.33	0.267834	347236	99.9802	19.3843	18.8639	
12937	[[0][1,]]	1	1300000	2872.96	2878.69	0.262686	347313	99.9802	18.4707	18.8246	
13937	[[0][1,]]	1	1300000	2885.63	2879.39	0.259407	347230	99.9802	19.4002	18.8821	
14938	[[0][1,]]	1	1300000	2884.4	2879.89	0.25154	347169	99.9803	19.4104	18.935	
15938	[[0][1,]]	1	1300000	2869.28	2878.83	0.263084	347298	99.9803	19.2948	18.9709	
16939	[[0][1,]]	1	1300000	2884.23	2879.37	0.255809	347233	99.9804	18.4432	18.9182	
17939	[[0][1,]]	1	1300000	2884.15	2879.85	0.247692	347175	99.9805	18.5291	18.8793	
18939	[[0][1,]]	1	1300000	2879.3	2879.79	0.235054	347182	99.9805	19.632	18.9545	
19940	[[0][1,]]	1	1300000	2877.7	2879.58	0.224067	347207	99.9806	19.581	19.0172	
20940	[[0][1,]]	1	1300000	2883.66	2879.99	0.216734	347158	99.9806	18.6752	18.983	
21941	[[0][1,]]	1	1300000	2885.8	2880.57	0.2143	347088	99.9806	19.4585	19.0305	
22941	[[0][1,]]	1	1300000	2870.51	2879.57	0.228777	347209	99.9806	19.377	19.0652	
23942	[[0][1,]]	1	1300000	2884.55	2880.06	0.223114	347149	99.9806	19.35	19.0937	
24942	[[0][1,]]	1	1300000	2882.95	2880.35	0.213761	347114	99.9807	18.5634	19.0406	
25943	[[0][1,]]	1	1300000	2877.56	2880.07	0.204884	347148	99.9807	18.5144	18.988	
26943	[[0][1,]]	1	1300000	2882.27	2880.29	0.195704	347121	99.9807	19.4786	19.0371	
27944	[[0][1,]]	1	1300000	2884.71	2880.73	0.191245	347068	99.9807	19.4447	19.0778	
28944	[[0][1,]]	1	1300000	2885.23	2881.18	0.187354	347014	99.9807	18.4933	19.0194	
29945	[[0][1,]]	1	1300000	2876.61	2880.73	0.184031	347069	99.9808	18.4189	18.9593	
30945	[[0][1,]]	1	1300000	2885.58	2881.21	0.181722	347011	99.9808	19.5724	19.0206	
31945	[[0][1,]]	1	1300000	2886.03	2881.69	0.179514	346953	99.9808	19.5545	19.074	
32946	[[0][1,]]	1	1300000	2877.16	2881.24	0.17676	347007	99.9809	18.5023	19.0168	
33947	[[0][1,]]	1	1300000	2880.3	2881.15	0.167979	347019	99.9808	18.4425	18.9594	
34947	[[0][1,]]	1	1300000	2885.7	2881.6	0.166241	346964	99.9808	19.3904	19.0025	
35948	[[0][1,]]	1	1300000	2885.69	2882.01	0.163339	346914	99.9809	19.2781	19.0301	
36948	[[0][1,]]	1	1300000	2870.2	2880.83	0.197908	347057	99.9809	18.4226	18.9693	
37948	[[0][1,]]	1	1300000	2885.09	2881.26	0.192895	347006	99.9809	19.4813	19.0205	
