TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
325	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	34477.9	34477.9	0	283660	81.4997	45.5771	45.5771	
670	[[0][1,2,3,4,5,6,7,]]	7	2000000	27825.8	27825.8	0	228121	90.6806	38.3405	38.3405	
1232	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	39766	39766	0	350505	77.4341	43.8409	43.8409	
1574	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2400000	120902	120902	0	190193	99.9765	98.1784	98.1784	
1990	[[0][1,2,3,4,]]	4	1700000	12113.4	12113.4	0	266486	80.7011	27.2308	27.2308	
2602	[[0][1,2,3,]]	3	1200000	6011.16	6011.16	0	376563	75.4527	20.2707	20.2707	
3602	[[0][1,2,3,]]	3	1200000	7942.43	6204.29	9.33838	376669	77.905	20.3623	20.2799	
4603	[[0][1,2,3,]]	3	1200000	7912.94	6375.15	11.7892	376906	80.1121	20.6863	20.3205	
5604	[[0][1,2,3,]]	3	1200000	7932.59	6530.9	13.0527	377025	82.0985	20.3346	20.3219	
6604	[[0][1,2,3,]]	3	1200000	7963.36	6674.14	13.7216	376986	83.8862	20.329	20.3226	
7605	[[0][1,2,3,]]	3	1200000	7935.93	6800.32	13.9359	377081	85.4952	20.8304	20.3734	
8605	[[0][1,2,3,]]	3	1200000	7944.4	6914.73	13.9173	377126	86.9433	20.7151	20.4076	
9606	[[0][1,2,3,]]	3	1200000	7951.2	7018.38	13.7419	377135	88.2466	20.3977	20.4066	
10607	[[0][1,2,3,]]	3	1200000	7952.04	7111.74	13.4549	377139	89.4196	20.4271	20.4086	
11607	[[0][1,2,3,]]	3	1200000	7956.46	7196.21	13.0969	377121	90.4752	20.4286	20.4106	
12608	[[0][1,2,3,]]	3	1200000	7951.36	7271.73	12.6843	377129	91.4253	20.589	20.4285	
13608	[[0][1,2,3,]]	3	1200000	7953.63	7339.92	12.2431	377126	92.2803	20.7242	20.458	
14609	[[0][1,2,3,]]	3	1200000	7951	7401.03	11.7822	377135	93.0499	21.1062	20.5229	
15609	[[0][1,2,3,]]	3	1200000	7953.66	7456.29	11.3154	377131	93.7426	20.7609	20.5467	
16610	[[0][1,2,3,]]	3	1200000	7961.03	7506.76	10.8516	377093	94.366	20.7924	20.5712	
17610	[[0][1,2,3,]]	3	1200000	7946.44	7550.73	10.3828	377128	94.927	20.4844	20.5625	
18611	[[0][1,2,3,]]	3	1200000	7954.34	7591.09	9.92664	377121	95.432	20.5288	20.5592	
19611	[[0][1,2,3,]]	3	1200000	7956.14	7627.6	9.48151	377107	95.8865	20.9663	20.5999	
20612	[[0][1,2,3,]]	3	1200000	7955.69	7660.41	9.04812	377097	96.2955	20.7767	20.6176	
21613	[[0][1,2,3,]]	3	1200000	7961.96	7690.56	8.63068	377057	96.6635	20.481	20.6039	
22613	[[0][1,2,3,]]	3	1200000	7953.85	7716.89	8.22379	377060	96.9949	20.8869	20.6322	
23614	[[0][1,2,3,]]	3	1200000	7950.56	7740.26	7.83077	377079	97.2931	20.9332	20.6623	
24614	[[0][1,2,3,]]	3	1200000	7955.5	7761.78	7.45489	377072	97.5615	20.5423	20.6503	
25615	[[0][1,2,3,]]	3	1200000	7958.58	7781.46	7.09512	377051	97.803	20.3797	20.6232	
26615	[[0][1,2,3,]]	3	1200000	7953.92	7798.71	6.74883	377054	98.0203	20.9416	20.6551	
27616	[[0][1,2,3,]]	3	1200000	7955.12	7814.35	6.41784	377051	98.2159	21.0019	20.6898	
28616	[[0][1,2,3,]]	3	1200000	7954.29	7828.34	6.10123	377053	98.3919	21.0158	20.7224	
29617	[[0][1,2,3,]]	3	1200000	7956.5	7841.16	5.79944	377044	98.5504	20.6815	20.7183	
30617	[[0][1,2,3,]]	3	1200000	7958.99	7852.94	5.51199	377024	98.693	20.4382	20.6903	
31618	[[0][1,2,3,]]	3	1200000	7958.62	7863.51	5.23764	377007	98.8214	20.5142	20.6727	
32618	[[0][1,2,3,]]	3	1200000	7953.12	7872.47	4.97494	377019	98.9368	20.3577	20.6412	
33619	[[0][1,2,3,]]	3	1200000	7954.01	7880.63	4.72497	377024	99.0406	20.3175	20.6088	
34620	[[0][1,2,3,]]	3	1200000	7955.03	7888.07	4.4872	377025	99.1341	20.317	20.5796	
35620	[[0][1,2,3,]]	3	1200000	7958.04	7895.06	4.26146	377011	99.2183	20.3469	20.5564	
36621	[[0][1,2,3,]]	3	1200000	7953.45	7900.9	4.04587	377020	99.2941	20.6651	20.5672	
37621	[[0][1,2,3,]]	3	1200000	7952.63	7906.08	3.84076	377033	99.3624	20.336	20.5441	
38622	[[0][1,2,3,]]	3	1200000	7954.74	7910.94	3.64609	377034	99.4237	20.3006	20.5198	
39623	[[0][1,2,3,]]	3	1200000	7954.73	7915.32	3.46106	377034	99.4789	20.2908	20.4969	
40623	[[0][1,2,3,]]	3	1200000	7959.99	7919.79	3.28595	377010	99.5286	20.3259	20.4798	
41624	[[0][1,2,3,]]	3	1200000	7954.32	7923.24	3.11871	377015	99.5733	20.4002	20.4718	
42624	[[0][1,2,3,]]	3	1200000	7954.06	7926.32	2.95982	377022	99.6136	20.4004	20.4647	
43625	[[0][1,2,3,]]	3	1200000	7954.17	7929.11	2.80892	377027	99.6499	20.3842	20.4566	
44625	[[0][1,2,3,]]	3	1200000	7947.66	7930.96	2.66508	377062	99.6825	20.7208	20.483	
45626	[[0][1,2,3,]]	3	1200000	7961.44	7934.01	2.52997	377029	99.712	20.3946	20.4742	
46626	[[0][1,2,3,]]	3	1200000	7956.08	7936.22	2.40092	377024	99.7383	20.872	20.514	
47627	[[0][1,2,3,]]	3	1200000	7952.24	7937.82	2.27806	377038	99.7622	20.8702	20.5496	
48628	[[0][1,2,3,]]	3	1200000	7955.08	7939.55	2.16167	377037	99.7836	20.4774	20.5424	
49628	[[0][1,2,3,]]	3	1200000	7955.44	7941.13	2.05121	377034	99.8028	20.4117	20.5293	
50629	[[0][1,2,3,]]	3	1200000	7961.76	7943.2	1.947	377001	99.8201	20.7923	20.5556	
