TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
296	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	42297.3	42297.3	0	283636	99.9751	43.3298	43.3298	
527	[[0][1,2,3,4,5,6,7,]]	7	2000000	30851.7	30851.7	0	226841	99.9771	38.8844	38.8844	
887	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	50221.8	50221.8	0	358298	99.9678	44.3795	44.3795	
1300	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23804.7	23804.7	0	377977	99.9735	28.4264	28.4264	
1571	[[0][1,2,3,4,]]	4	1700000	15026.5	15026.5	0	266132	99.9755	27.3668	27.3668	
1979	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23866.4	23866.4	0	377006	99.9753	28.421	28.421	
2980	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23829.5	23862.7	0.0464599	377066	99.9756	28.4296	28.4219	
3980	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23655.9	23842	0.263997	377396	99.9758	28.8976	28.4694	
4981	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23850.1	23842.8	0.250649	377384	99.976	28.9273	28.5152	
5982	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23836.6	23842.2	0.237921	377394	99.9763	28.5352	28.5172	
6982	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23843	23842.3	0.225713	377394	99.9765	28.5513	28.5206	
7983	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23851.9	23843.3	0.21446	377379	99.9767	28.6197	28.5305	
8984	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23840.3	23843	0.203491	377385	99.9769	28.5206	28.5295	
9984	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23848.6	23843.5	0.193173	377376	99.9771	28.5097	28.5276	
10985	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23834.8	23842.6	0.183594	377390	99.9772	28.913	28.5661	
11986	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23853	23843.7	0.174648	377374	99.9774	28.8901	28.5985	
12986	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23852.4	23844.6	0.16604	377361	99.9775	28.8238	28.621	
13987	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23844.4	23844.5	0.15752	377362	99.9776	28.4744	28.6064	
14988	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23846.5	23844.7	0.149455	377359	99.9777	28.8927	28.635	
15988	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23847.5	23845	0.141828	377354	99.9778	28.9158	28.6631	
16989	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23842.4	23844.7	0.134593	377359	99.9779	28.8265	28.6794	
17989	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23842.2	23844.5	0.127727	377363	99.9779	28.4363	28.6551	
18990	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23841	23844.1	0.121252	377369	99.9781	28.4418	28.6338	
19991	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23852.7	23845	0.115526	377355	99.9781	28.9781	28.6682	
20991	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23852.2	23845.7	0.10997	377344	99.9782	28.9986	28.7012	
21992	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23844.6	23845.6	0.104337	377346	99.9783	28.5504	28.6862	
22992	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23855.9	23846.6	0.0998138	377330	99.9783	29.0019	28.7177	
23993	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23844.5	23846.4	0.0947302	377334	99.9784	28.9974	28.7457	
24994	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23842.2	23846	0.0900287	377341	99.9784	28.8948	28.7606	
25994	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23854.6	23846.9	0.0860898	377327	99.9784	28.5024	28.7348	
26995	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23841.8	23846.4	0.0819167	377335	99.9784	29.0303	28.7643	
27995	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23841.4	23845.9	0.0779641	377343	99.9784	29.0234	28.7902	
28996	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23848.6	23846.1	0.0740419	377339	99.9784	28.923	28.8035	
29997	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23848.9	23846.4	0.0703254	377334	99.9784	28.511	28.7743	
30997	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23853.6	23847.1	0.0673196	377323	99.9784	28.4936	28.7462	
31998	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23841.8	23846.6	0.0642107	377331	99.9785	28.9754	28.7691	
32999	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23852.5	23847.2	0.0613641	377322	99.9785	28.9086	28.7831	
33999	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23849.2	23847.4	0.0582686	377319	99.9785	28.5822	28.763	
35000	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23843.7	23847	0.0554772	377325	99.9786	29.0184	28.7885	
36001	[[0][1,2,3,4,5,6,7,8,9,]]	9	1200000	23852.9	23847.6	0.0531445	377316	99.9786	28.9681	28.8065	
