TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
242	[[0][1,2,3,4,5,6,7,8,9,]]	9	1900000	37690.1	37690.1	0	238733	99.9761	45.9293	45.9293	
461	[[0][1,2,3,4,5,]]	5	2100000	23146.8	23146.8	0	215966	99.9784	41.0765	41.0765	
766	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,]]	14	1600000	45561.3	45561.3	0	307173	99.9635	46.2802	46.2802	
1184	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31713.7	31713.7	0	378287	99.9739	32.4606	32.4606	
1387	[[0][1,]]	1	2300000	5081.58	5081.58	0	196744	99.9769	27.3588	27.3588	
1790	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31719.9	31719.9	0	378209	99.9731	32.673	32.673	
2792	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31682.4	31716.2	0.0355261	378256	99.9736	32.6569	32.6714	
3792	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31548.9	31699.5	0.161918	378458	99.9739	32.6918	32.6734	
4793	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31713.4	31700.9	0.154167	378443	99.9744	32.6936	32.6754	
5793	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31676.2	31698.4	0.148109	378474	99.9747	32.5728	32.6652	
6794	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31613.7	31689.9	0.161816	378576	99.975	32.5683	32.6555	
7795	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31719.3	31692.9	0.155992	378542	99.9753	32.5651	32.6464	
8795	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31702.4	31693.8	0.148259	378532	99.9756	32.6026	32.6421	
9796	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31602.4	31684.7	0.165165	378642	99.9758	32.5176	32.6296	
10796	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31727.2	31688.9	0.161759	378592	99.976	32.6058	32.6272	
11797	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31725.3	31692.6	0.157249	378549	99.9762	32.6223	32.6267	
12798	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31735.7	31696.9	0.154648	378498	99.9764	32.5891	32.623	
13798	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31686.2	31695.8	0.147067	378511	99.9766	32.6194	32.6226	
14799	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31683.7	31694.6	0.139997	378526	99.9767	32.5789	32.6183	
15799	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31724.5	31697.6	0.135784	378491	99.9769	32.6738	32.6238	
16800	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31732.7	31701.1	0.133008	378450	99.9771	32.7061	32.632	
17801	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31726.4	31703.6	0.128418	378420	99.9772	32.6886	32.6377	
18801	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31729.2	31706.2	0.124207	378390	99.9773	32.5631	32.6302	
19802	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31724.7	31708	0.119119	378368	99.9773	32.5647	32.6237	
20802	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31715.7	31708.8	0.11324	378359	99.9774	32.5635	32.6177	
21803	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31729.1	31710.8	0.109119	378335	99.9775	32.5375	32.6097	
22804	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31731.1	31712.9	0.105283	378311	99.9776	32.5161	32.6003	
23804	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31661.7	31707.7	0.111014	378372	99.9776	32.5783	32.5981	
24805	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31734	31710.4	0.108201	378341	99.9777	32.6365	32.6019	
25806	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31722.9	31711.6	0.10333	378326	99.9777	32.6655	32.6083	
26806	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31732.5	31713.7	0.0999933	378302	99.9777	32.5841	32.6059	
27807	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31726.9	31715	0.0956694	378286	99.9777	32.5198	32.5973	
28807	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31733.6	31716.9	0.0924452	378264	99.9778	32.4308	32.5806	
29808	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31731.7	31718.4	0.0888091	378246	99.9778	32.4923	32.5718	
30808	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1200000	31721.2	31718.7	0.0842932	378243	99.9779	25.7316	31.8878	
