TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
504	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	40642.5	40642.5	0	295192	99.9776	44.1635	
1007	[[0][1,2,3,4,5,6,7,]]	7	2000000	30662.3	30662.3	0	228244	99.9782	41.5072	
1511	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	50981.9	50981.9	0	352980	99.9752	44.6599	
2040	[[0][1,]]	1	1200000	2651.27	2651.27	0	377099	99.9791	20.5239	
2544	[[0][1,2,3,4,]]	4	1700000	14885.4	14885.4	0	268657	99.977	29.0554	
3070	[[0][1,2,3,4,5,]]	5	1200000	13170	13170	0	379566	99.9776	24.458	
3571	[[0][1,2,3,4,5,]]	5	1200000	13154.9	13162.4	0.0811347	379783	99.9772	24.8069	
4071	[[0][1,2,3,4,5,]]	5	1200000	13139.6	13154.8	0.115592	380003	99.9773	24.3527	
4572	[[0][1,2,3,4,5,]]	5	1200000	13162.9	13156.8	0.099195	379945	99.9773	24.462	
5072	[[0][1,2,3,4,5,]]	5	1200000	13145.6	13154.6	0.0940489	380009	99.9772	24.4138	
5573	[[0][1,2,3,4,5,]]	5	1200000	13145.6	13153.1	0.0886172	380053	99.9772	24.4093	
6073	[[0][1,2,3,4,5,]]	5	1200000	13175.7	13156.3	0.10374	379959	99.9772	24.4368	
6574	[[0][1,2,3,4,5,]]	5	1200000	13153	13155.9	0.0964622	379971	99.9772	24.4575	
7074	[[0][1,2,3,4,5,]]	5	1200000	13144	13154.6	0.0951336	380010	99.9772	24.4868	
7575	[[0][1,2,3,4,5,]]	5	1200000	13187.3	13157.9	0.11926	379916	99.9773	24.4708	
8075	[[0][1,2,3,4,5,]]	5	1200000	13165.5	13157.4	0.116801	379928	99.9773	24.4405	
8576	[[0][1,2,3,4,5,]]	5	1200000	13136.9	13155.6	0.1269	379981	99.9773	24.3418	
9076	[[0][1,2,3,4,5,]]	5	1200000	13173	13158.9	0.125215	379884	99.9773	24.4713	
9577	[[0][1,2,3,4,5,]]	5	1200000	13170.4	13159.7	0.128016	379863	99.9774	24.4615	
10077	[[0][1,2,3,4,5,]]	5	1200000	13173.5	13162.5	0.125794	379782	99.9775	24.5021	
10578	[[0][1,2,3,4,5,]]	5	1200000	13190.9	13167	0.133529	379652	99.9777	24.53	
11078	[[0][1,2,3,4,5,]]	5	1200000	13171.2	13166.6	0.132093	379666	99.9777	24.5338	
11578	[[0][1,2,3,4,5,]]	5	1200000	13154.9	13166.8	0.130923	379660	99.9778	24.5234	
12079	[[0][1,2,3,4,5,]]	5	1200000	13163.6	13168.7	0.116794	379604	99.9778	24.4723	
12579	[[0][1,2,3,4,5,]]	5	1200000	13153.1	13165.3	0.110664	379702	99.9777	24.5086	
13080	[[0][1,2,3,4,5,]]	5	1200000	13168.6	13165.6	0.11094	379694	99.9778	24.5636	
13580	[[0][1,2,3,4,5,]]	5	1200000	13191.2	13171	0.0965237	379537	99.9779	24.6152	
14081	[[0][1,2,3,4,5,]]	5	1200000	13173.9	13171.1	0.0966687	379535	99.978	24.5557	
14581	[[0][1,2,3,4,5,]]	5	1200000	13172.2	13171.3	0.0966811	379530	99.978	24.4998	
15082	[[0][1,2,3,4,5,]]	5	1200000	13189.5	13172.9	0.10617	379484	99.978	24.5059	
15582	[[0][1,2,3,4,5,]]	5	1200000	13172.6	13171.1	0.0948586	379536	99.978	24.4904	
16083	[[0][1,2,3,4,5,]]	5	1200000	13168.4	13170.8	0.0950781	379544	99.978	24.4451	
16583	[[0][1,2,3,4,5,]]	5	1200000	13189.4	13174.3	0.0941428	379445	99.978	24.4501	
17084	[[0][1,2,3,4,5,]]	5	1200000	13173.9	13175.3	0.0897872	379415	99.9781	24.4977	
17584	[[0][1,2,3,4,5,]]	5	1200000	13162.7	13176.3	0.0765744	379388	99.9781	24.4957	
