#Fraction	PrimaryRequired	PrimaryFound	SecondaryOptimal	SecondaryFound	Loss
0.1	25.33326	24.7796	55.029	73.136	32.9044685529
0.2	32.80712	32.0518	30.014	35.102	16.9520890251
0.3	40.28098	39.7975	22.008	23.594	7.20647037441
0.4	47.75484	47.0631	17.005	17.597	3.48132902088
0.5	55.2287	52.4332	15.003	16.088	7.23188695594
0.6	62.70256	59.1069	13.002	14.078	8.27564990002
0.7	70.17642	64.5382	12.001	13.072	8.92425631197
0.8	77.65028	70.5849	11.001	12.073	9.74456867557
0.9	85.12414	75.6481	10.0	11.57	15.7
1.0	92.598	82.7198	9.0	10.569	17.4333333333
