TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
506	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	40798.1	40798.1	0	294062	99.976	45.1303	
1009	[[0][1,2,3,4,5,6,7,]]	7	2000000	30792.3	30792.3	0	227277	99.9768	42.5672	
1514	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	51303.2	51303.2	0	350769	99.9751	44.5401	
2044	[[0][1,]]	1	1200000	2667.8	2667.8	0	374761	99.9786	19.5659	
2548	[[0][1,2,3,4,]]	4	1700000	14935.7	14935.7	0	267754	99.977	28.8443	
3073	[[0][1,2,3,4,5,]]	5	1200000	13228.4	13228.4	0	377887	99.9766	24.0472	
3574	[[0][1,2,3,4,5,]]	5	1200000	13234.3	13231.3	0.0317363	377800	99.976	24.3196	
4074	[[0][1,2,3,4,5,]]	5	1200000	13210.6	13224.4	0.0933433	377997	99.9759	24.4188	
4575	[[0][1,2,3,4,5,]]	5	1200000	13229.4	13225.7	0.0784762	377963	99.9761	24.4032	
5076	[[0][1,2,3,4,5,]]	5	1200000	13233.5	13227.2	0.0728947	377919	99.9762	24.4358	
5576	[[0][1,2,3,4,5,]]	5	1200000	13227.3	13227.2	0.0651999	377918	99.9763	24.4632	
6076	[[0][1,2,3,4,5,]]	5	1200000	13212.4	13225.1	0.0730959	377979	99.9763	24.4828	
6577	[[0][1,2,3,4,5,]]	5	1200000	13219.7	13224.4	0.0692222	377998	99.9762	24.4285	
7078	[[0][1,2,3,4,5,]]	5	1200000	13229.1	13225	0.0658221	377983	99.9763	24.4517	
7578	[[0][1,2,3,4,5,]]	5	1200000	13235.3	13226	0.0668112	377954	99.9763	24.474	
8079	[[0][1,2,3,4,5,]]	5	1200000	13240.8	13227.2	0.0756105	377918	99.9763	24.487	
8579	[[0][1,2,3,4,5,]]	5	1200000	13228.9	13226.7	0.0734681	377935	99.9765	24.4939	
9080	[[0][1,2,3,4,5,]]	5	1200000	13243.9	13230	0.0701036	377840	99.9766	24.4496	
9580	[[0][1,2,3,4,5,]]	5	1200000	13240.7	13231.2	0.0745512	377807	99.9765	24.4766	
10081	[[0][1,2,3,4,5,]]	5	1200000	13199.5	13227.8	0.105679	377904	99.9763	24.4271	
10581	[[0][1,2,3,4,5,]]	5	1200000	13206.8	13225.7	0.117064	377962	99.9762	24.2948	
11082	[[0][1,2,3,4,5,]]	5	1200000	13215.7	13226	0.114925	377952	99.9761	24.2545	
11582	[[0][1,2,3,4,5,]]	5	1200000	13224.8	13226.5	0.113774	377938	99.9762	24.3101	
12083	[[0][1,2,3,4,5,]]	5	1200000	13245.4	13228.2	0.122387	377892	99.9763	24.2375	
12583	[[0][1,2,3,4,5,]]	5	1200000	13223.5	13227	0.121269	377926	99.9763	24.1195	
13084	[[0][1,2,3,4,5,]]	5	1200000	13206.7	13223.6	0.124001	378023	99.9761	24.1623	
13584	[[0][1,2,3,4,5,]]	5	1200000	13241.6	13224.8	0.131024	377986	99.976	24.1344	
14085	[[0][1,2,3,4,5,]]	5	1200000	13230.8	13223.5	0.122424	378023	99.9759	24.0795	
14585	[[0][1,2,3,4,5,]]	5	1200000	13226.1	13222.1	0.114096	378065	99.9759	24.0553	
15086	[[0][1,2,3,4,5,]]	5	1200000	13247.4	13226.9	0.111308	377928	99.9761	23.9495	
15586	[[0][1,2,3,4,5,]]	5	1200000	13235.1	13229.7	0.0986784	377847	99.9761	24.0738	
16087	[[0][1,2,3,4,5,]]	5	1200000	13229.9	13231.1	0.0914478	377807	99.9763	24.0278	
16587	[[0][1,2,3,4,5,]]	5	1200000	13244.8	13233.1	0.095016	377750	99.9763	23.8762	
17088	[[0][1,2,3,4,5,]]	5	1200000	13236.6	13232.3	0.090042	377775	99.9762	23.9371	
17588	[[0][1,2,3,4,5,]]	5	1200000	13232	13233.1	0.0870134	377751	99.9762	24.0373	
18089	[[0][1,2,3,4,5,]]	5	1200000	13247.5	13237.2	0.0584065	377635	99.9763	23.9424	
18589	[[0][1,2,3,4,5,]]	5	1200000	13190.7	13232.1	0.123847	377780	99.9763	23.8438	
19090	[[0][1,2,3,4,5,]]	5	1200000	13201	13229.1	0.144567	377865	99.9762	23.8371	
19590	[[0][1,2,3,4,5,]]	5	1200000	13251.7	13231.7	0.153788	377792	99.9762	23.8483	
20091	[[0][1,2,3,4,5,]]	5	1200000	13232.3	13230.2	0.148104	377835	99.9761	24.0041	
20591	[[0][1,2,3,4,5,]]	5	1200000	13227.4	13229.4	0.147615	377857	99.9762	24.0082	
21092	[[0][1,2,3,4,5,]]	5	1200000	13256.8	13232.1	0.161537	377781	99.9763	24.0866	
21592	[[0][1,2,3,4,5,]]	5	1200000	13235.9	13231.2	0.158499	377806	99.9763	24.2288	
22093	[[0][1,2,3,4,5,]]	5	1200000	13222.6	13229.8	0.159032	377846	99.9762	24.14	
22593	[[0][1,2,3,4,5,]]	5	1200000	13237.4	13230.3	0.160022	377830	99.9762	24.0288	
23094	[[0][1,2,3,4,5,]]	5	1200000	13195.2	13225.1	0.172769	377979	99.976	24.0241	
23595	[[0][1,2,3,4,5,]]	5	1200000	13184.3	13224.5	0.181338	377998	99.9761	24.0387	
24095	[[0][1,2,3,4,5,]]	5	1200000	13230.4	13227.4	0.170459	377915	99.9763	24.091	
24596	[[0][1,2,3,4,5,]]	5	1200000	13201.2	13222.3	0.167505	378059	99.9762	24.0078	
25096	[[0][1,2,3,4,5,]]	5	1200000	13234.6	13222.6	0.168483	378052	99.9762	24.0111	
25596	[[0][1,2,3,4,5,]]	5	1200000	13256.3	13225.5	0.186883	377970	99.9763	24.0052	
26097	[[0][1,2,3,4,5,]]	5	1200000	13226.6	13222.5	0.167722	378056	99.9763	23.938	
26598	[[0][1,2,3,4,5,]]	5	1200000	13214.6	13220.3	0.16458	378116	99.9762	23.8582	
27098	[[0][1,2,3,4,5,]]	5	1200000	13251.2	13223.2	0.180493	378035	99.9762	23.9641	
27599	[[0][1,2,3,4,5,]]	5	1200000	13224.4	13221.9	0.17665	378072	99.9762	24.0189	
28099	[[0][1,2,3,4,5,]]	5	1200000	13225.7	13224.9	0.161752	377985	99.9763	23.9666	
28600	[[0][1,2,3,4,5,]]	5	1200000	13253.5	13231.9	0.133464	377787	99.9764	24.0246	
29100	[[0][1,2,3,4,5,]]	5	1200000	13229.2	13231.8	0.133573	377789	99.9762	23.9711	
29601	[[0][1,2,3,4,5,]]	5	1200000	13229.5	13234.6	0.107022	377709	99.9762	24.0688	
30101	[[0][1,2,3,4,5,]]	5	1200000	13253.4	13236.5	0.116078	377656	99.9763	24.0185	
30602	[[0][1,2,3,4,5,]]	5	1200000	13192.6	13230.1	0.14357	377837	99.9763	23.8911	
31102	[[0][1,2,3,4,5,]]	5	1200000	13198	13227.2	0.163038	377919	99.9761	23.9657	
31603	[[0][1,2,3,4,5,]]	5	1200000	13241.3	13229.9	0.162381	377843	99.9762	24.0522	
32103	[[0][1,2,3,4,5,]]	5	1200000	13233	13228.1	0.152784	377896	99.9764	23.9435	
32604	[[0][1,2,3,4,5,]]	5	1200000	13235	13229.1	0.153269	377865	99.9764	24.0021	
33104	[[0][1,2,3,4,5,]]	5	1200000	13250	13231.6	0.160632	377796	99.9765	24.0134	
33605	[[0][1,2,3,4,5,]]	5	1200000	13223.5	13228.6	0.150298	377882	99.9765	23.9623	
34105	[[0][1,2,3,4,5,]]	5	1200000	13229.6	13228.6	0.15031	377882	99.9767	24.0492	
34606	[[0][1,2,3,4,5,]]	5	1200000	13242.3	13229.9	0.153846	377846	99.9767	23.8969	
35106	[[0][1,2,3,4,5,]]	5	1200000	13228.6	13227.4	0.140626	377916	99.9766	23.8446	
35607	[[0][1,2,3,4,5,]]	5	1200000	13226.2	13230.7	0.106697	377820	99.9766	23.9726	
36108	[[0][1,2,3,4,5,]]	5	1200000	13255.3	13236.5	0.0793674	377656	99.9767	23.9754	
36608	[[0][1,2,3,4,5,]]	5	1200000	13231.5	13235.5	0.0790685	377684	99.9767	23.9742	
37108	[[0][1,2,3,4,5,]]	5	1200000	13237.4	13235.9	0.0788866	377671	99.9766	24.0663	
37609	[[0][1,2,3,4,5,]]	5	1200000	13255.4	13238	0.0914641	377614	99.9767	24.0674	
38109	[[0][1,2,3,4,5,]]	5	1200000	13230.4	13236	0.0869889	377670	99.9768	24.1867	
38610	[[0][1,2,3,4,5,]]	5	1200000	13225.2	13236.2	0.0854823	377665	99.9768	24.1364	
39110	[[0][1,2,3,4,5,]]	5	1200000	13258.2	13239.1	0.0978563	377583	99.9766	24.1512	
39611	[[0][1,2,3,4,5,]]	5	1200000	13231.6	13238	0.098965	377613	99.9767	24.2908	
40111	[[0][1,2,3,4,5,]]	5	1200000	13218.4	13237	0.107656	377642	99.9767	24.3903	
40612	[[0][1,2,3,4,5,]]	5	1200000	13208.6	13235.2	0.125581	377692	99.9765	24.3641	
41112	[[0][1,2,3,4,5,]]	5	1200000	13236.2	13233.3	0.113944	377747	99.9765	24.3591	
41613	[[0][1,2,3,4,5,]]	5	1200000	13240.6	13234.2	0.115083	377720	99.9764	24.3586	
42113	[[0][1,2,3,4,5,]]	5	1200000	13248.3	13235.3	0.119864	377689	99.9765	24.3428	
42614	[[0][1,2,3,4,5,]]	5	1200000	13225	13232.3	0.108991	377776	99.9763	24.2641	
43114	[[0][1,2,3,4,5,]]	5	1200000	13248.3	13234	0.115265	377725	99.9763	24.2824	
43615	[[0][1,2,3,4,5,]]	5	1200000	13245.9	13236.1	0.115804	377665	99.9762	24.4269	
44115	[[0][1,2,3,4,5,]]	5	1200000	13231.7	13233.5	0.100008	377740	99.9761	24.4276	
44616	[[0][1,2,3,4,5,]]	5	1200000	13246.9	13235	0.104716	377696	99.9761	24.4273	
45116	[[0][1,2,3,4,5,]]	5	1200000	13250.2	13238.2	0.100227	377606	99.976	24.4188	
45617	[[0][1,2,3,4,5,]]	5	1200000	13234.6	13240.8	0.0644425	377532	99.9762	24.4464	
46117	[[0][1,2,3,4,5,]]	5	1200000	13247.2	13241.9	0.0648366	377500	99.976	24.4327	
46617	[[0][1,2,3,4,5,]]	5	1200000	13237.9	13241.6	0.0654801	377507	99.976	24.3834	
47118	[[0][1,2,3,4,5,]]	5	1200000	13237.1	13240.5	0.063646	377539	99.9759	24.3934	
47618	[[0][1,2,3,4,5,]]	5	1200000	13246.5	13242.6	0.0497256	377478	99.9759	24.4785	
48119	[[0][1,2,3,4,5,]]	5	1200000	13245.8	13242.4	0.0482475	377485	99.9759	24.4811	
48619	[[0][1,2,3,4,5,]]	5	1200000	13228.9	13240.7	0.0566671	377534	99.9761	24.4891	
49120	[[0][1,2,3,4,5,]]	5	1200000	13250.8	13242.6	0.0557968	377481	99.9764	24.487	
49620	[[0][1,2,3,4,5,]]	5	1200000	13240.9	13242	0.0547179	377498	99.9765	24.4855	
50121	[[0][1,2,3,4,5,]]	5	1200000	13233.8	13240.4	0.0531938	377545	99.9766	24.484	
50621	[[0][1,2,3,4,5,]]	5	1200000	13240.1	13240.9	0.0510128	377529	99.9766	24.3659	
51122	[[0][1,2,3,4,5,]]	5	1200000	13243.6	13240.5	0.0488599	377540	99.9766	24.3746	
51622	[[0][1,2,3,4,5,]]	5	1200000	13226.8	13239.4	0.0589044	377572	99.9767	24.4294	
52123	[[0][1,2,3,4,5,]]	5	1200000	13249	13240.6	0.0626839	377538	99.9767	24.4459	
52623	[[0][1,2,3,4,5,]]	5	1200000	13240.4	13240	0.060695	377556	99.9768	24.4382	
53123	[[0][1,2,3,4,5,]]	5	1200000	13226.7	13238.1	0.0660782	377610	99.9768	24.4423	
53624	[[0][1,2,3,4,5,]]	5	1200000	13248	13240	0.0649833	377556	99.9767	24.4343	
54124	[[0][1,2,3,4,5,]]	5	1200000	13230.9	13238	0.0613856	377612	99.9766	24.4085	
54625	[[0][1,2,3,4,5,]]	5	1200000	13219.6	13235.9	0.0747249	377673	99.9766	24.3372	
55125	[[0][1,2,3,4,5,]]	5	1200000	13253.1	13237.8	0.0848795	377617	99.9764	24.3451	
55626	[[0][1,2,3,4,5,]]	5	1200000	13234.3	13237.2	0.0850258	377634	99.9765	24.4704	
56126	[[0][1,2,3,4,5,]]	5	1200000	13231.1	13236	0.0843355	377670	99.9766	24.4788	
56627	[[0][1,2,3,4,5,]]	5	1200000	13252.2	13238.5	0.0884602	377597	99.9764	24.48	
57127	[[0][1,2,3,4,5,]]	5	1200000	13233.7	13237	0.0844304	377641	99.9765	24.4819	
57628	[[0][1,2,3,4,5,]]	5	1200000	13215.1	13234.5	0.0984876	377714	99.9766	24.4925	
58128	[[0][1,2,3,4,5,]]	5	1200000	13251.2	13236.9	0.103491	377643	99.9764	24.4846	
58628	[[0][1,2,3,4,5,]]	5	1200000	13226.1	13234.7	0.101849	377706	99.9765	24.4508	
59129	[[0][1,2,3,4,5,]]	5	1200000	13228.7	13234.5	0.102496	377712	99.9766	24.4846	
59629	[[0][1,2,3,4,5,]]	5	1200000	13251.6	13237.7	0.101438	377621	99.9766	24.564	
60130	[[0][1,2,3,4,5,]]	5	1200000	13237.1	13236.1	0.0928523	377667	99.9766	24.5648	
