#Fraction	PrimaryRequired	PrimaryFound	SecondaryOptimal	SecondaryFound	Loss
0.1	25.33326	24.6616	55.029	72.641	32.0049428483
0.2	32.80712	31.4477	30.014	38.109	26.9707469847
0.3	40.28098	39.828	22.008	23.097	4.94820065431
0.4	47.75484	46.5307	17.005	18.12	6.55689503087
0.5	55.2287	52.4818	15.003	16.087	7.22522162234
0.6	62.70256	59.7631	13.002	14.074	8.24488540225
0.7	70.17642	47.631	12.001	17.064	42.1881509874
0.8	77.65028	70.4044	11.001	12.074	9.75365875829
0.9	85.12414	77.0184	10.0	11.069	10.69
1.0	92.598	82.4383	9.0	10.57	17.4444444444
