TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
583	[[0][1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,]]	12	1600000	42158.1	42158.1	0	556770	99.9866	44.1585	44.1585	
1502	[[0][1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,]]	7	2000000	30231.1	30231.1	0	776019	99.9899	38.975	38.975	
2216	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,]]	18	1300000	50765.5	50765.5	0	504178	99.8695	44.0729	44.0729	
10377	[[0][1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,]]	1	1200000	2657.13	2657.13	0	8.64886e+06	99.9123	17.8567	17.8567	
11982	[[0][1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,]]	4	1700000	14833	14833	0	1.55497e+06	99.7776	27.8944	27.8944	
13864	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13212.5	13212.5	0	1.76067e+06	99.9947	23.2594	23.2594	
14885	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13192.1	13210.5	0.0465169	1.76087e+06	99.9867	23.2387	23.2573	
15905	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13237.7	13213.2	0.0759171	1.76053e+06	99.9875	23.3273	23.2643	
16925	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13228.5	13214.7	0.0799324	1.76016e+06	99.9798	23.2841	23.2663	
17944	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13223.5	13215.6	0.0783856	1.7599e+06	99.9729	23.1476	23.2545	
18962	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13244.5	13218.5	0.0991697	1.75939e+06	99.9664	23.6304	23.292	
19982	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13205.3	13217.2	0.0987252	1.75937e+06	99.9531	23.4468	23.3075	
21002	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13243	13219.8	0.110448	1.75911e+06	99.9574	23.1455	23.2913	
22022	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13222.4	13220	0.104943	1.75908e+06	99.9611	23.1494	23.2771	
23042	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13234.9	13221.5	0.10507	1.75896e+06	99.9646	23.5277	23.3022	
24062	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13238.9	13223.3	0.107158	1.7588e+06	99.9676	23.166	23.2886	
25082	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13225.7	13223.5	0.10181	1.75863e+06	99.9619	23.4337	23.3031	
26102	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13224.3	13223.6	0.096601	1.75868e+06	99.9652	23.2368	23.2965	
27122	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13243.8	13225.6	0.102454	1.75832e+06	99.9598	23.5868	23.3255	
28142	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13214.2	13224.5	0.100607	1.75847e+06	99.9633	23.2272	23.3157	
29162	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13230.9	13225.1	0.0965474	1.75814e+06	99.9496	23.2428	23.3084	
30182	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13245.3	13227.1	0.102374	1.75799e+06	99.9541	23.7047	23.348	
31202	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13210.8	13225.5	0.103956	1.75795e+06	99.9421	23.4437	23.3576	
32222	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13246	13227.5	0.109047	1.75778e+06	99.9475	23.1764	23.3395	
33242	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13239.1	13228.7	0.106689	1.75777e+06	99.9522	23.247	23.3302	
34262	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13203.1	13226.1	0.1167	1.75797e+06	99.9478	23.2333	23.3205	
35282	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13243.2	13227.8	0.117295	1.75725e+06	99.9195	23.1605	23.3045	
36302	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13233.9	13228.4	0.112109	1.75727e+06	99.9271	23.1975	23.2938	
37322	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13224.2	13228	0.106792	1.75746e+06	99.9339	23.3277	23.2972	
38339	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13145.8	13219.8	0.212309	1.75852e+06	99.94	23.2318	23.2907	
39357	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13232.9	13221.1	0.203587	1.75846e+06	99.9456	23.2822	23.2898	
40377	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13229.6	13222	0.194096	1.75851e+06	99.9506	23.4034	23.3012	
41397	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1200000	13233.2	13223.1	0.185869	1.75844e+06	99.955	23.2716	23.2982	
