TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
297	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	42199.5	42199.5	0	284289	99.9737	43.3095	43.3095	
528	[[0][1,2,3,4,5,6,7,]]	7	2000000	30825.3	30825.3	0	227031	99.976	38.8164	38.8164	
923	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	45324.9	45324.9	0	396974	99.9525	42.7667	42.7667	
1354	[[0][1,2,3,4,5,6,7,8,9,10,]]	10	1200000	26420.7	26420.7	0	378394	99.9743	29.8372	29.8372	
1625	[[0][1,2,3,4,]]	4	1700000	15001.2	15001.2	0	266576	99.9738	27.4632	27.4632	
2037	[[0][1,2,3,4,5,]]	5	1200000	13226.6	13226.6	0	377929	99.9745	23.0405	23.0405	
3039	[[0][1,2,3,4,5,]]	5	1200000	13225.6	13226.5	0.00230877	377932	99.9748	23.0611	23.0426	
4039	[[0][1,2,3,4,5,]]	5	1200000	13099.6	13213.8	0.288304	378300	99.975	23.0124	23.0396	
5040	[[0][1,2,3,4,5,]]	5	1200000	12913.8	13183.8	0.735704	379178	99.9749	23.0441	23.04	
6041	[[0][1,2,3,4,5,]]	5	1200000	13236.3	13189.1	0.70782	379026	99.9751	23.0901	23.045	
7042	[[0][1,2,3,4,5,]]	5	1200000	13247.2	13194.9	0.684085	378859	99.9755	23.0469	23.0452	
8042	[[0][1,2,3,4,5,]]	5	1200000	13244.3	13199.8	0.658385	378717	99.9757	23.1268	23.0534	
9043	[[0][1,2,3,4,5,]]	5	1200000	13248.5	13204.7	0.63406	378577	99.9759	23.273	23.0753	
10044	[[0][1,2,3,4,5,]]	5	1200000	13238.8	13208.1	0.606324	378479	99.976	23.1302	23.0808	
11044	[[0][1,2,3,4,5,]]	5	1200000	13246.3	13211.9	0.581531	378369	99.9762	23.0773	23.0805	
12045	[[0][1,2,3,4,5,]]	5	1200000	13256.8	13216.4	0.560815	378241	99.9765	23.0197	23.0744	
13046	[[0][1,2,3,4,5,]]	5	1200000	13241.8	13219	0.535044	378168	99.9766	23.1348	23.0804	
14047	[[0][1,2,3,4,5,]]	5	1200000	13241.2	13221.2	0.510009	378104	99.9768	23.0918	23.0816	
15047	[[0][1,2,3,4,5,]]	5	1200000	13249	13224	0.487835	378024	99.9769	23.5378	23.1272	
16048	[[0][1,2,3,4,5,]]	5	1200000	13243.2	13225.9	0.464791	377968	99.977	23.3776	23.1522	
17049	[[0][1,2,3,4,5,]]	5	1200000	13244.1	13227.7	0.442819	377916	99.9771	23.0733	23.1443	
18049	[[0][1,2,3,4,5,]]	5	1200000	13256.4	13230.6	0.42502	377833	99.9772	23.0353	23.1334	
19050	[[0][1,2,3,4,5,]]	5	1200000	13252.2	13232.7	0.406113	377771	99.9773	23.6923	23.1893	
20051	[[0][1,2,3,4,5,]]	5	1200000	13241.4	13233.6	0.385751	377746	99.9773	23.5656	23.2269	
21051	[[0][1,2,3,4,5,]]	5	1200000	13256.3	13235.9	0.369473	377681	99.9774	23.3344	23.2377	
22052	[[0][1,2,3,4,5,]]	5	1200000	13256.1	13237.9	0.35345	377623	99.9774	23.1135	23.2253	
23053	[[0][1,2,3,4,5,]]	5	1200000	13239.6	13238.1	0.335329	377618	99.9774	23.1569	23.2184	
24054	[[0][1,2,3,4,5,]]	5	1200000	13255.9	13239.9	0.320642	377567	99.9775	23.0957	23.2062	
