TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
287	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	42093	42093	0	285007	99.9728	44.5163	44.5163	
518	[[0][1,2,3,4,5,6,7,]]	7	2000000	30763.6	30763.6	0	227489	99.977	39.0565	39.0565	
884	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	50506.2	50506.2	0	356284	99.9696	44.1494	44.1494	
1170	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2400000	120841	120841	0	190289	99.9767	93.1197	93.1197	
1440	[[0][1,2,3,4,]]	4	1700000	15007.9	15007.9	0	266462	99.9755	27.7272	27.7272	
1673	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,]]	21	2300000	105794	105794	0	198450	99.9755	90.4822	90.4822	
2814	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	105735	105735	0	217475	99.9766	86.6217	86.6217	
3103	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	42220.8	42220.8	0	284150	99.9752	43.3189	43.3189	
3334	[[0][1,2,3,4,5,6,7,]]	7	2000000	30768.5	30768.5	0	227452	99.9767	38.9425	38.9425	
3692	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	51325.4	51325.4	0	350610	99.9734	44.6068	44.6068	
3962	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	2100000	101209	101209	0	217320	99.976	84.3385	84.3385	
4962	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	2100000	100703	101159	0.150121	217429	99.976	84.2547	84.3301	
5963	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	2100000	101050	101148	0.146023	217452	99.976	84.3321	84.3303	
6963	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	2100000	101102	101143	0.139206	217462	99.976	84.3813	84.3354	
7964	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	2100000	101105	101139	0.132552	217470	99.9761	84.2834	84.3302	
8964	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	2100000	101106	101136	0.126139	217478	99.9761	84.2341	84.3206	
9964	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	2100000	101037	101126	0.12322	217499	99.9761	84.1316	84.3017	
10965	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	2100000	101176	101131	0.117834	217488	99.9761	75.0102	83.3725	
