TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
319	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	34503.1	34503.1	0	283407	81.4869	46.7312	46.7312	
663	[[0][1,2,3,4,5,6,7,]]	7	2000000	28001.4	28001.4	0	226618	90.6518	38.3403	38.3403	
1199	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	39784.7	39784.7	0	350188	77.4006	44.3556	44.3556	
1541	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2400000	120931	120931	0	190149	99.9772	97.6599	97.6599	
1961	[[0][1,2,3,4,]]	4	1700000	12109.3	12109.3	0	266111	80.5605	27.5702	27.5702	
2503	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	51245.3	51245.3	0	325905	75.9141	54.1557	54.1557	
3504	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	64491.7	52570	7.55929	327417	78.3195	53.614	54.1015	
4505	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67494.1	54062.4	10.8265	327263	80.4852	54.6349	54.1549	
5505	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67440.3	55400.2	12.3669	327150	82.4342	54.7222	54.2116	
6506	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67486.7	56608.8	13.1476	327027	84.1884	54.7257	54.263	
7506	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67478.1	57695.7	13.4799	326919	85.7671	54.6696	54.3037	
8507	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67245.1	58650.7	13.4949	326935	87.1878	54.6508	54.3384	
9507	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67489.3	59534.5	13.3757	326831	88.4666	54.7324	54.3778	
10508	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67485.6	60329.7	13.1314	326739	89.6174	54.7861	54.4186	
11509	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67424.6	61039.1	12.797	326687	90.6532	54.6998	54.4467	
12509	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67497.9	61685	12.4171	326603	91.5854	54.8453	54.4866	
13510	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67473.9	62263.9	11.999	326540	92.4244	54.8082	54.5188	
14510	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1400000	67505.8	62788.1	11.5628	326468	93.1794	54.8532	54.5522	
14958	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	34242.2	34242.2	0	286021	81.6166	42.9794	42.9794	
15301	[[0][1,2,3,4,5,6,7,]]	7	2000000	27897	27897	0	227494	90.6629	38.5844	38.5844	
15837	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	39806.8	39806.8	0	350210	77.4485	44.4612	44.4612	
16204	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	2200000	47431.6	47431.6	0	208911	90.0818	53.6154	53.6154	
16619	[[0][1,2,3,4,]]	4	1700000	12037.5	12037.5	0	266925	80.3278	27.4024	27.4024	
17029	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1600000	63106.5	63106.5	0	285163	99.9757	48.4242	48.4242	
