TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
287	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	42301.5	42301.5	0	283607	99.9748	43.9713	43.9713	
518	[[0][1,2,3,4,5,6,7,]]	7	2000000	30865.6	30865.6	0	226738	99.9773	41.8152	41.8152	
878	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	50217	50217	0	358324	99.9646	44.3505	44.3505	
1307	[[0][1,2,3,4,5,6,7,8,]]	8	1200000	21153.5	21153.5	0	378094	99.9749	27.1564	27.1564	
1580	[[0][1,2,3,4,]]	4	1700000	14946.8	14946.8	0	267550	99.9756	27.4271	27.4271	
2011	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	44766.8	44766.8	0	379636	99.9709	39.137	39.137	
3012	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	44803.3	44770.4	0.0244749	379607	99.9714	39.6792	39.1912	
4013	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	44768.8	44770.3	0.0232444	379610	99.9719	39.7204	39.2441	
5014	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	44781.8	44771.4	0.0233666	379602	99.9723	39.7253	39.2922	
6014	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	44790.4	44773.3	0.025539	379588	99.9727	39.671	39.3301	
6305	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	42178.6	42178.6	0	284435	99.9753	43.1701	43.1701	
6536	[[0][1,2,3,4,5,6,7,]]	7	2000000	30789.1	30789.1	0	227303	99.978	38.8724	38.8724	
6891	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	51396.8	51396.8	0	350119	99.9721	44.6127	44.6127	
7291	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,]]	15	1300000	42797.8	42797.8	0	350390	99.9724	39.8772	39.8772	
8532	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42182.8	42182.8	0	379213	99.9766	38.3002	38.3002	
9533	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42190.3	42183.6	0.00533344	379206	99.9766	38.1949	38.2897	
10533	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42112.3	42176.5	0.050982	379270	99.9765	38.2743	38.2881	
11534	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42097.4	42168.6	0.0741869	379341	99.9765	38.2516	38.2845	
12535	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42188.2	42170.5	0.0717517	379323	99.9765	38.2331	38.2794	
13535	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42198.9	42173.4	0.070995	379298	99.9764	38.1881	38.2702	
14536	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42181.6	42174.2	0.0676037	379290	99.9764	38.2282	38.266	
15536	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42186.9	42175.5	0.0647667	379279	99.9764	38.2309	38.2625	
16537	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42172.6	42175.2	0.0614759	379281	99.9764	38.2251	38.2588	
17538	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42194.1	42177.1	0.0598579	379264	99.9764	38.2596	38.2589	
18538	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42128	42172.2	0.0666521	379308	99.9763	38.2792	38.2609	
19539	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42176.9	42172.6	0.0633213	379304	99.9763	38.3225	38.267	
20539	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42185.7	42173.9	0.0607852	379292	99.9762	38.3146	38.2718	
21540	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42187.9	42175.3	0.0585177	379279	99.9762	38.3522	38.2798	
22541	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42191.4	42176.9	0.056671	379265	99.9763	38.3398	38.2858	
23541	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1200000	42168.6	42176.1	0.0540889	379272	99.9763	24.4232	36.8996	
