TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
317	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1500000	59214.8	59214.8	0	303895	99.9728	51.5491	51.5491	
552	[[0][1,2,3,4,5,6,7,8,]]	8	2000000	33985.2	33985.2	0	235325	99.9692	46.2353	46.2353	
807	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	2200000	56275.5	56275.5	0	284181	99.9376	66.8759	66.8759	
1214	[[0][1,]]	1	1200000	2647.47	2647.47	0	377627	99.9759	17.702	17.702	
1457	[[0][1,2,3,4,5,]]	5	1900000	20959	20959	0	238509	99.9781	32.3978	32.3978	
1727	[[0][1,2,3,]]	3	1900000	12415.2	12415.2	0	241586	99.9775	27.8666	27.8666	
2086	[[0][1,2,]]	2	1300000	5609.99	5609.99	0	356416	99.9747	19.8243	19.8243	
2309	[[0][1,2,]]	2	2400000	10552.7	10552.7	0	189486	99.9787	30.8411	30.8411	
2513	[[0][1,2,3,4,5,]]	5	2300000	24906.2	24906.2	0	200708	99.9774	38.087	38.087	
2921	[[0][1,2,3,4,]]	4	1200000	10550.6	10550.6	0	379031	99.9746	21.7099	21.7099	
3922	[[0][1,2,3,4,]]	4	1200000	10282.8	10523.8	0.76325	380018	99.9746	21.6223	21.7011	
4922	[[0][1,2,3,4,]]	4	1200000	10594	10530.8	0.750736	379765	99.9751	21.731	21.7041	
5923	[[0][1,2,3,4,]]	4	1200000	10603.9	10538.1	0.741548	379503	99.9754	21.7304	21.7067	
6923	[[0][1,2,3,4,]]	4	1200000	10589.1	10543.2	0.717963	379319	99.9758	21.7632	21.7124	
7924	[[0][1,2,3,4,]]	4	1200000	10606.7	10549.6	0.704277	379091	99.9761	22.2036	21.7615	
8925	[[0][1,2,3,4,]]	4	1200000	10603.1	10554.9	0.684883	378899	99.9764	22.0601	21.7913	
9925	[[0][1,2,3,4,]]	4	1200000	10607.2	10560.1	0.666208	378711	99.9766	21.7918	21.7914	
10926	[[0][1,2,3,4,]]	4	1200000	10604.9	10564.6	0.644407	378551	99.9769	21.8055	21.7928	
11926	[[0][1,2,3,4,]]	4	1200000	10608.3	10569	0.623549	378394	99.9771	22.1454	21.8281	
12927	[[0][1,2,3,4,]]	4	1200000	10606.5	10572.7	0.600849	378259	99.9773	21.921	21.8374	
13928	[[0][1,2,3,4,]]	4	1200000	10605.6	10576	0.577421	378141	99.9774	21.8098	21.8346	
