#Workers	Frequency	Time	Watts	Bandwidth
1	1200000	376	17.8012	2659.57
1	1300000	346.921	18.5756	2882.5
1	1400000	322.183	19.5857	3103.83
1	1500000	300.735	20.1683	3325.19
1	1600000	281.942	20.8802	3546.83
1	1700000	265.515	21.9153	3766.27
1	1800000	250.748	22.5481	3988.07
1	1900000	237.788	23.4153	4205.43
1	2000000	237.788	23.4153	4205.43
1	2100000	215.344	25.2509	4643.73
1	2200000	215.344	25.2509	4643.73
1	2300000	196.53	27.0905	5088.28
1	2400000	188.564	28.0506	5303.24
2	1200000	188.519	19.1421	5304.51
2	1300000	174.048	20.1769	5745.54
2	1400000	174.048	20.1769	5745.54
2	1500000	150.935	21.8625	6625.37
2	1600000	141.463	22.8837	7068.99
2	1700000	141.463	22.8837	7068.99
2	1800000	125.868	24.5896	7944.83
2	1900000	119.256	25.847	8385.32
2	2000000	119.256	25.847	8385.32
2	2100000	107.968	27.7581	9262
2	2200000	103.063	28.8707	9702.8
2	2300000	98.692	29.9132	10132.5
2	2400000	94.553	31.0789	10576.1
3	1200000	94.553	31.0789	10576.1
3	1300000	116.12	21.656	8611.78
3	1400000	116.12	21.656	8611.78
3	1500000	100.63	23.5655	9937.39
3	1600000	94.379	24.6455	10595.6
3	1700000	88.813	25.75	11259.6
3	1800000	83.887	26.8681	11920.8
3	1900000	79.572	28.3031	12567.2
3	2000000	75.688	29.1958	13212.1
3	2100000	72.015	30.2869	13886
3	2200000	72.015	30.2869	13886
3	2300000	65.724	32.8521	15215.1
3	2400000	63.006	34.0439	15871.5
4	1200000	63.006	34.0439	15871.5
4	1300000	87.158	22.9809	11473.4
4	1400000	80.929	24.0091	12356.5
4	1500000	75.631	25.181	13222.1
4	1600000	70.8	26.4414	14124.3
4	1700000	66.642	27.8505	15005.6
4	1800000	66.642	27.8505	15005.6
4	1900000	59.667	30.3072	16759.7
4	2000000	56.698	31.611	17637.3
4	2100000	56.698	31.611	17637.3
4	2200000	51.582	34.2313	19386.6
4	2300000	49.308	35.6015	20280.7
4	2400000	47.247	37.4375	21165.4
5	1200000	47.247	37.4375	21165.4
5	1300000	69.81	24.4531	14324.6
5	1400000	69.81	24.4531	14324.6
5	1500000	60.417	26.9515	16551.6
5	1600000	60.417	26.9515	16551.6
5	1700000	53.337	29.6032	18748.7
5	1800000	50.384	31.4484	19847.6
5	1900000	50.384	31.4484	19847.6
5	2000000	45.364	34.0038	22043.9
5	2100000	43.2	35.4215	23148.1
5	2200000	41.232	36.8827	24253
5	2300000	39.442	38.4305	25353.7
5	2400000	37.802	40.1071	26453.6
6	1200000	37.802	40.1071	26453.6
6	1300000	58.087	26.2923	17215.6
6	1400000	58.087	26.2923	17215.6
6	1500000	50.359	29.0479	19857.4
6	1600000	47.214	30.4281	21180.2
6	1700000	47.214	30.4281	21180.2
6	1800000	42.02	33.3339	23798.2
6	1900000	39.775	34.8506	25141.4
6	2000000	37.881	36.3799	26398.5
6	2100000	35.997	38	27780.1
6	2200000	34.434	40.059	29041.1
6	2300000	32.865	41.8206	30427.5
6	2400000	31.51	43.4032	31736
7	1200000	53.967	25.8462	18529.8
7	1300000	49.81	27.5598	20076.3
7	1400000	49.81	27.5598	20076.3
7	1500000	43.176	30.9247	23161
7	1600000	40.473	32.3081	24707.8
7	1700000	40.473	32.3081	24707.8
7	1800000	35.992	35.6983	27784
7	1900000	34.104	37.8327	29322.1
7	2000000	32.397	39.167	30867.1
7	2100000	30.856	40.7227	32408.6
7	2200000	29.455	43.121	33950.1
7	2300000	28.178	45.3548	35488.7
7	2400000	26.999	47.2239	37038.4
8	1200000	47.242	27.467	21167.6
8	1300000	47.242	27.467	21167.6
8	1400000	40.483	30.9133	24701.7
8	1500000	37.786	32.3473	26464.8
8	1600000	37.786	32.3473	26464.8
8	1700000	33.35	35.9371	29985
8	1800000	31.502	37.6491	31744
