TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
76	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	2400000	283.806	283.806	0	3.45937e+06	98.1792	61.8295	61.8295	
185	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	1200000	184.655	184.655	0	5.31127e+06	98.0757	29.9444	29.9444	
370	[[0][1,2,3,4,5,]]	5	2400000	115.432	115.432	0	8.58448e+06	99.0924	37.905	37.905	
606	[[0][1,2,3,4,5,]]	5	1200000	85.0544	85.0544	0	1.16631e+07	99.2	22.322	22.322	
1052	[[0][1,2,]]	2	2400000	46.4647	46.4647	0	2.1462e+07	99.7224	31.3939	31.3939	
1502	[[0][1,2,]]	2	2100000	44.4967	44.4967	0	2.24234e+07	99.7765	27.2245	27.2245	
1982	[[0][1,2,]]	2	1900000	41.8662	41.8662	0	2.38247e+07	99.7448	25.2624	25.2624	
2470	[[0][1,2,]]	2	1800000	40.9778	40.9778	0	2.43475e+07	99.7709	24.2097	24.2097	
2671	[[0][1,2,3,4,5,]]	5	2400000	114.612	114.612	0	8.63462e+06	98.9632	38.1379	38.1379	
2907	[[0][1,2,3,4,5,]]	5	1200000	84.6987	84.6987	0	1.16892e+07	99.0061	22.3816	22.3816	
3909	[[0][1,2,3,4,5,]]	5	1200000	84.7798	84.6995	0.00953387	1.16892e+07	99.007	22.4413	22.3822	
4911	[[0][1,2,3,4,5,]]	5	1200000	84.8359	84.7009	0.0186167	1.1689e+07	99.0071	22.7357	22.3858	
5915	[[0][1,2,3,4,5,]]	5	1200000	84.6836	84.7007	0.0186337	1.16892e+07	99.0083	22.3194	22.3851	
6921	[[0][1,2,3,4,5,]]	5	1200000	84.5237	84.6989	0.0278564	1.16894e+07	99.0082	22.341	22.3847	
7927	[[0][1,2,3,4,5,]]	5	1200000	84.4601	84.6965	0.0394411	1.16898e+07	99.0082	22.3919	22.3847	
8933	[[0][1,2,3,4,5,]]	5	1200000	84.5405	84.695	0.0433115	1.16901e+07	99.0092	22.3057	22.3839	
9938	[[0][1,2,3,4,5,]]	5	1200000	84.5336	84.6934	0.0470828	1.16904e+07	99.0098	22.5019	22.3851	
10944	[[0][1,2,3,4,5,]]	5	1200000	84.4554	84.691	0.0545556	1.16908e+07	99.0104	22.4463	22.3857	
11957	[[0][1,2,3,4,5,]]	5	1200000	83.9679	84.6837	0.100819	1.16918e+07	99.0106	22.506	22.3869	
12963	[[0][1,2,3,4,5,]]	5	1200000	80.4709	84.6416	0.505298	1.16979e+07	99.0101	22.4632	22.3877	
13974	[[0][1,2,3,4,5,]]	5	1200000	37.5838	84.171	5.58565	1.18431e+07	99.0053	23.3972	22.3978	
