TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
255	[[0][1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,]]	12	1600000	76.0849	76.0849	0	1.9716e+06	14.9748	44.8423	44.8423	
655	[[0][1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,]]	7	2000000	54.165	54.165	0	2.1004e+06	11.2455	44.3295	44.3295	
912	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,]]	18	1300000	83.3461	83.3461	0	2.07009e+06	17.2534	44.6942	44.6942	
1254	[[0][1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,]]	9	1200000	55.879	55.879	0	3.18151e+06	17.7383	28.5702	28.5702	
1709	[[0][1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,]]	4	1700000	44.6733	44.6733	0	3.15183e+06	14.0434	27.4474	27.4474	
2253	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.4102	36.4102	0	4.26031e+06	15.5219	20.3717	20.3717	
2553	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1,2,3,4,5,6,7,8,]]	15	2100000	75.9866	75.9866	0	1.57884e+06	11.9364	65.9659	65.9659	
3196	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	33.5223	33.5223	0	4.64975e+06	15.4505	20.4994	20.4994	
4224	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.9969	33.537	0.437477	4.6438e+06	15.4377	20.2754	20.4972	
5254	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.6528	33.5482	0.54667	4.64198e+06	15.4381	20.2473	20.4947	
6284	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.2759	33.5655	0.746885	4.63133e+06	15.4098	20.3006	20.4927	
7337	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.0595	33.5804	0.864718	4.6267e+06	15.4018	20.2186	20.49	
8367	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.1751	33.5864	0.878083	4.62622e+06	15.404	20.3488	20.4886	
9395	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	33.8017	33.5885	0.875952	4.62018e+06	15.386	20.2044	20.4857	
10427	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.995	33.6026	0.965618	4.6131e+06	15.3689	20.2087	20.483	
11467	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.6284	33.6128	1.00734	4.61074e+06	15.3668	20.2673	20.4808	
12497	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.3204	33.6199	1.02373	4.6062e+06	15.3558	20.1999	20.478	
13533	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.949	33.6332	1.09147	4.59963e+06	15.3401	20.2432	20.4756	
14566	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.4767	33.6516	1.21458	4.59274e+06	15.3254	20.2177	20.4731	
15596	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.7246	33.6724	1.3542	4.5864e+06	15.3136	20.2719	20.4711	
16633	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.5711	33.7014	1.59526	4.58016e+06	15.3053	20.1871	20.4682	
17666	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.5412	33.7198	1.67672	4.5741e+06	15.2934	20.1998	20.4655	
18699	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.3074	33.7256	1.67701	4.5668e+06	15.2725	20.3014	20.4639	
19730	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.4462	33.7328	1.68173	4.56473e+06	15.27	20.299	20.4622	
20770	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.038	33.7559	1.80493	4.5579e+06	15.2572	20.2929	20.4605	
21801	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.0222	33.7786	1.91482	4.5507e+06	15.2431	20.373	20.4597	
22850	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.9893	33.8007	2.01212	4.5453e+06	15.2351	20.2507	20.4576	
23884	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.8848	33.8215	2.09263	4.5389e+06	15.2229	20.2645	20.4557	
24930	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.2683	33.836	2.1243	4.53312e+06	15.2104	20.2168	20.4533	
25962	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.7268	33.8449	2.12926	4.52828e+06	15.1989	20.33	20.452	
26993	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.4572	33.861	2.16993	4.52388e+06	15.1917	20.2052	20.4496	
28023	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.5861	33.8783	2.21663	4.51788e+06	15.1792	20.2097	20.4472	
29064	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.579	33.8853	2.21465	4.51588e+06	15.1767	20.2508	20.4452	
30092	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.4901	33.9013	2.2523	4.51093e+06	15.1676	20.2573	20.4433	
31120	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.4023	33.9263	2.35642	4.50513e+06	15.159	20.2647	20.4415	
32168	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.6631	33.9337	2.35403	4.50078e+06	15.1485	20.2655	20.4398	
33203	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.9431	33.9538	2.41377	4.49348e+06	15.1327	20.1172	20.4366	
34236	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.432	33.9686	2.43937	4.4885e+06	15.1227	20.6027	20.4382	
35263	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.0177	33.9791	2.44576	4.48259e+06	15.108	20.4786	20.4386	
36299	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.5859	33.9951	2.4774	4.47732e+06	15.0976	20.1596	20.4358	
37331	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.0567	34.0057	2.48371	4.46967e+06	15.0768	20.6689	20.4382	
38360	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.0133	34.0258	2.53861	4.46585e+06	15.0734	20.5778	20.4396	
39388	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.9451	34.045	2.58603	4.45891e+06	15.0582	20.1792	20.437	
40421	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.6817	34.0614	2.61589	4.45359e+06	15.0477	20.1283	20.4339	
41453	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.8766	34.0695	2.61303	4.44914e+06	15.0373	20.1913	20.4314	
42486	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.5523	34.0844	2.6346	4.44511e+06	15.0308	20.1237	20.4284	
43518	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.2755	34.0963	2.64343	4.44025e+06	15.0203	20.2501	20.4266	
44554	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.178	34.1171	2.69777	4.43434e+06	15.0096	20.241	20.4247	
45607	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.647	34.1224	2.68828	4.43385e+06	15.0115	20.2751	20.4232	
46657	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.1448	34.1426	2.73742	4.42833e+06	15.0016	20.3101	20.4221	
47685	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.0068	34.1613	2.77583	4.42456e+06	14.9977	20.3169	20.421	
48713	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.0006	34.1796	2.81189	4.41841e+06	14.9849	20.297	20.4198	
49741	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	33.606	34.1739	2.80324	4.4193e+06	14.9865	20.691	20.4225	
50778	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.0987	34.1932	2.84333	4.41751e+06	14.9896	20.6106	20.4244	
51820	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.5793	34.197	2.83099	4.41629e+06	14.9884	20.219	20.4223	
52850	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.9416	34.2045	2.8245	4.41306e+06	14.9815	20.2067	20.4202	
53882	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.3259	34.2157	2.82829	4.41109e+06	14.9805	20.2348	20.4183	
54910	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.2073	34.2356	2.87142	4.40845e+06	14.9807	20.2347	20.4165	
55945	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.825	34.2515	2.89278	4.40668e+06	14.9827	20.2268	20.4146	
56971	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.7525	34.2665	2.90985	4.40294e+06	14.9769	20.3541	20.414	
58000	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.914	34.273	2.90082	4.39948e+06	14.9689	20.1806	20.4117	
59033	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.8118	34.2884	2.91933	4.39775e+06	14.9705	20.1969	20.4095	
60062	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.5892	34.3014	2.92801	4.39681e+06	14.9738	20.1828	20.4072	
61088	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.1276	34.3096	2.92247	4.39672e+06	14.9781	20.2964	20.4061	
62123	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.632	34.3229	2.93187	4.39408e+06	14.9756	20.1038	20.4031	
63149	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.218	34.3418	2.96682	4.39109e+06	14.9741	20.1487	20.4006	
64191	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.7346	34.3457	2.95381	4.38716e+06	14.9632	20.2258	20.3988	
65238	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.0736	34.343	2.94029	4.3857e+06	14.9579	20.2611	20.3974	
66280	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.7379	34.347	2.92745	4.38333e+06	14.9526	20.2838	20.3963	
67313	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.3889	34.3574	2.92749	4.38096e+06	14.9497	20.5331	20.3977	
68343	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.2189	34.376	2.96067	4.37824e+06	14.9489	20.1544	20.3952	
69371	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.1084	34.3933	2.9867	4.37927e+06	14.9613	20.2307	20.3936	
70402	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.9665	34.4091	3.005	4.38022e+06	14.9725	20.5241	20.3949	
71438	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	33.5548	34.4005	3.00087	4.37705e+06	14.9592	20.2592	20.3935	
72472	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.7781	34.4143	3.01109	4.37451e+06	14.9576	20.2739	20.3923	
73503	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.0785	34.4309	3.03292	4.37312e+06	14.9611	20.367	20.3921	
74539	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.9808	34.4464	3.04941	4.36993e+06	14.9571	20.2341	20.3905	
75576	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.0018	34.452	3.03787	4.36573e+06	14.9459	20.2287	20.3889	
76610	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.7016	34.4645	3.043	4.36457e+06	14.948	20.3743	20.3887	
77657	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.696	34.4668	3.02828	4.36499e+06	14.9512	20.2176	20.387	
78684	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.1289	34.4734	3.01858	4.36145e+06	14.9424	20.1878	20.385	
79715	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	34.584	34.4745	3.00352	4.35956e+06	14.9373	20.2913	20.3841	
80746	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.138	34.4912	3.02533	4.35631e+06	14.9338	20.1962	20.3822	
81776	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.6773	34.513	3.07357	4.35458e+06	14.938	20.2474	20.3809	
82813	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.6882	34.5248	3.07582	4.35422e+06	14.9424	20.2338	20.3794	
83848	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	36.0104	34.5396	3.08888	4.35123e+06	14.9392	20.2408	20.378	
84877	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.8928	34.5532	3.0968	4.35184e+06	14.9482	20.209	20.3763	
85906	[[0][1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,]]	3	1200000	35.5816	34.5634	3.09456	4.35046e+06	14.9484	20.2456	20.375	
