TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
89	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	244.054	244.054	0	3.94969e+06	96.3955	41.6193	41.6193	
228	[[0][1,2,3,4,5,6,7,]]	7	2000000	152.9	152.9	0	6.45672e+06	98.7229	36.5875	36.5875	
305	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	321.134	321.134	0	2.85294e+06	91.615	41.0444	41.0444	
418	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	2400000	252.325	252.325	0	3.89539e+06	98.29	53.9191	53.9191	
673	[[0][1,2,3,4,]]	4	1700000	81.9816	81.9816	0	1.21206e+07	99.3663	26.7042	26.7042	
951	[[0][1,2,3,4,5,]]	5	1200000	86.869	86.869	0	1.14074e+07	99.0948	22.342	22.342	
1024	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,]]	15	2100000	370.347	370.347	0	2.5055e+06	92.7884	60.2838	60.2838	
1341	[[0][1,2,3,4,]]	4	1200000	70.1876	70.1876	0	1.41775e+07	99.5086	21.7841	21.7841	
2355	[[0][1,2,3,4,]]	4	1200000	69.8803	70.1845	0.0435724	1.41778e+07	99.5063	21.7194	21.7834	
3370	[[0][1,2,3,4,]]	4	1200000	69.726	70.18	0.078144	1.41783e+07	99.5034	21.6995	21.7826	
4384	[[0][1,2,3,4,]]	4	1200000	69.5986	70.1741	0.113323	1.41791e+07	99.5007	21.3146	21.7779	
5399	[[0][1,2,3,4,]]	4	1200000	69.4675	70.1671	0.150856	1.41803e+07	99.4984	21.2053	21.7722	
6413	[[0][1,2,3,4,]]	4	1200000	69.4065	70.1595	0.184851	1.41813e+07	99.495	21.169	21.7662	
7428	[[0][1,2,3,4,]]	4	1200000	69.4898	70.1528	0.207014	1.41824e+07	99.4927	21.1204	21.7597	
