TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
89	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	244.361	244.361	0	3.94617e+06	96.4316	42.1111	42.1111	
228	[[0][1,2,3,4,5,6,7,]]	7	2000000	152.916	152.916	0	6.45346e+06	98.6835	36.676	36.676	
305	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	321.989	321.989	0	2.84585e+06	91.6302	41.4258	41.4258	
420	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	2400000	252.745	252.745	0	3.88531e+06	98.1987	54.2653	54.2653	
674	[[0][1,2,3,4,]]	4	1700000	82.2246	82.2246	0	1.20851e+07	99.3688	26.7607	26.7607	
1289	[[0][1,2,]]	2	1200000	34.9879	34.9879	0	2.85059e+07	99.7361	18.7838	18.7838	
1388	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,]]	15	2100000	371.497	371.497	0	2.50283e+06	92.9756	60.389	60.389	
1988	[[0][1,2,]]	2	1200000	35.1938	35.1938	0	2.83305e+07	99.706	19.2611	19.2611	
3016	[[0][1,2,]]	2	1200000	35.0251	35.1921	0.0477059	2.8332e+07	99.7063	18.8516	19.257	
4017	[[0][1,2,]]	2	1200000	34.9719	35.1899	0.0782972	2.83338e+07	99.7066	18.7937	19.2523	
5018	[[0][1,2,]]	2	1200000	34.9643	35.1877	0.100691	2.83357e+07	99.7067	18.8214	19.248	
6020	[[0][1,2,]]	2	1200000	34.9272	35.1851	0.124358	2.83376e+07	99.7061	18.8764	19.2443	
7022	[[0][1,2,]]	2	1200000	34.9414	35.1826	0.141642	2.83397e+07	99.7062	18.8544	19.2404	
8024	[[0][1,2,]]	2	1200000	34.9116	35.1799	0.160434	2.83417e+07	99.7058	18.8138	19.2361	
9026	[[0][1,2,]]	2	1200000	34.9189	35.1773	0.175888	2.83439e+07	99.7061	18.902	19.2328	
10030	[[0][1,2,]]	2	1200000	34.8553	35.1741	0.197311	2.83464e+07	99.7055	18.8619	19.2291	
11032	[[0][1,2,]]	2	1200000	34.9356	35.1717	0.207601	2.83484e+07	99.7056	18.8464	19.2253	
12047	[[0][1,2,]]	2	1200000	34.5071	35.1651	0.279374	2.83538e+07	99.7056	19.1402	19.2244	
13056	[[0][1,2,]]	2	1200000	30.7146	35.1206	1.29121	2.83949e+07	99.7057	19.0343	19.2225	
14113	[[0][1,2,]]	2	1200000	17.0338	34.9397	5.31004	2.86939e+07	99.7015	19.1146	19.2214	
15169	[[0][1,2,]]	2	1200000	15.1624	34.7419	7.76629	2.90628e+07	99.699	19.115	19.2204	
16189	[[0][1,2,]]	2	1200000	30.3511	34.698	7.83892	2.90981e+07	99.6912	19.0527	19.2187	
17211	[[0][1,2,]]	2	1200000	41.115	34.7622	7.99895	2.90495e+07	99.691	18.9055	19.2156	
18217	[[0][1,2,]]	2	1200000	45.7202	34.8718	8.5277	2.8977e+07	99.6905	18.9338	19.2127	
19221	[[0][1,2,]]	2	1200000	44.83	34.9713	8.92258	2.89096e+07	99.6904	18.9184	19.2098	
20239	[[0][1,2,]]	2	1200000	45.1865	35.0735	9.31428	2.88411e+07	99.6903	18.9247	19.207	
21258	[[0][1,2,]]	2	1200000	47.0782	35.1935	9.83983	2.87645e+07	99.6905	18.8529	19.2034	
22278	[[0][1,2,]]	2	1200000	47.0771	35.3124	10.3161	2.86887e+07	99.691	19.4677	19.2061	
23286	[[0][1,2,]]	2	1200000	45.6187	35.4154	10.6362	2.86204e+07	99.6912	19.4316	19.2083	
24293	[[0][1,2,]]	2	1200000	45.6844	35.5181	10.9374	2.85525e+07	99.6916	19.0928	19.2072	
25307	[[0][1,2,]]	2	1200000	47.3368	35.6363	11.3373	2.84777e+07	99.6921	18.8327	19.2034	
