TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
132	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	132.009	132.009	0	3.9492e+06	52.1336	42.5147	42.5147	
373	[[0][1,2,3,4,5,6,7,]]	7	2000000	86.9458	86.9458	0	6.46573e+06	56.2167	36.7971	36.7971	
489	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	242.57	242.57	0	2.84822e+06	69.0845	40.5035	40.5035	
598	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2400000	569.762	569.762	0	1.53974e+06	87.728	81.2595	81.2595	
1066	[[0][1,2,3,4,]]	4	1700000	44.027	44.027	0	1.21043e+07	53.2916	27.0981	27.0981	
1544	[[0][1,2,3,4,]]	4	1200000	42.3769	42.3769	0	1.42487e+07	60.3815	21.5037	21.5037	
1664	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,]]	15	2100000	202.867	202.867	0	2.50459e+06	50.8092	58.6016	58.6016	
2165	[[0][1,2,3,4,]]	4	1200000	43.6599	43.6599	0	1.41923e+07	61.9634	21.2672	21.2672	
2353	[[0][1,2,3,4,5,6,7,8,9,]]	9	1500000	115.427	115.427	0	5.72533e+06	66.0858	31.6816	31.6816	
2886	[[0][1,2,3,]]	3	1200000	42.7401	42.7401	0	1.89603e+07	81.0362	19.9117	19.9117	
2986	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,]]	20	1900000	285.245	285.245	0	1.99795e+06	56.9913	61.0646	61.0646	
3501	[[0][1,2,3,]]	3	1200000	42.175	42.175	0	1.89502e+07	79.9222	19.9655	19.9655	
4003	[[0][1,2,]]	2	2300000	42.3653	42.3653	0	2.12188e+07	89.8939	29.0929	29.0929	
4523	[[0][1,2,3,]]	3	1200000	44.4435	44.4435	0	1.90354e+07	84.6001	19.9072	19.9072	
4693	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,]]	13	1200000	147.194	147.194	0	4.28473e+06	63.0688	31.9468	31.9468	
5223	[[0][1,2,3,]]	3	1200000	42.889	42.889	0	1.89513e+07	81.2801	19.881	19.881	
5481	[[0][1,2,3,4,5,6,7,8,]]	8	1600000	93.5021	93.5021	0	6.26575e+06	58.5861	32.3523	32.3523	
6000	[[0][1,2,3,]]	3	1200000	42.7261	42.7261	0	1.8985e+07	81.1156	19.8138	19.8138	
6099	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,]]	19	2000000	285.819	285.819	0	2.01042e+06	57.4626	62.8299	62.8299	
6613	[[0][1,2,3,]]	3	1200000	42.7406	42.7406	0	1.89685e+07	81.0725	19.9126	19.9126	
6889	[[0][1,2,3,4,5,]]	5	1400000	77.375	77.375	0	1.05927e+07	81.9609	24.4149	24.4149	
7417	[[0][1,2,3,]]	3	1200000	41.9916	41.9916	0	1.90655e+07	80.059	19.8674	19.8674	
7541	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1800000	201.179	201.179	0	2.60042e+06	52.3155	51.7121	51.7121	
8054	[[0][1,2,3,]]	3	1200000	42.7198	42.7198	0	1.89706e+07	81.0417	19.9625	19.9625	
8224	[[0][1,2,3,4,5,6,7,8,9,10,11,]]	11	2200000	158.53	158.53	0	4.01594e+06	63.6647	49.8951	49.8951	
8755	[[0][1,2,3,]]	3	1200000	42.7559	42.7559	0	1.90231e+07	81.3351	19.9258	19.9258	
8865	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,]]	22	1500000	285.33	285.33	0	2.10171e+06	59.9692	51.2396	51.2396	
9381	[[0][1,2,3,]]	3	1200000	42.722	42.722	0	1.89597e+07	80.9995	19.9641	19.9641	
9889	[[0][1,2,]]	2	1900000	41.6323	41.6323	0	2.3317e+07	97.074	25.044	25.044	
10439	[[0][1,2,3,]]	3	1200000	42.7339	42.7339	0	1.90359e+07	81.3478	19.883	19.883	
10563	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,]]	13	2300000	203.093	203.093	0	2.78398e+06	56.5406	59.6338	59.6338	
11085	[[0][1,2,3,]]	3	1200000	40.8041	40.8041	0	1.89732e+07	77.4182	19.9543	19.9543	
12095	[[0][1,2,3,]]	3	1200000	51.4738	40.9108	2.59499	1.89762e+07	77.6361	20.5274	19.96	
13105	[[0][1,2,3,]]	3	1200000	46.5233	40.9669	2.91659	1.89992e+07	77.8497	20.1984	19.9624	
14114	[[0][1,2,3,]]	3	1200000	18.8691	40.7459	6.13443	1.93316e+07	78.0569	20.4542	19.9673	
15120	[[0][1,2,3,]]	3	1200000	28.7951	40.6264	6.78536	1.94784e+07	78.2557	20.3724	19.9714	
16145	[[0][1,2,3,]]	3	1200000	54.0878	40.761	7.4885	1.94658e+07	78.4585	20.7694	19.9793	
17150	[[0][1,2,3,]]	3	1200000	66.0908	41.0143	9.62252	1.94208e+07	78.6632	20.817	19.9877	
18158	[[0][1,2,3,]]	3	1200000	67.4291	41.2785	11.4471	1.93737e+07	78.8681	20.1006	19.9888	
19161	[[0][1,2,3,]]	3	1200000	66.8093	41.5338	12.8664	1.93282e+07	79.0698	20.1968	19.9909	
20163	[[0][1,2,3,]]	3	1200000	67.8979	41.7974	14.1851	1.92809e+07	79.2708	20.0985	19.992	
21175	[[0][1,2,3,]]	3	1200000	70.0973	42.0804	15.5341	1.92297e+07	79.4705	20.5414	19.9975	
22198	[[0][1,2,3,]]	3	1200000	68.418	42.3438	16.56	1.91824e+07	79.6681	20.1346	19.9989	
23209	[[0][1,2,3,]]	3	1200000	68.2864	42.6032	17.4616	1.91358e+07	79.8629	20.6843	20.0057	
24217	[[0][1,2,3,]]	3	1200000	71.4422	42.8916	18.5086	1.90837e+07	80.0592	20.6444	20.0121	
25242	[[0][1,2,3,]]	3	1200000	70.9566	43.1722	19.4057	1.90328e+07	80.2514	20.3447	20.0154	
26245	[[0][1,2,3,]]	3	1200000	70.0853	43.4414	20.1546	1.89843e+07	80.4433	20.1121	20.0164	
27248	[[0][1,2,3,]]	3	1200000	68.7244	43.6942	20.7522	1.89389e+07	80.6311	20.178	20.018	
28252	[[0][1,2,3,]]	3	1200000	69.7455	43.9547	21.3561	1.88913e+07	80.8139	20.0496	20.0183	
29277	[[0][1,2,3,]]	3	1200000	65.0234	44.1654	21.6738	1.88545e+07	80.9949	20.4687	20.0228	
30282	[[0][1,2,3,]]	3	1200000	67.9887	44.4036	22.1038	1.88123e+07	81.1798	20.1284	20.0239	
31307	[[0][1,2,3,]]	3	1200000	68.101	44.6406	22.5049	1.87703e+07	81.3634	20.166	20.0253	
32319	[[0][1,2,3,]]	3	1200000	67.3649	44.8679	22.8415	1.87303e+07	81.5442	20.1461	20.0265	
33336	[[0][1,2,3,]]	3	1200000	66.8654	45.0878	23.1312	1.86918e+07	81.7239	20.3883	20.0301	
34362	[[0][1,2,3,]]	3	1200000	68.0311	45.3173	23.4463	1.86511e+07	81.9017	20.1039	20.0309	
35367	[[0][1,2,3,]]	3	1200000	65.927	45.5234	23.656	1.86151e+07	82.0748	20.5696	20.0363	
36373	[[0][1,2,3,]]	3	1200000	67.5925	45.7441	23.9107	1.85762e+07	82.2493	20.609	20.042	
37398	[[0][1,2,3,]]	3	1200000	68.1428	45.968	24.1662	1.85365e+07	82.4221	20.159	20.0432	
38399	[[0][1,2,3,]]	3	1200000	65.1249	46.1596	24.2987	1.85034e+07	82.5896	20.3935	20.0467	
39424	[[0][1,2,3,]]	3	1200000	68.0202	46.3782	24.5157	1.84647e+07	82.7591	20.0666	20.0469	
40428	[[0][1,2,3,]]	3	1200000	68.002	46.5945	24.7148	1.84263e+07	82.9262	20.1087	20.0475	
41453	[[0][1,2,3,]]	3	1200000	68.0159	46.8087	24.8983	1.83884e+07	83.092	20.3094	20.0501	
42457	[[0][1,2,3,]]	3	1200000	68.0096	47.0207	25.0666	1.83508e+07	83.2559	20.0817	20.0504	
43469	[[0][1,2,3,]]	3	1200000	68.1624	47.2321	25.2255	1.83132e+07	83.418	20.3753	20.0537	
