TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
86	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	253.079	253.079	0	3.84295e+06	97.2579	41.0474	41.0474	
204	[[0][1,2,3,4,5,6,7,]]	7	2000000	179.067	179.067	0	5.51769e+06	98.8033	41.6255	41.6255	
277	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	339.122	339.122	0	2.80636e+06	95.1671	41.4732	41.4732	
804	[[0][1,2,]]	2	1400000	40.9991	40.9991	0	2.43217e+07	99.717	22.211	22.211	
1070	[[0][1,2,3,4,]]	4	1700000	92.8897	92.8897	0	1.06644e+07	99.0611	30.117	30.117	
1480	[[0][1,2,3,]]	3	1200000	55.2292	55.2292	0	1.80402e+07	99.6343	20.564	20.564	
2498	[[0][1,2,3,]]	3	1200000	55.0209	55.2271	0.0375273	1.80405e+07	99.6326	20.0197	20.5585	
3516	[[0][1,2,3,]]	3	1200000	54.9803	55.2246	0.0580676	1.80411e+07	99.6311	19.9989	20.5529	
4517	[[0][1,2,3,]]	3	1200000	54.9338	55.2217	0.0779974	1.80416e+07	99.6288	20.0067	20.5475	
5519	[[0][1,2,3,]]	3	1200000	54.9213	55.2187	0.0946278	1.80423e+07	99.6271	20.0332	20.5423	
6520	[[0][1,2,3,]]	3	1200000	54.9131	55.2157	0.109077	1.80429e+07	99.6248	20.2547	20.5395	
7522	[[0][1,2,3,]]	3	1200000	54.9026	55.2125	0.122325	1.80436e+07	99.623	20.0088	20.5342	
8524	[[0][1,2,3,]]	3	1200000	54.8925	55.2093	0.134689	1.80443e+07	99.6213	20.0165	20.529	
9525	[[0][1,2,3,]]	3	1200000	54.9448	55.2067	0.142249	1.80448e+07	99.6194	20.3913	20.5276	
10526	[[0][1,2,3,]]	3	1200000	54.9712	55.2043	0.147769	1.80452e+07	99.6169	20.3921	20.5262	
11529	[[0][1,2,3,]]	3	1200000	54.8479	55.2008	0.160462	1.8046e+07	99.615	20.0092	20.5211	
12546	[[0][1,2,3,]]	3	1200000	52.0748	55.1695	0.585972	1.80556e+07	99.6087	20.0214	20.5161	
13566	[[0][1,2,3,]]	3	1200000	51.9749	55.1376	0.820152	1.80657e+07	99.6035	20.2604	20.5135	
14573	[[0][1,2,3,]]	3	1200000	23.8439	54.8246	5.73833	1.82977e+07	99.5913	20.3984	20.5124	
15597	[[0][1,2,3,]]	3	1200000	45.896	54.7353	5.94474	1.83289e+07	99.5787	20.2322	20.5096	
16611	[[0][1,2,3,]]	3	1200000	34.4891	54.5329	6.99234	1.84307e+07	99.5661	20.3513	20.508	
17614	[[0][1,2,3,]]	3	1200000	56.8446	54.556	6.96711	1.84205e+07	99.5603	20.1472	20.5044	
18618	[[0][1,2,3,]]	3	1200000	58.7798	54.5982	6.96946	1.84045e+07	99.5534	20.1989	20.5013	
19621	[[0][1,2,3,]]	3	1200000	60.818	54.6604	7.01856	1.83834e+07	99.5486	20.1662	20.498	
20632	[[0][1,2,3,]]	3	1200000	61.3095	54.7269	7.07887	1.83613e+07	99.5448	20.2129	20.4951	
21645	[[0][1,2,3,]]	3	1200000	63.1506	54.8112	7.19689	1.8335e+07	99.5426	20.0891	20.4911	
22649	[[0][1,2,3,]]	3	1200000	61.7561	54.8806	7.26175	1.83122e+07	99.5388	20.0782	20.4869	
23651	[[0][1,2,3,]]	3	1200000	61.9001	54.9508	7.3272	1.82893e+07	99.5353	20.2049	20.4841	
24657	[[0][1,2,3,]]	3	1200000	64.6433	55.0477	7.48553	1.82604e+07	99.535	20.0496	20.4798	
25673	[[0][1,2,3,]]	3	1200000	62.9921	55.1272	7.57424	1.82354e+07	99.5324	20.1592	20.4766	
26679	[[0][1,2,3,]]	3	1200000	63.563	55.2115	7.67679	1.82091e+07	99.5295	20.1491	20.4733	
27682	[[0][1,2,3,]]	3	1200000	62.8344	55.2878	7.75016	1.81852e+07	99.5283	20.1141	20.4697	
28697	[[0][1,2,3,]]	3	1200000	62.0935	55.3558	7.79838	1.81632e+07	99.5253	20.1595	20.4666	
29699	[[0][1,2,3,]]	3	1200000	64.8248	55.4505	7.93019	1.81351e+07	99.5253	20.3911	20.4658	
30713	[[0][1,2,3,]]	3	1200000	64.1439	55.5374	8.03057	1.81085e+07	99.5226	20.2566	20.4637	
31728	[[0][1,2,3,]]	3	1200000	60.1022	55.5831	8.02546	1.80923e+07	99.5187	20.1571	20.4607	
32739	[[0][1,2,3,]]	3	1200000	61.3027	55.6403	8.04233	1.80737e+07	99.5186	20.1996	20.4581	
33754	[[0][1,2,3,]]	3	1200000	62.0836	55.7047	8.0752	1.80534e+07	99.5191	20.4969	20.4585	
34765	[[0][1,2,3,]]	3	1200000	59.3492	55.7412	8.05578	1.804e+07	99.5157	20.6974	20.4608	
35767	[[0][1,2,3,]]	3	1200000	61.8343	55.8021	8.08002	1.80205e+07	99.5159	21.0627	20.4669	
36780	[[0][1,2,3,]]	3	1200000	59.254	55.8366	8.05806	1.80078e+07	99.5129	20.0832	20.463	
37781	[[0][1,2,3,]]	3	1200000	61.9336	55.8976	8.08212	1.79884e+07	99.5129	20.3196	20.4616	
38786	[[0][1,2,3,]]	3	1200000	61.6803	55.9554	8.09884	1.79698e+07	99.5129	20.1583	20.4586	
39790	[[0][1,2,3,]]	3	1200000	61.7463	56.0133	8.11537	1.79513e+07	99.5129	20.1502	20.4555	
40794	[[0][1,2,3,]]	3	1200000	61.751	56.0707	8.13043	1.79329e+07	99.5126	20.0938	20.4519	
41809	[[0][1,2,3,]]	3	1200000	60.1314	56.1113	8.11583	1.79188e+07	99.511	20.1521	20.4489	
42817	[[0][1,2,3,]]	3	1200000	61.4651	56.1648	8.12301	1.79014e+07	99.5102	20.0797	20.4452	
43821	[[0][1,2,3,]]	3	1200000	61.7585	56.2208	8.13472	1.78835e+07	99.5105	20.1718	20.4424	
44826	[[0][1,2,3,]]	3	1200000	61.7214	56.2758	8.1443	1.78658e+07	99.5101	20.2009	20.44	
45838	[[0][1,2,3,]]	3	1200000	59.2823	56.3058	8.11656	1.78546e+07	99.5076	20.1576	20.4372	
46843	[[0][1,2,3,]]	3	1200000	61.6944	56.3597	8.12404	1.78374e+07	99.5076	20.1166	20.434	
47847	[[0][1,2,3,]]	3	1200000	61.7479	56.4136	8.13133	1.78202e+07	99.5078	20.1631	20.4313	
48851	[[0][1,2,3,]]	3	1200000	61.725	56.4667	8.13696	1.78032e+07	99.5079	20.1709	20.4287	
49865	[[0][1,2,3,]]	3	1200000	59.2081	56.4941	8.10663	1.77927e+07	99.5045	20.1567	20.426	
50870	[[0][1,2,3,]]	3	1200000	61.7061	56.5463	8.11058	1.7776e+07	99.5045	20.0339	20.422	
51875	[[0][1,2,3,]]	3	1200000	61.6929	56.5977	8.1132	1.77595e+07	99.5043	20.205	20.4199	
52879	[[0][1,2,3,]]	3	1200000	61.7105	56.6489	8.11508	1.77431e+07	99.504	20.0905	20.4166	
53885	[[0][1,2,3,]]	3	1200000	61.6661	56.699	8.11516	1.7727e+07	99.5039	20.1935	20.4143	
54890	[[0][1,2,3,]]	3	1200000	61.6586	56.7486	8.11416	1.77111e+07	99.5039	20.2191	20.4124	
55895	[[0][1,2,3,]]	3	1200000	61.6831	56.798	8.11266	1.76953e+07	99.5037	20.2344	20.4106	
56901	[[0][1,2,3,]]	3	1200000	61.6662	56.8466	8.10997	1.76796e+07	99.5032	20.2006	20.4085	
57917	[[0][1,2,3,]]	3	1200000	60.0329	56.8785	8.08403	1.76681e+07	99.5006	20.4818	20.4092	
58925	[[0][1,2,3,]]	3	1200000	61.4975	56.9247	8.07743	1.76532e+07	99.5001	20.0987	20.4061	
59930	[[0][1,2,3,]]	3	1200000	61.7178	56.9726	8.07369	1.76379e+07	99.5002	20.1293	20.4034	
60930	[[0][1,2,3,]]	3	1200000	61.9423	57.0223	8.07293	1.7622e+07	99.4996	20.6178	20.4055	
61931	[[0][1,2,3,]]	3	1200000	61.9702	57.0718	8.07173	1.76064e+07	99.4997	20.658	20.408	
62935	[[0][1,2,3,]]	3	1200000	61.7236	57.1183	8.06554	1.75914e+07	99.4989	20.3442	20.4074	
63946	[[0][1,2,3,]]	3	1200000	59.3938	57.1411	8.03169	1.75825e+07	99.4959	20.1127	20.4045	
64954	[[0][1,2,3,]]	3	1200000	61.4664	57.1843	8.02077	1.75686e+07	99.4961	20.1673	20.4021	
65959	[[0][1,2,3,]]	3	1200000	61.6841	57.2293	8.01258	1.75542e+07	99.4963	20.0972	20.399	
66976	[[0][1,2,3,]]	3	1200000	61.9867	57.2769	8.00855	1.75392e+07	99.4967	20.572	20.4008	
67981	[[0][1,2,3,]]	3	1200000	61.7019	57.3212	7.99921	1.75252e+07	99.4973	20.178	20.3985	
68985	[[0][1,2,3,]]	3	1200000	61.6948	57.3649	7.98915	1.75113e+07	99.4976	20.0751	20.3953	
70002	[[0][1,2,3,]]	3	1200000	59.9985	57.3912	7.95856	1.75014e+07	99.4943	20.1041	20.3924	
71004	[[0][1,2,3,]]	3	1200000	60.8911	57.4262	7.93704	1.74899e+07	99.4946	20.2652	20.3911	
72010	[[0][1,2,3,]]	3	1200000	61.6481	57.4684	7.92524	1.74763e+07	99.4942	20.0966	20.3882	
73014	[[0][1,2,3,]]	3	1200000	61.7204	57.511	7.91395	1.74628e+07	99.4948	19.9497	20.3838	
74019	[[0][1,2,3,]]	3	1200000	61.7038	57.5529	7.90186	1.74495e+07	99.4952	20.0551	20.3805	
75023	[[0][1,2,3,]]	3	1200000	61.7282	57.5946	7.88959	1.74364e+07	99.4961	20.1292	20.378	
76028	[[0][1,2,3,]]	3	1200000	61.6891	57.6356	7.87625	1.74233e+07	99.4964	20.1264	20.3755	
77034	[[0][1,2,3,]]	3	1200000	61.6271	57.6755	7.86156	1.74105e+07	99.4964	20.0686	20.3724	
78039	[[0][1,2,3,]]	3	1200000	61.7033	57.7158	7.84747	1.73977e+07	99.4962	20.0788	20.3695	
79044	[[0][1,2,3,]]	3	1200000	61.6933	57.7556	7.83279	1.73849e+07	99.496	20.0622	20.3664	
80050	[[0][1,2,3,]]	3	1200000	61.6135	57.7941	7.8166	1.73725e+07	99.4955	20.092	20.3637	
81067	[[0][1,2,3,]]	3	1200000	61.9855	57.836	7.80516	1.73593e+07	99.4958	20.5383	20.3654	
82068	[[0][1,2,3,]]	3	1200000	61.9424	57.8771	7.79256	1.73465e+07	99.4965	20.5654	20.3674	
83077	[[0][1,2,3,]]	3	1200000	60.4164	57.9025	7.76238	1.73375e+07	99.4952	20.3077	20.3668	
84089	[[0][1,2,3,]]	3	1200000	61.2754	57.9362	7.74068	1.73265e+07	99.4954	20.1189	20.3643	
85092	[[0][1,2,3,]]	3	1200000	61.7934	57.9748	7.72517	1.73143e+07	99.496	20.3506	20.3642	
86098	[[0][1,2,3,]]	3	1200000	61.6779	58.0118	7.70775	1.73026e+07	99.4962	20.1097	20.3616	
87099	[[0][1,2,3,]]	3	1200000	61.9243	58.051	7.69323	1.72902e+07	99.4963	20.6415	20.3644	
88104	[[0][1,2,3,]]	3	1200000	61.6928	58.0874	7.67526	1.72786e+07	99.4966	20.1189	20.362	
89105	[[0][1,2,3,]]	3	1200000	61.9394	58.1259	7.66016	1.72665e+07	99.4966	20.6119	20.3645	
90109	[[0][1,2,3,]]	3	1200000	61.7699	58.1623	7.64245	1.7255e+07	99.4971	20.2417	20.3633	
91113	[[0][1,2,3,]]	3	1200000	61.7273	58.198	7.62389	1.72437e+07	99.4975	20.0668	20.3603	
92118	[[0][1,2,3,]]	3	1200000	61.6999	58.233	7.60469	1.72326e+07	99.498	20.137	20.3581	
93121	[[0][1,2,3,]]	3	1200000	59.7887	58.2486	7.56921	1.72261e+07	99.4943	20.609	20.3606	
