TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
157	[[0][1,2,3,4,5,]]	5	2300000	131.781	131.781	0	7.51675e+06	99.0565	44.2585	44.2585	
235	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,]]	19	1300000	335.727	335.727	0	2.70336e+06	90.7574	43.7352	43.7352	
314	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,]]	13	1700000	282.024	282.024	0	3.36695e+06	94.9577	44.3475	44.3475	
578	[[0][1,2,3,4,5,]]	5	1200000	87.3707	87.3707	0	1.13447e+07	99.1193	22.407	22.407	
655	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	2000000	384.055	384.055	0	2.39736e+06	92.0749	60.0752	60.0752	
971	[[0][1,2,3,4,]]	4	1200000	70.1561	70.1561	0	1.41648e+07	99.3749	21.3472	21.3472	
1065	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,]]	13	2000000	317.295	317.295	0	2.99049e+06	94.8837	53.3369	53.3369	
1381	[[0][1,2,3,4,]]	4	1200000	70.2677	70.2677	0	1.41351e+07	99.3241	21.7658	21.7658	
2396	[[0][1,2,3,4,]]	4	1200000	69.9701	70.2647	0.0421419	1.41356e+07	99.3234	21.6261	21.7644	
3400	[[0][1,2,3,4,]]	4	1200000	69.7032	70.2591	0.0899016	1.41366e+07	99.3226	21.3502	21.7602	
4404	[[0][1,2,3,4,]]	4	1200000	69.7127	70.2537	0.118283	1.41376e+07	99.3217	21.1813	21.7544	
5409	[[0][1,2,3,4,]]	4	1200000	69.6481	70.2476	0.145635	1.41387e+07	99.321	21.1301	21.7482	
6412	[[0][1,2,3,4,]]	4	1200000	69.8085	70.2432	0.1577	1.41394e+07	99.3193	21.6459	21.7472	
7415	[[0][1,2,3,4,]]	4	1200000	69.7718	70.2385	0.170539	1.41403e+07	99.3191	21.3525	21.7432	
8421	[[0][1,2,3,4,]]	4	1200000	69.5943	70.2321	0.192682	1.41415e+07	99.3181	21.2925	21.7387	
9427	[[0][1,2,3,4,]]	4	1200000	69.5951	70.2257	0.211911	1.41427e+07	99.3178	21.249	21.7338	
10434	[[0][1,2,3,4,]]	4	1200000	69.5018	70.2184	0.234492	1.4144e+07	99.3164	21.1405	21.7279	
11440	[[0][1,2,3,4,]]	4	1200000	69.5706	70.212	0.250748	1.41452e+07	99.3155	21.104	21.7217	
12458	[[0][1,2,3,4,]]	4	1200000	64.8748	70.1586	0.797036	1.41564e+07	99.313	21.237	21.7168	
13469	[[0][1,2,3,4,]]	4	1200000	64.3398	70.1004	1.14546	1.41689e+07	99.3111	21.3361	21.713	
14489	[[0][1,2,3,4,]]	4	1200000	32.3256	69.7227	5.51115	1.43323e+07	99.304	21.7395	21.7133	
15490	[[0][1,2,3,4,]]	4	1200000	48.94	69.5148	6.25283	1.43908e+07	99.2989	21.7708	21.7138	
16501	[[0][1,2,3,4,]]	4	1200000	79.1498	69.6112	6.36369	1.43719e+07	99.2955	21.4295	21.711	
17506	[[0][1,2,3,4,]]	4	1200000	82.5651	69.7407	6.5847	1.4348e+07	99.2917	21.3601	21.7075	
18517	[[0][1,2,3,4,]]	4	1200000	83.1131	69.8744	6.81076	1.43238e+07	99.2904	21.312	21.7035	
19525	[[0][1,2,3,4,]]	4	1200000	90.2898	70.0786	7.35237	1.42905e+07	99.2898	21.5613	21.7021	
20531	[[0][1,2,3,4,]]	4	1200000	93.3901	70.3117	8.0028	1.42538e+07	99.2885	21.3334	21.6984	
21538	[[0][1,2,3,4,]]	4	1200000	92.3526	70.5321	8.52504	1.42185e+07	99.2863	21.4241	21.6957	
22543	[[0][1,2,3,4,]]	4	1200000	92.5186	70.752	9.00352	1.41834e+07	99.2843	21.6054	21.6948	
23554	[[0][1,2,3,4,]]	4	1200000	92.0216	70.9647	9.41625	1.41494e+07	99.2837	21.3523	21.6914	
24554	[[0][1,2,3,4,]]	4	1200000	88.9555	71.1446	9.67814	1.41194e+07	99.2824	21.4129	21.6886	
25555	[[0][1,2,3,4,]]	4	1200000	87.9354	71.3125	9.88848	1.40909e+07	99.2808	21.6915	21.6886	
26557	[[0][1,2,3,4,]]	4	1200000	87.8246	71.4776	10.0817	1.40627e+07	99.2777	21.4618	21.6863	
27563	[[0][1,2,3,4,]]	4	1200000	90.5037	71.6679	10.3474	1.40317e+07	99.2772	21.4372	21.6838	
28569	[[0][1,2,3,4,]]	4	1200000	90.3832	71.855	10.5907	1.40012e+07	99.2768	21.3349	21.6804	
29571	[[0][1,2,3,4,]]	4	1200000	88.8793	72.0253	10.7725	1.39728e+07	99.2759	21.3758	21.6773	
30580	[[0][1,2,3,4,]]	4	1200000	88.1554	72.1866	10.9232	1.39455e+07	99.2744	21.3659	21.6742	
31589	[[0][1,2,3,4,]]	4	1200000	90.2099	72.3668	11.121	1.3916e+07	99.2737	21.4336	21.6718	
32592	[[0][1,2,3,4,]]	4	1200000	87.7509	72.5207	11.2417	1.38897e+07	99.2717	21.484	21.6699	
33597	[[0][1,2,3,4,]]	4	1200000	90.5374	72.7008	11.4269	1.38605e+07	99.2719	21.4174	21.6674	
34603	[[0][1,2,3,4,]]	4	1200000	90.4648	72.8785	11.5983	1.38315e+07	99.2708	21.375	21.6645	
35611	[[0][1,2,3,4,]]	4	1200000	90.293	73.0526	11.7544	1.38031e+07	99.2702	21.4981	21.6628	
36613	[[0][1,2,3,4,]]	4	1200000	88.8418	73.2105	11.8659	1.37767e+07	99.2693	21.4404	21.6606	
37617	[[0][1,2,3,4,]]	4	1200000	90.567	73.3841	12.0113	1.37485e+07	99.2692	21.3887	21.6579	
38618	[[0][1,2,3,4,]]	4	1200000	87.958	73.5298	12.0894	1.37238e+07	99.2681	21.323	21.6545	
39624	[[0][1,2,3,4,]]	4	1200000	90.4752	73.6993	12.2172	1.36962e+07	99.268	21.3719	21.6517	
40628	[[0][1,2,3,4,]]	4	1200000	88.62	73.8485	12.2968	1.36711e+07	99.2666	21.4474	21.6496	
41629	[[0][1,2,3,4,]]	4	1200000	89.894	74.0089	12.3978	1.36448e+07	99.2663	21.5237	21.6484	
42636	[[0][1,2,3,4,]]	4	1200000	90.3592	74.1724	12.5024	1.36181e+07	99.2652	21.4143	21.646	
43643	[[0][1,2,3,4,]]	4	1200000	90.3635	74.3343	12.6004	1.35917e+07	99.2643	21.3799	21.6434	
44649	[[0][1,2,3,4,]]	4	1200000	90.4359	74.4953	12.6936	1.35655e+07	99.2636	21.4783	21.6417	
45655	[[0][1,2,3,4,]]	4	1200000	89.4553	74.6449	12.7614	1.35406e+07	99.2624	21.5714	21.641	
46659	[[0][1,2,3,4,]]	4	1200000	89.6424	74.7949	12.8281	1.35159e+07	99.2617	21.449	21.6391	
47666	[[0][1,2,3,4,]]	4	1200000	90.4117	74.9511	12.9048	1.34904e+07	99.2609	21.433	21.637	
48672	[[0][1,2,3,4,]]	4	1200000	90.476	75.1063	12.9776	1.34652e+07	99.2608	21.4308	21.635	
49673	[[0][1,2,3,4,]]	4	1200000	87.8644	75.2339	13.0006	1.34434e+07	99.2596	21.4465	21.6331	
50680	[[0][1,2,3,4,]]	4	1200000	90.4333	75.3859	13.0643	1.34187e+07	99.259	21.3676	21.6304	
51687	[[0][1,2,3,4,]]	4	1200000	90.323	75.5353	13.1215	1.33942e+07	99.2578	21.2975	21.6271	
52691	[[0][1,2,3,4,]]	4	1200000	87.647	75.6564	13.1318	1.33733e+07	99.256	21.35	21.6243	
53697	[[0][1,2,3,4,]]	4	1200000	90.4398	75.8042	13.184	1.33493e+07	99.2554	21.3306	21.6214	
54704	[[0][1,2,3,4,]]	4	1200000	90.3684	75.9499	13.2311	1.33255e+07	99.2542	21.365	21.6188	
55711	[[0][1,2,3,4,]]	4	1200000	90.3926	76.0943	13.2748	1.3302e+07	99.2539	21.374	21.6164	
56719	[[0][1,2,3,4,]]	4	1200000	90.315	76.2365	13.3136	1.32787e+07	99.2523	21.3478	21.6137	
57725	[[0][1,2,3,4,]]	4	1200000	90.3938	76.3781	13.3503	1.32556e+07	99.251	21.2912	21.6105	
58732	[[0][1,2,3,4,]]	4	1200000	90.3404	76.5177	13.3829	1.32328e+07	99.2502	21.3048	21.6074	
59734	[[0][1,2,3,4,]]	4	1200000	88.8908	76.6414	13.391	1.3212e+07	99.2495	21.3837	21.6052	
60743	[[0][1,2,3,4,]]	4	1200000	90.1252	76.7763	13.4148	1.319e+07	99.2492	21.3452	21.6026	
61748	[[0][1,2,3,4,]]	4	1200000	90.5525	76.914	13.4423	1.31677e+07	99.2487	21.784	21.6044	
62755	[[0][1,2,3,4,]]	4	1200000	90.3799	77.0487	13.4643	1.31457e+07	99.2482	21.3715	21.6021	
63761	[[0][1,2,3,4,]]	4	1200000	90.4942	77.1831	13.4853	1.3124e+07	99.2484	21.4072	21.6001	
64764	[[0][1,2,3,4,]]	4	1200000	87.7383	77.2887	13.4681	1.31056e+07	99.2464	21.3611	21.5977	
65770	[[0][1,2,3,4,]]	4	1200000	90.4293	77.4201	13.4841	1.30842e+07	99.2456	21.347	21.5952	
66777	[[0][1,2,3,4,]]	4	1200000	90.3547	77.5495	13.4965	1.30631e+07	99.2446	21.8882	21.5982	
67783	[[0][1,2,3,4,]]	4	1200000	90.4478	77.6784	13.508	1.30421e+07	99.244	21.3842	21.596	
68789	[[0][1,2,3,4,]]	4	1200000	90.46	77.8063	13.5174	1.30214e+07	99.2438	21.4164	21.5942	
69792	[[0][1,2,3,4,]]	4	1200000	87.7591	77.9058	13.4925	1.3004e+07	99.2414	21.3704	21.592	
70792	[[0][1,2,3,4,]]	4	1200000	90.3397	78.0301	13.4969	1.29837e+07	99.24	13.5068	21.5111	
