NumSteps	TimeMs	Time%	TasksNum	Tasks%	Watts	
5	344	0.515503	15	0.250042	45.8892	
3	272	0.407607	10	0.166694	39.1474	
14	1085	1.62593	51	0.850142	42.7362	
4	357	0.534984	14	0.233372	44.3408	
4	278	0.416598	14	0.233372	41.3339	
4	560	0.83919	13	0.216703	32.6386	
4	335	0.502016	14	0.233372	43.4869	
3	269	0.403111	10	0.166694	42.6865	
1	84	0.125879	3	0.0500083	33.4128	
1	69	0.1034	3	0.0500083	67.6993	
3	219	0.328183	10	0.166694	41.6858	
2	287	0.430085	7	0.116686	30.5479	
1	69	0.1034	3	0.0500083	51.7832	
1	78	0.116887	2	0.0333389	45.7539	
1	71	0.106397	3	0.0500083	57.7659	
1	91	0.136368	3	0.0500083	35.4534	
1	64	0.0959074	3	0.0500083	79.9065	
3	247	0.370143	11	0.183364	35.3952	
2	139	0.208299	7	0.116686	40.8199	
1	57	0.0854176	3	0.0500083	82.4023	
1	84	0.125879	3	0.0500083	30.1968	
10	771	1.15539	39	0.650108	40.6074	
1	67	0.100403	4	0.0666778	86.1529	
3	235	0.35216	10	0.166694	38.3261	
1	76	0.11389	4	0.0666778	54.4797	
1	87	0.130374	4	0.0666778	33.5348	
6	510	0.764262	22	0.366728	40.5646	
1	67	0.100403	3	0.0500083	70.0984	
3	220	0.329682	11	0.183364	44.24	
3	264	0.395618	10	0.166694	47.3911	
7	602	0.902129	25	0.416736	37.7461	
1	68	0.101902	3	0.0500083	54.578	
4	323	0.484033	14	0.233372	45.2358	
1	88	0.131873	4	0.0666778	34.6291	
1	68	0.101902	3	0.0500083	70.8127	
1	101	0.151354	3	0.0500083	32.2633	
1	72	0.107896	4	0.0666778	47.4167	
1	79	0.118386	3	0.0500083	42.0648	
2	198	0.296714	8	0.133356	38.405	
1	73	0.109394	4	0.0666778	53.4584	
1	80	0.119884	4	0.0666778	48.8241	
2	307	0.460056	8	0.133356	29.5212	
1	66	0.0989046	3	0.0500083	64.2192	
1	84	0.125879	3	0.0500083	33.5237	
6	523	0.783744	22	0.366728	41.9297	
1	96	0.143861	4	0.0666778	56.5629	
9	760	1.1389	37	0.616769	39.8045	
3	237	0.355157	10	0.166694	52.4925	
4	387	0.57994	13	0.216703	37.71	
1	88	0.131873	3	0.0500083	31.2961	
3	227	0.340172	10	0.166694	46.688	
3	344	0.515503	10	0.166694	33.3632	
5	343	0.514004	16	0.266711	48.237	
6	450	0.674349	20	0.333389	48.5643	
4	252	0.377636	15	0.250042	53.8705	
2	293	0.439076	6	0.100017	36.1889	
3	234	0.350662	10	0.166694	35.2127	
6	442	0.662361	21	0.350058	42.1342	
1	100	0.149855	3	0.0500083	48.0421	
7	598	0.896135	23	0.383397	39.8356	
3	221	0.33118	10	0.166694	47.1865	
4	287	0.430085	13	0.216703	47.1353	
8	590	0.884147	31	0.516753	38.3717	
6	465	0.696828	21	0.350058	47.3684	
1	94	0.140864	4	0.0666778	31.6897	
1	70	0.104899	4	0.0666778	41.878	
1	82	0.122881	3	0.0500083	39.1044	
1	74	0.110893	4	0.0666778	80.6262	
1	135	0.202305	4	0.0666778	28.3064	
2	133	0.199308	8	0.133356	58.954	
3	344	0.515503	12	0.200033	37.3831	
3	263	0.39412	11	0.183364	42.1539	
2	137	0.205302	7	0.116686	48.7958	
3	279	0.418097	10	0.166694	40.8641	
1	96	0.143861	4	0.0666778	44.0025	
2	145	0.21729	7	0.116686	41.0438	
2	136	0.203803	7	0.116686	54.6946	
2	187	0.28023	13	0.216703	34.6955	
1	77	0.115389	3	0.0500083	38.422	
1	111	0.166339	4	0.0666778	35.0966	
12	849	1.27227	40	0.666778	47.111	
3	376	0.563456	12	0.200033	41.2667	
4	301	0.451065	13	0.216703	46.8684	
1	89	0.133371	4	0.0666778	34.6381	
3	267	0.400114	11	0.183364	43.5545	
1	89	0.133371	4	0.0666778	42.9874	
9	716	1.07296	36	0.6001	43.9403	
3	244	0.365647	11	0.183364	38.5413	
1	67	0.100403	3	0.0500083	79.0893	
1	158	0.236772	3	0.0500083	22.3229	
1	68	0.101902	3	0.0500083	52.3199	
1	77	0.115389	4	0.0666778	46.4053	
1	71	0.106397	3	0.0500083	58.1487	
1	81	0.121383	3	0.0500083	34.5342	
1	64	0.0959074	3	0.0500083	79.0231	
