TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
64	[[0][1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,]]	12	1600000	56.7616	56.7616	0	2.44612e+06	13.8796	44.5653	44.5653	
157	[[0][1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,]]	7	2000000	46.5399	46.5399	0	4.70397e+06	19.8435	43.4769	43.4769	
210	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,]]	18	1300000	48.9078	48.9078	0	2.53786e+06	12.4286	45.1405	45.1405	
283	[[0][1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,]]	4	1700000	34.1997	34.1997	0	2.71412e+06	9.94732	27.4626	27.4626	
355	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1,2,3,4,5,6,7,8,]]	15	2100000	49.3844	49.3844	0	1.7369e+06	8.58822	65.9348	65.9348	
416	[[0][1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9,1,2,3,4,5,]]	9	1500000	48.0798	48.0798	0	2.27999e+06	10.9778	33.5808	33.5808	
469	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,2,3,]]	20	1900000	47.8334	47.8334	0	1.7925e+06	8.58761	70.7019	70.7019	
627	[[0][1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,]]	2	2300000	26.8605	26.8605	0	3.92495e+06	10.094	29.5967	29.5967	
672	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	378.853	378.853	0	2.38308e+06	90.2796	47.3265	47.3265	
683	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	382.971	379.264	0.325773	2.38135e+06	90.3113	43.6965	46.9635	
696	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	382.485	379.587	0.400172	2.37827e+06	90.2705	46.5334	46.9205	
707	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	384.991	380.127	0.57066	2.37527e+06	90.2834	44.2546	46.6539	
748	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,]]	13	1200000	62.3771	62.3771	0	2.41499e+06	15.032	34.0252	34.0252	
818	[[0][1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,]]	8	1600000	62.4161	62.4161	0	2.66003e+06	15.6953	33.5089	33.5089	
870	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1,2,3,4,]]	19	2000000	51.8033	51.8033	0	1.65847e+06	8.60579	72.0891	72.0891	
917	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	387.017	387.017	0	2.3365e+06	90.4492	46.8795	46.8795	
928	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	383.964	386.711	0.236828	2.33681e+06	90.3877	44.0934	46.6009	
940	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	388.325	386.873	0.257102	2.33609e+06	90.3948	45.8011	46.5209	
953	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	384.621	386.648	0.300121	2.33627e+06	90.3459	44.8919	46.358	
1008	[[0][1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,]]	5	1400000	45.7043	45.7043	0	3.81917e+06	17.3393	25.6175	25.6175	
1073	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	385.928	385.928	0	2.34522e+06	90.5178	47.0963	47.0963	
1084	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	384.858	385.821	0.0832139	2.34579e+06	90.5126	44.2329	46.81	
1097	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	386.678	385.907	0.103303	2.34442e+06	90.4794	45.8486	46.7139	
1109	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	384.572	385.773	0.142796	2.3437e+06	90.4201	44.5148	46.4939	
1151	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,]]	16	1800000	64.6904	64.6904	0	1.80646e+06	11.6725	59.4971	59.4971	
1220	[[0][1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,]]	11	2200000	55.5189	55.5189	0	1.89394e+06	10.5016	55.0516	55.0516	
1261	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1,]]	22	1500000	98.5754	98.5754	0	1.99348e+06	19.8428	59.2912	59.2912	
1475	[[0][1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,]]	2	1900000	24.1259	24.1259	0	1.97365e+06	4.76158	25.809	25.809	
1521	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	386.714	386.714	0	2.34849e+06	90.8175	46.391	46.391	
1534	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	387.979	386.841	0.0980765	2.3481e+06	90.8327	45.6929	46.3212	
1547	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	385.215	386.678	0.156768	2.34812e+06	90.7951	44.0708	46.0962	
1558	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	387.679	386.778	0.167753	2.34791e+06	90.811	46.2899	46.1156	
1598	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,]]	13	2300000	63.858	63.858	0	1.57803e+06	10.0461	66.4734	66.4734	
1691	[[0][1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,]]	7	1300000	53.5501	53.5501	0	2.3505e+06	12.5971	27.4063	27.4063	
1760	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	386.317	386.317	0	2.34956e+06	90.7563	46.1455	46.1455	
1770	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	384.347	386.12	0.153045	2.34893e+06	90.6871	46.1444	46.1454	
1783	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	386.692	386.177	0.151825	2.34842e+06	90.6814	45.4472	46.0756	
1796	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	388.399	386.4	0.224642	2.34788e+06	90.713	44.0582	45.8738	
1837	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,]]	18	1700000	68.3555	68.3555	0	1.86266e+06	12.7005	59.0398	59.0398	
1892	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	389.207	389.207	0	2.34857e+06	91.3809	46.6549	46.6549	
