TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
89	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	244.155	244.155	0	3.94584e+06	96.3421	41.3275	41.3275	
228	[[0][1,2,3,4,5,6,7,]]	7	2000000	152.985	152.985	0	6.45637e+06	98.7727	36.3611	36.3611	
305	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	321.407	321.407	0	2.84689e+06	91.499	41.7528	41.7528	
402	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,]]	21	1900000	465.781	465.781	0	1.89714e+06	88.3711	67.1443	67.1443	
632	[[0][1,2,3,4,]]	4	1700000	89.2574	89.2574	0	1.11404e+07	99.4362	29.9693	29.9693	
731	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	379.26	379.26	0	2.35222e+06	89.2084	44.9483	44.9483	
790	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,]]	15	2100000	370.934	370.934	0	2.50161e+06	92.7932	60.3515	60.3515	
865	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	502.608	502.608	0	1.73697e+06	87.3024	71.1685	71.1685	
1867	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	503.91	502.621	0.0257772	1.73699e+06	87.3055	71.6184	71.173	
2871	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	502.859	502.623	0.026079	1.73703e+06	87.3084	71.7596	71.1789	
3875	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	503.124	502.628	0.0277761	1.73708e+06	87.3115	71.6912	71.184	
4878	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	491.057	502.512	0.230776	1.73752e+06	87.3132	71.6982	71.1892	
5880	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	489.445	502.382	0.346029	1.73809e+06	87.318	71.765	71.1949	
6882	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	489.264	502.251	0.431433	1.73864e+06	87.3225	71.7376	71.2003	
7886	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	489.516	502.123	0.498043	1.7392e+06	87.3276	71.8222	71.2066	
8890	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	489.17	501.994	0.558224	1.73974e+06	87.3317	71.6807	71.2113	
9892	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	489.482	501.869	0.608428	1.74028e+06	87.3361	71.7885	71.2171	
10896	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	489.376	501.744	0.654246	1.74081e+06	87.3403	71.8009	71.2229	
11900	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	487.439	501.601	0.710294	1.74138e+06	87.3435	71.8744	71.2294	
12900	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	481.746	501.402	0.809383	1.74222e+06	87.3491	56.5976	71.0831	
