TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
20	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	251.173	251.173	0	3.39026e+06	85.1323	41.774	41.774	
43	[[0][1,2,3,4,5,6,7,]]	7	2000000	210.081	210.081	0	4.72186e+06	99.1969	40.8253	40.8253	
67	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	328.769	328.769	0	2.79238e+06	91.6839	41.084	41.084	
92	[[0][1,2,3,4,]]	4	1700000	108.184	108.184	0	9.18566e+06	99.3722	29.6322	29.6322	
121	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,]]	15	2100000	390.163	390.163	0	2.28345e+06	88.9616	59.1118	59.1118	
165	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	565.021	565.021	0	1.60726e+06	90.7081	81.7995	81.7995	
175	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	558.533	564.373	0.344882	1.60691e+06	90.5948	82.2313	81.8427	
186	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	559.571	563.892	0.415306	1.60578e+06	90.4642	82.2501	81.8834	
197	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	564.615	563.965	0.395816	1.60444e+06	90.4088	86.5548	82.3505	
1198	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	563.009	563.869	0.378997	1.60362e+06	90.3548	83.3237	82.4479	
2200	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	561.811	563.663	0.375986	1.60317e+06	90.3034	83.2076	82.5238	
3202	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	562.221	563.519	0.364957	1.60282e+06	90.2664	83.3663	82.6081	
4204	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	547.945	561.962	0.900993	1.60708e+06	90.256	83.5299	82.7003	
5206	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	551.939	560.959	1.01021	1.61019e+06	90.2722	83.5246	82.7827	
6207	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	560.289	560.892	0.959152	1.61128e+06	90.3277	83.5946	82.8639	
7208	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	559.563	560.759	0.91292	1.61251e+06	90.3796	83.7012	82.9476	
8209	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	559.002	560.584	0.871431	1.61379e+06	90.4272	83.734	83.0263	
9211	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	558.118	560.337	0.837547	1.61525e+06	90.4732	83.6866	83.0923	
10212	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	565.699	560.873	0.844027	1.61498e+06	90.5481	83.5281	83.1359	
11212	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2200000	567.413	561.527	0.872775	1.61441e+06	90.6243	53.7066	80.1929	
