TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
245	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	123.473	123.473	0	4.79271e+06	59.1876	43.419	43.419	
497	[[0][1,2,3,4,5,6,7,]]	7	2000000	93.4639	93.4639	0	6.28422e+06	58.7346	36.8384	36.8384	
613	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	243.401	243.401	0	2.81047e+06	68.4027	40.4441	40.4441	
895	[[0][1,2,3,4,5,6,7,8,]]	8	1300000	92.4462	92.4462	0	6.67616e+06	61.7185	27.5121	27.5121	
1176	[[0][1,2,3,4,]]	4	1700000	76.3017	76.3017	0	1.17777e+07	89.866	26.4299	26.4299	
1307	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	277.547	277.547	0	2.32674e+06	64.5779	42.398	42.398	
1419	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,]]	15	2100000	201.878	201.878	0	2.45217e+06	49.5049	58.9623	58.9623	
1559	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	200.725	200.725	0	2.32343e+06	46.6373	43.4832	43.4832	
1742	[[0][1,2,3,4,5,6,7,8,9,]]	9	1500000	120.459	120.459	0	5.54174e+06	66.7553	31.6523	31.6523	
1868	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	265.85	265.85	0	2.32679e+06	61.8574	42.7574	42.7574	
1955	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,]]	20	1900000	304.833	304.833	0	1.96256e+06	59.8257	61.192	61.192	
2094	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	204.998	204.998	0	2.32696e+06	47.7023	43.4651	43.4651	
2581	[[0][1,2,]]	2	2300000	42.5315	42.5315	0	2.06248e+07	87.7202	28.9499	28.9499	
2739	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	200.568	200.568	0	2.34796e+06	47.0913	43.4264	43.4264	
2898	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,]]	13	1200000	157.55	157.55	0	4.21438e+06	66.3988	31.7052	31.7052	
3062	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	204.969	204.969	0	2.33449e+06	47.8502	43.4452	43.4452	
3293	[[0][1,2,3,4,5,6,7,8,]]	8	1600000	93.4421	93.4421	0	6.10168e+06	57.0154	32.1844	32.1844	
3439	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	205.124	205.124	0	2.33761e+06	47.9488	43.3745	43.3745	
3526	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,]]	19	2000000	305.065	305.065	0	1.97994e+06	60.4017	62.3934	62.3934	
3641	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1500000	305.008	305.008	0	1.9853e+06	60.5512	52.777	52.777	
3904	[[0][1,2,3,4,5,]]	5	1400000	77.7136	77.7136	0	1.03048e+07	80.0823	24.3946	24.3946	
4030	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	277.5	277.5	0	2.33693e+06	64.8497	42.6923	42.6923	
5032	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	389.541	278.621	4.0011	2.3369e+06	65.1101	45.1283	42.7167	
6033	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	390.288	279.737	5.61232	2.33687e+06	65.37	45.1209	42.7407	
7036	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	390.116	280.841	6.79935	2.33684e+06	65.6268	45.1251	42.7646	
8061	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	376.382	281.797	7.53917	2.3372e+06	65.8642	45.2542	42.7895	
9062	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	374.827	282.727	8.16211	2.33806e+06	66.1131	45.1272	42.8128	
10064	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	377.071	283.67	8.74451	2.33889e+06	66.3653	45.1393	42.8361	
11066	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	377.489	284.608	9.27152	2.33972e+06	66.6158	45.0965	42.8587	
12068	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	377.122	285.534	9.74391	2.34055e+06	66.863	45.1034	42.8812	
13070	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	373.274	286.411	10.1346	2.3415e+06	67.1038	45.2047	42.9044	
14072	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	365.097	287.198	10.4191	2.34289e+06	67.3382	45.1526	42.9269	
15075	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	355.219	287.878	10.6062	2.34459e+06	67.5574	45.4131	42.9517	
16101	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	360.426	288.604	10.8196	2.34614e+06	67.7832	45.4018	42.9762	
17102	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	368.721	289.405	11.0833	2.34731e+06	68.013	45.2534	42.999	
18104	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	370.199	290.213	11.3406	2.34854e+06	68.2476	45.2133	43.0212	
19104	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1200000	352.654	290.837	11.4603	2.35057e+06	68.465	26.8465	42.8594	
