TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
89	[[0][1,2,3,4,5,6,7,8,9,10,11,12,]]	12	1600000	240.89	240.89	0	3.94812e+06	95.1075	41.0831	41.0831	
215	[[0][1,2,3,4,5,6,7,]]	7	2000000	172.157	172.157	0	5.72699e+06	98.5936	41.2492	41.2492	
286	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,]]	18	1300000	320.508	320.508	0	2.84516e+06	91.1846	41.5532	41.5532	
411	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	288.677	288.677	0	3.19798e+06	92.3205	37.0057	37.0057	
1415	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	287.017	288.661	0.0572263	3.19806e+06	92.3174	37.2805	37.0085	
2418	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	286.879	288.643	0.0837439	3.19819e+06	92.3156	37.1825	37.0102	
3420	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	286.712	288.624	0.106656	3.19836e+06	92.3142	37.1656	37.0118	
4421	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	286.627	288.604	0.126491	3.19853e+06	92.3127	37.2014	37.0137	
5423	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	286.519	288.583	0.144933	3.19868e+06	92.3102	37.1707	37.0152	
6425	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	284.291	288.54	0.206651	3.19899e+06	92.3053	37.3158	37.0182	
7429	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	276.752	288.422	0.455731	3.20037e+06	92.3058	37.2714	37.0208	
8431	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	276.593	288.304	0.610284	3.20173e+06	92.3055	37.2724	37.0233	
9432	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	276.676	288.187	0.728132	3.20307e+06	92.3055	37.2415	37.0255	
10434	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	276.463	288.07	0.830241	3.20441e+06	92.3048	37.2728	37.0279	
11436	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	276.52	287.955	0.917728	3.20571e+06	92.3039	37.3014	37.0307	
12439	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	272.302	287.798	1.06187	3.20754e+06	92.3036	37.2872	37.0332	
13440	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	270.684	287.627	1.21165	3.20956e+06	92.3035	37.3133	37.036	
14443	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	268.088	287.432	1.38307	3.21194e+06	92.3047	37.2324	37.038	
15446	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	277.114	287.328	1.42225	3.21339e+06	92.312	37.2757	37.0404	
16450	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	274.753	287.203	1.48125	3.21503e+06	92.3167	37.1459	37.0414	
17454	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	275.072	287.081	1.53322	3.21668e+06	92.3234	37.1652	37.0427	
18458	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	283.012	287.041	1.53226	3.21756e+06	92.3353	37.1222	37.0435	
19459	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	278.737	286.958	1.55196	3.21883e+06	92.3444	37.1661	37.0447	
20461	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	276.368	286.852	1.58782	3.22026e+06	92.3499	37.2635	37.0469	
21462	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	276.615	286.749	1.61985	3.2217e+06	92.3569	37.289	37.0493	
22462	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,]]	17	1200000	281.88	286.701	1.62083	3.22251e+06	92.3644	11.2823	36.7916	
