TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
67	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,]]	15	2100000	344.03	344.03	0	2.70477e+06	93.0543	61.9397	61.9397	
138	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,]]	16	1600000	317.082	317.082	0	2.89763e+06	91.8759	47.1839	47.1839	
1080	[[0][1,]]	1	1700000	21.3994	21.3994	0	4.67291e+07	99.9973	24.4408	24.4408	
1216	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	1900000	493.864	493.864	0	1.79577e+06	88.6816	71.7176	71.7176	
1318	[[0][1,2,3,4,5,6,7,8,]]	8	2300000	208.564	208.564	0	4.71613e+06	98.3616	50.6057	50.6057	
1393	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	530.871	530.871	0	1.67599e+06	88.9755	79.3674	79.3674	
2395	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	528.905	530.852	0.0368483	1.67601e+06	88.9734	79.7448	79.3712	
3397	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	527.911	530.822	0.066203	1.67607e+06	88.9714	79.8098	79.3756	
4398	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	527.563	530.79	0.0898486	1.67613e+06	88.9692	79.9089	79.3809	
5399	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	516.089	530.642	0.289786	1.67657e+06	88.9671	79.9514	79.3866	
6400	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	514.517	530.481	0.417927	1.67708e+06	88.9665	79.9573	79.3923	
7402	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	514.713	530.324	0.510436	1.67759e+06	88.9664	80.0807	79.3992	
8405	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	515.044	530.171	0.583368	1.6781e+06	88.9668	80.0621	79.4059	
9406	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	514.299	530.012	0.652608	1.67859e+06	88.9657	80.0871	79.4127	
10407	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	514.449	529.856	0.712246	1.67909e+06	88.965	80.0288	79.4188	
11408	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	511.563	529.673	0.787816	1.67968e+06	88.9649	80.0219	79.4249	
12409	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	506.378	529.441	0.898142	1.6804e+06	88.9619	80.2163	79.4328	
13409	[[0][1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,]]	23	2100000	499.878	529.145	1.05285	1.6813e+06	88.9576	40.2187	79.0406	
