#Workers	Frequency	Time	Watts	Bandwidth
1	1200000	275.062	17.5532	21.8133
1	1300000	289.831	18.4659	20.7017
1	1400000	273.729	19.2392	21.9195
1	1500000	258.218	20.0299	23.2362
1	1600000	249.235	20.8887	24.0737
1	1700000	215.402	21.6705	27.8549
1	1800000	229.887	22.5939	26.0998
1	1900000	221.263	23.6368	27.1171
1	2000000	214.531	24.5888	27.968
1	2100000	187.797	25.5395	31.9494
1	2200000	203.053	26.2526	29.5489
1	2300000	198.682	26.6362	30.199
1	2400000	193.4	27.5127	31.0238
2	1200000	155.948	18.9621	38.4744
2	1300000	145.9	19.8738	41.1241
2	1400000	124.475	20.9056	48.2025
2	1500000	117.789	21.8059	50.9385
2	1600000	127.957	22.7841	46.8908
2	1700000	109.343	23.8385	54.8732
2	1800000	105.699	24.5952	56.765
2	1900000	113.194	25.8441	53.0063
2	2000000	99.02	26.8632	60.5938
2	2100000	105.761	28.046	56.7317
2	2200000	101.878	28.7008	58.894
2	2300000	99.552	30.2364	60.27
2	2400000	96.912	30.78	61.9118
3	1200000	104.906	20.3537	57.1941
3	1300000	88.577	21.2757	67.7377
3	1400000	84.485	22.209	71.0185
3	1500000	81.247	23.3351	73.8489
3	1600000	76.404	24.9979	78.5299
3	1700000	70.376	25.5382	85.2563
3	1800000	75.814	26.3994	79.1411
3	1900000	70.059	28.0458	85.6421
3	2000000	73.4	29.8449	81.7439
3	2100000	71.659	30.0747	83.7299
3	2200000	68.128	31.7584	88.0695
3	2300000	59.577	32.6329	100.71
3	2400000	66.37	33.4322	90.4023
4	1200000	79.638	21.5571	75.3409
4	1300000	68.053	22.7006	88.1666
4	1400000	64.892	24.0003	92.4613
4	1500000	67.814	25.4578	88.4773
4	1600000	64.677	26.1892	92.7687
4	1700000	57.18	27.7675	104.932
4	1800000	55.842	28.9188	107.446
4	1900000	58.27	30.6151	102.969
4	2000000	55.76	31.2917	107.604
4	2100000	54.154	32.9271	110.795
4	2200000	51.832	33.7793	115.759
4	2300000	46.81	35.3473	128.178
4	2400000	43.337	36.4294	138.45
5	1200000	63.87	22.7343	93.9408
5	1300000	55.441	24.083	108.223
5	1400000	52.99	25.2618	113.229
5	1500000	49.623	26.6457	120.912
5	1600000	49.597	27.8239	120.975
5	1700000	43.778	29.2476	137.055
5	1800000	48.27	30.7116	124.301
5	1900000	46.777	31.8604	128.268
5	2000000	43.218	33.5814	138.831
5	2100000	43.484	35.6828	137.982
5	2200000	35.974	36.3394	166.787
5	2300000	41.652	37.3481	144.051
5	2400000	40.926	39.1008	146.606
6	1200000	53.761	23.9811	111.605
6	1300000	47.076	25.2347	127.453
6	1400000	45.73	26.573	131.205
6	1500000	42.429	28.0338	141.413
6	1600000	41.153	29.6253	145.797
6	1700000	42.478	30.7769	141.25
6	1800000	38.713	32.6841	154.987
6	1900000	39.453	33.8572	152.08
6	2000000	31.953	35.6668	187.776
6	2100000	36.918	37.1064	162.522
6	2200000	36.127	38.418	166.081
6	2300000	30.354	40.6842	197.668
6	2400000	34	41.4195	176.471
7	1200000	43.296	24.9345	138.581
7	1300000	41.226	26.165	145.539
7	1400000	39.506	27.8405	151.876
7	1500000	37.48	29.2759	160.085
7	1600000	36.53	31.4627	164.249
7	1700000	36.151	32.797	165.971
7	1800000	35.27	34.3785	170.116
7	1900000	35.217	35.2335	170.372
7	2000000	33.474	37.0701	179.244
7	2100000	31.982	38.8218	187.606
7	2200000	27.653	40.3226	216.975
7	2300000	26.388	42.4355	227.376
7	2400000	29.008	43.498	206.839
8	1200000	40.821	26.0351	146.983
8	1300000	36.745	27.6891	163.288
8	1400000	35.286	29.1294	170.039
8	1500000	32.638	31.3271	183.835
8	1600000	32.217	32.8594	186.237
8	1700000	32.468	34.0951	184.797
8	1800000	27.581	35.7393	217.541
8	1900000	29.952	37.9948	200.321
8	2000000	29.456	39.2492	203.694
8	2100000	28.534	41.1767	210.275
8	2200000	27.438	43.4023	218.675
8	2300000	27.135	45.2506	221.117
8	2400000	22.511	47.5277	266.536
9	1200000	34.905	27.7452	171.895
9	1300000	33.377	29.5173	179.765
9	1400000	32.363	31.0975	185.397
9	1500000	31.567	33.1435	190.072
9	1600000	29	35.1075	206.897
9	1700000	27.682	37.1962	216.747
9	1800000	26.453	39.5047	226.817
9	1900000	27.048	40.5233	221.828
9	2000000	25.605	43.4067	234.329
9	2100000	25.595	44.6205	234.421
9	2200000	21.923	46.3048	273.685
9	2300000	24.202	49.9162	247.913
9	2400000	22.624	50.3843	265.205
10	1200000	33.744	28.7937	177.809
10	1300000	31.732	30.5448	189.084
10	1400000	29.652	32.2371	202.347
10	1500000	27.369	34.3458	219.226
10	1600000	27.691	36.3603	216.677
10	1700000	26.505	37.7464	226.372
10	1800000	25.409	40.5778	236.137
10	1900000	25.258	42.0529	237.548
10	2000000	24.416	43.6513	245.74
10	2100000	23.162	46.8684	259.045
10	2200000	21.46	49.1028	279.59
10	2300000	22.116	51.3407	271.297
10	2400000	20.454	53.0097	293.341
11	1200000	30.371	30.077	197.557
11	1300000	28.568	31.884	210.025
11	1400000	27.548	33.5707	217.802
11	1500000	27.639	35.3383	217.085
11	1600000	24.961	37.8216	240.375
11	1700000	21.361	41.2703	280.886
11	1800000	23.879	42.6366	251.267
11	1900000	23.204	44.2553	258.576
11	2000000	22.072	47.7739	271.838
11	2100000	22.145	48.3813	270.942
11	2200000	17.888	51.7641	335.42
11	2300000	20.68	53.9067	290.135
11	2400000	19.698	55.5958	304.599
12	1200000	29.135	31.4059	205.938
12	1300000	28.495	33.6677	210.563
12	1400000	26.683	36.1008	224.862
12	1500000	24.72	38.5711	242.718
12	1600000	24.552	41.0207	244.379
12	1700000	22.98	43.8496	261.097
12	1800000	21.224	46.9294	282.699
12	1900000	20.968	49.2485	286.15
12	2000000	19.823	51.8499	302.679
12	2100000	19.879	54.735	301.826
12	2200000	18.622	57.9717	322.2
12	2300000	17.941	60.5171	334.43
12	2400000	17.975	63.4533	333.797
13	1200000	26.734	32.6127	224.433
13	1300000	26.041	35.0494	230.406
13	1400000	23.518	37.5759	255.124
13	1500000	22.743	40.1631	263.817
13	1600000	22.592	42.9794	265.581
13	1700000	21.83	45.7046	274.851
13	1800000	19.877	48.1671	301.856
13	1900000	19.181	51.4988	312.81
13	2000000	18.488	54.1934	324.535
13	2100000	18.089	56.9329	331.693
13	2200000	17.581	60.1983	341.278
13	2300000	17.01	63.0111	352.734
13	2400000	16.732	65.9902	358.594
14	1200000	24.573	33.6996	244.17
14	1300000	23.488	36.4338	255.45
14	1400000	22.208	39.1085	270.173
14	1500000	21.443	41.8269	279.812
14	1600000	21.188	44.7248	283.179
14	1700000	20.501	47.2223	292.669
14	1800000	18.962	49.9069	316.422
14	1900000	18.115	53.2029	331.217
14	2000000	17.457	56.3829	343.702
14	2100000	17.442	59.4806	343.997
14	2200000	16.586	62.3571	361.751
14	2300000	15.915	65.313	377.003
14	2400000	15.578	68.9397	385.159
15	1200000	24.162	35.0881	248.324
15	1300000	22.968	37.5469	261.233
15	1400000	21.936	40.2493	273.523
15	1500000	20.077	43.5665	298.849
15	1600000	18.901	45.8597	317.444
15	1700000	18.192	49.1594	329.815
15	1800000	17.543	51.9688	342.017
15	1900000	16.948	54.8855	354.024
15	2000000	16.355	58.942	366.86
15	2100000	15.901	61.1023	377.335
15	2200000	15.512	64.527	386.797
15	2300000	15.165	68.2381	395.648
15	2400000	14.868	71.2226	403.551
16	1200000	22.808	36.1301	263.066
16	1300000	20.532	39.0533	292.227
16	1400000	20.418	41.905	293.858
16	1500000	18.631	44.8432	322.044
16	1600000	18.786	47.6571	319.387
16	1700000	17.251	51.0708	347.806
16	1800000	17.044	54.1184	352.03
16	1900000	15.976	56.9819	375.563
16	2000000	15.424	60.5689	389.004
16	2100000	14.948	63.2647	401.391
16	2200000	14.61	66.9874	410.678
16	2300000	13.933	70.1901	430.632
16	2400000	13.809	73.7112	434.499
17	1200000	20.605	37.4442	291.191
17	1300000	20.396	40.4529	294.175
17	1400000	19.234	43.479	311.948
17	1500000	17.914	46.2622	334.934
17	1600000	17.429	49.6777	344.254
17	1700000	16.257	52.7098	369.072
17	1800000	15.73	55.5687	381.437
17	1900000	15.441	59.2247	388.576
17	2000000	14.646	62.4983	409.668
17	2100000	14.487	66.8981	414.164
17	2200000	13.709	69.2417	437.669
17	2300000	13.554	73.1401	442.674
17	2400000	13.662	76.5315	439.174
18	1200000	19.694	38.731	304.661
18	1300000	19.377	41.9818	309.645
18	1400000	18.399	44.9946	326.105
18	1500000	16.675	48.1474	359.82
18	1600000	16.067	51.5052	373.436
18	1700000	15.586	54.5838	384.961
18	1800000	14.902	57.6421	402.631
18	1900000	14.638	61.4484	409.892
18	2000000	13.932	64.621	430.663
18	2100000	13.758	68.34	436.11
18	2200000	13.411	72.9227	447.394
18	2300000	13.001	75.5077	461.503
18	2400000	12.468	79.3149	481.232
