TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
301	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	716.888	716.888	0	1.87285e+07	60.4559	44.1535	44.1535	
630	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	503.85	503.85	0	3.0204e+07	68.9014	38.388	38.388	
898	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	1179.74	1179.74	0	1.44606e+07	76.6987	47.3147	47.3147	
1244	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	1700000	535.054	535.054	0	3.71246e+07	87.9778	33.0326	33.0326	
1503	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,2,3,4,5,6,7,8,9,][1]]	14	2100000	1642.15	1642.15	0	1.00853e+07	75.0427	70.107	70.107	
1809	[[0][2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,][1]]	9	1500000	956.13	956.13	0	1.99601e+07	85.6373	39.0586	39.0586	
2060	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,2,3,4,][1]]	19	1900000	1485.6	1485.6	0	8.68014e+06	58.324	74.1965	74.1965	
2436	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	2300000	385.085	385.085	0	5.28237e+07	86.9325	35.8996	35.8996	
2705	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,2,3,4,5,6,7,8,9,10,][1]]	13	1200000	994.708	994.708	0	1.92434e+07	86.4991	38.2327	38.2327	
2995	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1295.53	1295.53	0	1.13295e+07	66.7128	50.7368	50.7368	
3212	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1294.99	1295.47	0.0123174	1.13335e+07	66.7332	50.6997	50.7331	
3429	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1303.7	1296.29	0.190657	1.13258e+07	66.7299	50.6558	50.7254	
3648	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1315.05	1298.17	0.469491	1.1331e+07	66.8586	50.869	50.7397	
4664	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1299.82	1298.33	0.446964	1.13305e+07	66.8643	50.7692	50.7427	
5684	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1228.49	1291.35	1.67765	1.13249e+07	66.4736	50.7402	50.7424	
6703	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1293.2	1291.53	1.59191	1.13203e+07	66.4563	50.8665	50.7548	
7728	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1306.19	1293	1.54636	1.13206e+07	66.5331	50.8461	50.764	
8745	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1277.86	1291.49	1.51025	1.13212e+07	66.459	50.7408	50.7616	
9763	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1305.75	1292.91	1.46893	1.13187e+07	66.5176	50.8809	50.7736	
10786	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1273.12	1290.93	1.46953	1.13313e+07	66.4889	50.7444	50.7706	
11804	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1269.51	1288.79	1.48284	1.13318e+07	66.3814	50.7313	50.7667	
12821	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1301.79	1290.09	1.43746	1.13357e+07	66.4718	50.7206	50.7621	
13843	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1303.94	1291.48	1.39971	1.13359e+07	66.5448	50.7383	50.7597	
14861	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1300.04	1292.33	1.34183	1.1337e+07	66.5955	50.6962	50.7534	
15879	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1272.49	1290.35	1.35582	1.13321e+07	66.4648	50.6892	50.7469	
16902	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1283.12	1289.63	1.29791	1.13355e+07	66.4473	50.7237	50.7446	
17919	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1289.35	1289.6	1.23134	1.13346e+07	66.441	50.6946	50.7396	
18939	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1284.28	1289.07	1.17517	1.13311e+07	66.3932	50.7442	50.7401	
19955	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1269.46	1287.11	1.20648	1.13311e+07	66.2923	50.709	50.737	
20975	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1298.73	1288.27	1.17516	1.13306e+07	66.3491	50.6735	50.7306	
21994	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1270.54	1286.5	1.19048	1.13296e+07	66.2521	50.6674	50.7243	
23017	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	1277.94	1285.64	1.14763	1.13308e+07	66.2151	50.69	50.7209	
