TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
239	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1230.17	1230.17	0	8.55972e+06	87.6192	47.9294	47.9294	
459	[[0][2,3,4,5,6,7,][1]]	6	2000000	993.334	993.334	0	5.93598e+06	98.2306	48.0434	48.0434	
692	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	1318.37	1318.37	0	1.0817e+07	83.7531	46.8916	46.8916	
907	[[0][2,3,4,5,][1]]	4	1700000	556.894	556.894	0	7.0981e+06	98.6834	34.8457	34.8457	
1129	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	973.057	973.057	0	6.7041e+06	46.5625	66.7933	66.7933	
1352	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	982.073	982.073	0	8.96848e+06	97.8253	39.6685	39.6685	
1575	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1900000	1900.78	1900.78	0	7.49925e+06	74.8423	73.1558	73.1558	
1790	[[0][2,3,][1]]	2	2300000	477.85	477.85	0	4.10405e+06	98.0427	42.6725	42.6725	
2014	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,][1]]	13	1200000	1115.62	1115.62	0	1.14456e+07	98.1316	38.0189	38.0189	
2283	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1461.84	1461.84	0	9.86622e+06	65.542	58.3539	58.3539	
2499	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1450.85	1460.75	0.22571	9.85851e+06	65.4435	58.9048	58.409	
2713	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1503.28	1465	0.896817	9.85562e+06	65.615	58.7641	58.4445	
2929	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1449.93	1463.49	0.905933	9.84943e+06	65.5081	58.6961	58.4697	
3946	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1472.16	1464.36	0.877096	9.8446e+06	65.5158	58.9165	58.5143	
4968	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1479.36	1465.86	0.886125	9.84308e+06	65.5738	58.8773	58.5506	
5981	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1466.9	1465.96	0.84086	9.84117e+06	65.5668	58.9346	58.589	
7005	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1475.38	1466.91	0.820123	9.84235e+06	65.6178	58.8342	58.6136	
8019	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1477.15	1467.93	0.805212	9.83918e+06	65.6433	58.823	58.6345	
9034	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1514.98	1472.63	1.22408	9.84244e+06	65.8769	58.901	58.6611	
10052	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1505.76	1475.95	1.34014	9.84644e+06	66.0531	58.9527	58.6903	
11071	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1475.3	1475.88	1.27149	9.84734e+06	66.0569	58.8984	58.7111	
12086	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1493.75	1477.67	1.25818	9.84849e+06	66.1451	58.9295	58.7329	
13101	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1484.94	1478.4	1.20212	9.84467e+06	66.1522	58.9079	58.7504	
14118	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1479.67	1478.52	1.14063	9.84711e+06	66.1748	58.8473	58.7601	
15134	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1486.19	1479.29	1.09265	9.84316e+06	66.1826	58.9966	58.7838	
16149	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1470.85	1478.45	1.05123	9.84039e+06	66.1267	58.915	58.7969	
17163	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1479.36	1478.54	0.997392	9.84102e+06	66.1352	58.9611	58.8133	
18177	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1529.23	1483.61	1.39274	9.8432e+06	66.3774	59.0649	58.8385	
19193	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1479.18	1483.16	1.32469	9.84017e+06	66.3374	58.9988	58.8545	
20209	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1472.39	1482.09	1.27639	9.84234e+06	66.3038	58.9397	58.863	
21227	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1490.55	1482.93	1.22226	9.84205e+06	66.34	58.9725	58.874	
22242	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1506.47	1485.29	1.25155	9.84205e+06	66.4454	58.976	58.8842	
23258	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1474.54	1484.21	1.20787	9.84231e+06	66.3991	58.973	58.8931	
24273	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1488.64	1484.66	1.14904	9.84202e+06	66.4171	58.9442	58.8982	
25287	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1472.7	1483.46	1.11741	9.83658e+06	66.3273	59.0695	58.9153	
26301	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1501.46	1485.26	1.11947	9.83826e+06	66.4194	58.9774	58.9215	
27316	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1484.15	1485.15	1.06233	9.8371e+06	66.4066	59.0176	58.9311	
28332	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1486.72	1485.31	1.00821	9.8351e+06	66.4001	59.0064	58.9387	
29348	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1477.21	1484.5	0.970866	9.83617e+06	66.3712	58.9125	58.936	
30364	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1505.74	1486.62	1.01474	9.84086e+06	66.4982	59.0175	58.9442	
31380	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1496.62	1487.62	0.982936	9.842e+06	66.5508	58.9465	58.9444	
32395	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1450.97	1483.96	1.19282	9.83751e+06	66.3571	59.0445	58.9544	
33410	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1473.01	1482.86	1.15391	9.8365e+06	66.3013	59.0354	58.9625	
34423	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1502.37	1484.81	1.16212	9.83769e+06	66.3966	59.0705	58.9733	
35439	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1511.67	1487.5	1.22659	9.84196e+06	66.546	59.0568	58.9817	
36457	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1500.05	1488.75	1.18986	9.84618e+06	66.6308	58.9611	58.9796	
37473	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1473.84	1487.26	1.16929	9.84535e+06	66.5584	59.0987	58.9915	
38489	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1478.17	1486.35	1.12505	9.84267e+06	66.4996	58.9757	58.9899	
39510	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1514.51	1489.17	1.20695	9.8419e+06	66.6201	59.1295	59.0039	
40525	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1502.91	1490.54	1.17692	9.84205e+06	66.6824	59.0041	59.0039	
41540	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1498.52	1491.34	1.1274	9.84247e+06	66.721	59.019	59.0054	
42555	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1503.26	1492.53	1.09524	9.8431e+06	66.7785	59.0941	59.0143	
43571	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1505.56	1493.84	1.07057	9.84236e+06	66.8317	59.0685	59.0197	
44588	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1511.18	1495.57	1.07244	9.84055e+06	66.8968	59.1246	59.0302	
45605	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1498.18	1495.83	1.01858	9.84148e+06	66.9149	59.1164	59.0388	
46621	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1495.6	1495.81	0.966334	9.83956e+06	66.9007	59.1252	59.0475	
47639	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1498.68	1496.1	0.91838	9.84072e+06	66.9214	59.049	59.0476	
48655	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1478.71	1494.36	0.939527	9.83864e+06	66.8297	59.0174	59.0446	
49670	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1496.83	1494.6	0.892543	9.83741e+06	66.8324	59.1498	59.0551	
50683	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1507.35	1495.88	0.883801	9.8386e+06	66.8975	59.1204	59.0616	
51701	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1481.5	1494.44	0.887497	9.8364e+06	66.8183	59.0995	59.0654	
52718	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1470.27	1492.02	0.973308	9.8369e+06	66.7134	59.0531	59.0642	
53733	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1494.19	1492.24	0.924252	9.83867e+06	66.7351	59.1027	59.068	
54748	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1488.41	1491.86	0.880416	9.83523e+06	66.6947	59.1652	59.0778	
55765	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1467.31	1489.4	0.971825	9.83124e+06	66.5583	59.0475	59.0747	
56782	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1450.21	1485.48	1.21701	9.82821e+06	66.3631	59.0761	59.0749	
57801	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1521.23	1489.06	1.35846	9.83182e+06	66.5476	59.05	59.0724	
58817	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1496.95	1489.85	1.29783	9.83385e+06	66.5967	59.0198	59.0671	
59833	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1511.72	1492.03	1.30569	9.83725e+06	66.7175	59.1011	59.0705	
60847	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1509.68	1493.8	1.28695	9.83753e+06	66.7982	59.1463	59.0781	
61860	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1482.39	1492.66	1.24318	9.83978e+06	66.7622	59.0576	59.0761	
62879	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1466.87	1490.08	1.2905	9.84106e+06	66.6552	59.0425	59.0727	
63895	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1503.93	1491.46	1.25446	9.84398e+06	66.737	59.0477	59.0702	
64913	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1477.26	1490.04	1.22507	9.84419e+06	66.6747	59.0895	59.0721	
65927	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1505.31	1491.57	1.20092	9.84339e+06	66.7373	59.0962	59.0745	
66942	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1482.79	1490.69	1.15356	9.83782e+06	66.6605	59.1323	59.0803	
67959	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1492.95	1490.92	1.09514	9.84198e+06	66.6987	59.0913	59.0814	
68973	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1508.43	1492.67	1.09577	9.84372e+06	66.7889	59.1287	59.0861	
69989	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1512.76	1494.68	1.11372	9.84738e+06	66.9038	59.0923	59.0868	
71004	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1506.43	1495.85	1.08174	9.84642e+06	66.9498	59.0833	59.0864	
72023	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1502.32	1496.5	1.03395	9.84403e+06	66.9624	59.0817	59.0859	
73041	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	1477.55	1494.6	1.05324	9.84219e+06	66.8651	58.9875	59.0761	
