TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
148	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	8212.28	8212.28	0	3.17054e+06	99.9932	45.2805	45.2805	
382	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	449.08	449.08	0	4.97967e+07	99.9995	42.1051	42.1051	
570	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	765.324	765.324	0	3.24941e+07	99.9983	41.8798	41.8798	
848	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	1700000	274.104	274.104	0	8.14908e+07	99.9996	29.0183	29.0183	
1024	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,2,3,4,5,6,7,8,9,][1]]	14	2100000	1048.5	1048.5	0	2.30746e+07	99.9982	61.2108	61.2108	
1394	[[0][2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,][1]]	9	1500000	181.372	181.372	0	1.25913e+08	99.9996	34.1428	34.1428	
1684	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,2,3,4,][1]]	19	1900000	365.929	365.929	0	6.47076e+07	99.999	65.1737	65.1737	
2914	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	2300000	39.0447	39.0447	0	5.63694e+08	100	32.5055	32.5055	
3406	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,2,3,4,5,6,7,8,9,10,][1]]	13	1200000	127.173	127.173	0	1.8707e+08	99.9991	33.4203	33.4203	
3986	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1600000	105.97	105.97	0	2.12783e+08	99.9997	34.49	34.49	
4323	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2,3,4,5,][1]]	18	2000000	296.135	296.135	0	8.23031e+07	99.9994	67.006	67.006	
5330	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1400000	53.9856	53.9856	0	4.12511e+08	99.9998	26.6234	26.6234	
5753	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,2,3,4,5,6,7,8,][1]]	15	1800000	193.082	193.082	0	1.26753e+08	99.9995	54.0352	54.0352	
6191	[[0][2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,2,3,][1]]	10	2200000	160.533	160.533	0	1.41485e+08	99.9996	51.1264	51.1264	
6485	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,][1]]	21	1500000	217.937	217.937	0	1.05036e+08	99.9992	54.437	54.437	
8249	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	1900000	24.8416	24.8416	0	8.86208e+08	99.9999	27.8536	27.8536	
8615	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	2300000	174.267	174.267	0	1.31714e+08	99.9996	63.2	63.2	
9453	[[0][2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,][1]]	7	1300000	59.4086	59.4086	0	3.74972e+08	99.9999	27.9413	27.9413	
9794	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	211.332	211.332	0	1.04103e+08	99.9991	55.8786	55.8786	
10004	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	202.951	203.789	1.23376	1.07974e+08	99.9993	55.6345	55.659	
10215	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	195.572	196.394	1.3189	1.12041e+08	99.9994	55.6864	55.6836	
10432	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	176.65	178.625	3.34746	1.23306e+08	99.9994	55.6591	55.6616	
11006	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1700000	141.905	141.905	0	1.73624e+08	99.9996	54.3094	54.3094	
12277	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	2100000	40.4704	40.4704	0	5.47866e+08	99.9999	34.9891	34.9891	
12940	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,2,3,4,5,6,7,8,][1]]	15	1400000	97.468	97.468	0	2.51697e+08	99.9996	41.6855	41.6855	
13567	[[0][2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,2,3,][1]]	10	1800000	80.5604	80.5604	0	2.8251e+08	99.9993	41.8872	41.8872	
13926	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,2,3,][1]]	20	2200000	196.532	196.532	0	1.19962e+08	99.9994	79.6026	79.6026	
14350	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	144.229	144.229	0	1.52535e+08	99.9996	55.5681	55.5681	
14598	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	144.141	144.15	0.0183359	1.52619e+08	99.9995	55.6504	55.6422	
14848	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	143.873	143.901	0.057922	1.52883e+08	99.9996	55.6125	55.6155	
15103	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	143.009	143.099	0.187824	1.53741e+08	99.9996	55.5938	55.596	
