TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
123	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	10591.2	10591.2	0	1.13396e+06	99.9851	44.8286	44.8286	
281	[[0][2,3,4,5,6,7,][1]]	6	2000000	441.553	441.553	0	1.35884e+07	99.9987	43.1602	43.1602	
461	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	756.864	756.864	0	2.24609e+07	99.9981	42.0791	42.0791	
636	[[0][2,3,4,5,][1]]	4	1700000	256.11	256.11	0	1.56181e+07	99.9986	28.8263	28.8263	
811	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	1404.45	1404.45	0	9.98379e+06	99.9979	61.6516	61.6516	
1080	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	189.012	189.012	0	4.76162e+07	99.9978	34.1684	34.1684	
1411	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1900000	377.359	377.359	0	5.03767e+07	99.999	65.8019	65.8019	
1712	[[0][2,3,][1]]	2	2300000	38.9375	38.9375	0	5.1364e+07	99.9994	32.2263	32.2263	
2117	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,][1]]	13	1200000	127.667	127.667	0	1.01827e+08	99.999	33.5808	33.5808	
2547	[[0][2,3,4,5,6,7,8,9,][1]]	8	1600000	105.451	105.451	0	7.58644e+07	99.9993	34.3491	34.3491	
2935	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	2000000	297.695	297.695	0	6.0466e+07	99.9992	67.032	67.032	
3408	[[0][2,3,4,5,6,][1]]	5	1400000	56.0574	56.0574	0	8.91934e+07	99.9989	26.5424	26.5424	
3846	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1800000	198.268	198.268	0	7.5658e+07	99.9993	53.9148	53.9148	
4270	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	2200000	154.857	154.857	0	6.45755e+07	99.9995	51.109	51.109	
4786	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1500000	220.382	220.382	0	9.5289e+07	99.9992	54.6572	54.6572	
5280	[[0][2,3,][1]]	2	1900000	24.3065	24.3065	0	8.2282e+07	99.9993	31.6696	31.6696	
5753	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	2300000	173.222	173.222	0	6.9275e+07	99.9994	63.214	63.214	
6253	[[0][2,3,4,5,6,7,8,][1]]	7	1300000	59.1346	59.1346	0	1.18374e+08	99.9994	28.8804	28.8804	
6785	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1800000	253.288	253.288	0	8.68579e+07	99.9994	67.5006	67.5006	
6968	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1800000	242.493	243.573	1.32957	9.03421e+07	99.9995	67.5845	67.5761	
7163	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1800000	231.589	232.787	1.60588	9.45493e+07	99.9996	67.4729	67.4832	
