TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
1183	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	52.0182	52.0182	0	2.11683e+08	99.9988	72.2021	
2051	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.6722	26.6722	0	4.12814e+08	99.9983	35.1943	
3774	[[0][2,3,4,5,6,][1]]	5	2400000	20.4849	20.4849	0	2.44191e+08	99.9989	45.5256	
4766	[[0][2,3,4,5,6,][1]]	5	1200000	9.99857	9.99857	0	5.00481e+08	99.9992	25.8607	
6866	[[0][2,3,][1]]	2	2400000	8.20838	8.20838	0	2.43711e+08	99.9996	35.5673	
7606	[[0][2,3,][1]]	2	1600000	5.52186	5.52186	0	3.62221e+08	99.9995	25.346	
7969	[[0][2,3,][1]]	2	1600000	5.84925	5.68555	4.07167	3.52653e+08	99.9995	25.5394	
8621	[[0][2,3,][1]]	2	1500000	6.19326	6.19326	0	3.23063e+08	99.999	24.6944	
9264	[[0][2,3,][1]]	2	1500000	6.21753	6.20539	0.276482	3.22366e+08	99.9992	24.679	
10037	[[0][2,3,][1]]	2	1300000	5.38839	5.38839	0	3.71167e+08	99.9995	22.5088	
10416	[[0][2,3,][1]]	2	1300000	5.2616	5.325	1.68355	3.75638e+08	99.999	22.4832	
12058	[[0][2,][1]]	1	2400000	5.08453	5.08453	0	1.96674e+08	99.9995	31.3128	
12654	[[0][2,][1]]	1	2400000	5.02755	5.05604	0.796962	1.97789e+08	99.9995	31.3448	
13894	[[0][2,3,][1]]	2	2400000	9.60657	9.60657	0	2.08189e+08	99.9991	35.5125	
14588	[[0][2,3,][1]]	2	1400000	5.73157	5.73157	0	3.49112e+08	99.9995	23.5587	
14932	[[0][2,3,][1]]	2	1400000	5.82959	5.78058	1.19892	3.46095e+08	99.9994	23.4613	
15670	[[0][2,3,][1]]	2	1300000	5.52165	5.52165	0	3.6221e+08	99.9994	22.0096	
16053	[[0][2,3,][1]]	2	1300000	5.26158	5.39161	3.41083	3.71188e+08	99.9994	22.2023	
16789	[[0][2,3,][1]]	2	1300000	5.42184	5.40169	2.42891	3.70418e+08	99.9994	22.2965	
17531	[[0][2,3,][1]]	2	1300000	5.41694	5.4055	1.98681	3.70118e+08	99.9993	22.3385	
18289	[[0][2,3,][1]]	2	1300000	5.34933	5.39427	1.786	3.70881e+08	99.9994	22.3575	
19017	[[0][2,3,][1]]	2	1300000	5.43803	5.40156	1.62921	3.70371e+08	99.9994	22.3596	
19758	[[0][2,3,][1]]	2	1300000	5.41756	5.40385	1.49084	3.702e+08	99.9994	22.3702	
20508	[[0][2,3,][1]]	2	1300000	5.38223	5.40114	1.38817	3.70377e+08	99.9994	22.3921	
21260	[[0][2,3,][1]]	2	1300000	5.39716	5.4007	1.29885	3.70407e+08	99.9994	22.4465	
22001	[[0][2,3,][1]]	2	1300000	5.41455	5.40209	1.22693	3.70304e+08	99.9994	22.4839	
22734	[[0][2,3,][1]]	2	1300000	5.47117	5.39704	1.06546	3.70638e+08	99.9994	22.5724	
23472	[[0][2,3,][1]]	2	1300000	5.43008	5.41389	0.605217	3.69453e+08	99.9994	22.6357	
24214	[[0][2,3,][1]]	2	1300000	5.39038	5.41074	0.617683	3.69668e+08	99.9993	22.6053	
24995	[[0][2,3,][1]]	2	1300000	5.06248	5.3753	2.13685	3.72258e+08	99.9994	22.6493	
25756	[[0][2,3,][1]]	2	1300000	5.32345	5.37271	2.15534	3.7244e+08	99.9994	22.696	
26500	[[0][2,3,][1]]	2	1300000	5.37043	5.36595	2.11545	3.72899e+08	99.9994	22.763	
27238	[[0][2,3,][1]]	2	1300000	5.39446	5.36364	2.09891	3.73057e+08	99.9994	22.7919	
27976	[[0][2,3,][1]]	2	1300000	5.35868	5.36128	2.09637	3.73222e+08	99.9994	22.7648	
28700	[[0][2,3,][1]]	2	1300000	5.44334	5.3659	2.14222	3.72909e+08	99.9994	22.7485	
29455	[[0][2,3,][1]]	2	1300000	5.33755	5.3582	2.12577	3.73444e+08	99.9994	22.7395	
30192	[[0][2,3,][1]]	2	1300000	5.37681	5.34876	2.00451	3.74088e+08	99.9994	22.7209	
30940	[[0][2,3,][1]]	2	1300000	5.33715	5.33947	1.93545	3.74729e+08	99.9994	22.7043	
31678	[[0][2,3,][1]]	2	1300000	5.39994	5.34043	1.9457	3.74665e+08	99.9994	22.7358	
32428	[[0][2,3,][1]]	2	1300000	5.31584	5.36576	0.737678	3.72778e+08	99.9994	22.7482	
33170	[[0][2,3,][1]]	2	1300000	5.38795	5.37221	0.690542	3.72324e+08	99.9994	22.74	
33910	[[0][2,3,][1]]	2	1300000	5.46156	5.38133	0.865763	3.71706e+08	99.9993	22.7178	
34651	[[0][2,3,][1]]	2	1300000	5.3965	5.38153	0.866997	3.71691e+08	99.9993	22.7477	
35387	[[0][2,3,][1]]	2	1300000	5.41514	5.38718	0.872442	3.71298e+08	99.9993	22.7841	
36119	[[0][2,3,][1]]	2	1300000	5.4481	5.38765	0.884477	3.71257e+08	99.9993	22.7646	
36868	[[0][2,3,][1]]	2	1300000	5.3886	5.39276	0.821566	3.70913e+08	99.9993	22.7877	
37613	[[0][2,3,][1]]	2	1300000	5.39182	5.39426	0.814897	3.70807e+08	99.9993	22.816	
38351	[[0][2,3,][1]]	2	1300000	5.4326	5.40381	0.747562	3.70149e+08	99.9993	22.8284	
39077	[[0][2,3,][1]]	2	1300000	5.45193	5.40901	0.796802	3.69799e+08	99.9993	22.8424	
39813	[[0][2,3,][1]]	2	1300000	5.4295	5.42037	0.520618	3.69022e+08	99.9993	22.7684	
40556	[[0][2,3,][1]]	2	1300000	5.43067	5.42464	0.477536	3.68733e+08	99.9993	22.8093	
41279	[[0][2,3,][1]]	2	1300000	5.52888	5.43137	0.753847	3.68283e+08	99.9993	22.8401	
42022	[[0][2,3,][1]]	2	1300000	5.42294	5.43402	0.722507	3.68104e+08	99.9993	22.8186	
42787	[[0][2,3,][1]]	2	1300000	5.28465	5.42097	1.13589	3.6902e+08	99.9994	22.8518	
43514	[[0][2,3,][1]]	2	1300000	5.48544	5.4247	1.18842	3.68769e+08	99.9993	22.9346	
44260	[[0][2,3,][1]]	2	1300000	5.40813	5.42666	1.17094	3.68625e+08	99.9993	22.9204	
44992	[[0][2,3,][1]]	2	1300000	5.41293	5.42877	1.15313	3.68482e+08	99.9993	22.8976	
45737	[[0][2,3,][1]]	2	1300000	5.42422	5.42793	1.15329	3.68542e+08	99.9993	22.8726	
46470	[[0][2,3,][1]]	2	1300000	5.43495	5.42623	1.14453	3.68653e+08	99.9994	22.8952	
47195	[[0][2,3,][1]]	2	1300000	5.4408	5.42736	1.1474	3.68571e+08	99.9993	22.9214	
47916	[[0][2,3,][1]]	2	1300000	5.52349	5.43664	1.27539	3.6795e+08	99.9993	22.8194	
48660	[[0][2,3,][1]]	2	1300000	5.45191	5.42895	1.13885	3.68468e+08	99.9993	22.7773	
49383	[[0][2,3,][1]]	2	1300000	5.47932	5.43458	1.17322	3.6809e+08	99.9993	22.7674	
50125	[[0][2,3,][1]]	2	1300000	5.47801	5.45392	0.676589	3.66758e+08	99.9993	22.7426	
50854	[[0][2,3,][1]]	2	1300000	5.32348	5.43773	0.981805	3.679e+08	99.9994	22.68	
51612	[[0][2,3,][1]]	2	1300000	5.35386	5.4323	1.08933	3.6828e+08	99.9993	22.6235	
52332	[[0][2,3,][1]]	2	1300000	5.53623	5.44463	1.23089	3.67455e+08	99.9993	22.6331	
53049	[[0][2,3,][1]]	2	1300000	5.52874	5.45508	1.31039	3.66757e+08	99.9993	22.6498	
53791	[[0][2,3,][1]]	2	1300000	5.45487	5.45707	1.30356	3.66628e+08	99.9993	22.6524	
54547	[[0][2,3,][1]]	2	1300000	5.36119	5.44911	1.41937	3.67171e+08	99.9994	22.6858	
55277	[[0][2,3,][1]]	2	1300000	5.39773	5.43654	1.36226	3.68024e+08	99.9994	22.7355	
56001	[[0][2,3,][1]]	2	1300000	5.41884	5.43323	1.36264	3.68253e+08	99.9993	22.685	
56742	[[0][2,3,][1]]	2	1300000	5.40902	5.4262	1.33599	3.68725e+08	99.9994	22.7023	
57467	[[0][2,3,][1]]	2	1300000	5.52179	5.43058	1.42054	3.68427e+08	99.9994	22.7195	
58207	[[0][2,3,][1]]	2	1300000	5.44721	5.44295	1.23758	3.67543e+08	99.9993	22.7349	
58941	[[0][2,3,][1]]	2	1300000	5.50775	5.45834	1.13809	3.66497e+08	99.9994	22.7878	
59674	[[0][2,3,][1]]	2	1300000	5.47793	5.45251	1.03581	3.66881e+08	99.9994	22.7705	
60429	[[0][2,3,][1]]	2	1300000	5.38797	5.43843	0.970665	3.67835e+08	99.9994	22.7815	
61153	[[0][2,3,][1]]	2	1300000	5.5095	5.44389	1.05279	3.67466e+08	99.9994	22.8277	
61895	[[0][2,3,][1]]	2	1300000	5.42836	5.45061	0.917598	3.67e+08	99.9994	22.8377	
62640	[[0][2,3,][1]]	2	1300000	5.38715	5.44955	0.942323	3.67064e+08	99.9994	22.8593	
63384	[[0][2,3,][1]]	2	1300000	5.46428	5.4541	0.922847	3.66754e+08	99.9994	22.904	
64111	[[0][2,3,][1]]	2	1300000	5.47905	5.4611	0.882437	3.66282e+08	99.9994	22.8657	
64835	[[0][2,3,][1]]	2	1300000	5.44019	5.45294	0.796758	3.66834e+08	99.9994	22.8703	
65561	[[0][2,3,][1]]	2	1300000	5.46358	5.45458	0.797777	3.66725e+08	99.9994	22.8831	
66287	[[0][2,3,][1]]	2	1300000	5.48463	5.45226	0.750382	3.66874e+08	99.9994	22.9413	
67029	[[0][2,3,][1]]	2	1300000	5.41992	5.44646	0.752456	3.67266e+08	99.9994	22.9731	
67854	[[0][2,3,][1]]	2	1300000	5.09296	5.41696	2.20118	3.69495e+08	99.9994	22.9561	
68588	[[0][2,3,][1]]	2	1300000	5.43462	5.40947	2.12697	3.69995e+08	99.9994	22.9091	
69316	[[0][2,3,][1]]	2	1300000	5.42511	5.40915	2.12608	3.70021e+08	99.9994	22.9558	
70045	[[0][2,3,][1]]	2	1300000	5.38547	5.40898	2.12683	3.70045e+08	99.9994	22.9876	
70780	[[0][2,3,][1]]	2	1300000	5.44962	5.40752	2.11462	3.70134e+08	99.9994	23.065	
71511	[[0][2,3,][1]]	2	1300000	5.40076	5.39969	2.0659	3.7067e+08	99.9994	23.1857	
72247	[[0][2,3,][1]]	2	1300000	5.42673	5.39834	2.05785	3.70752e+08	99.9994	23.1921	
72990	[[0][2,3,][1]]	2	1300000	5.44225	5.39621	2.03653	3.70897e+08	99.9994	23.176	
73723	[[0][2,3,][1]]	2	1300000	5.43427	5.39117	1.97535	3.71234e+08	99.9994	23.134	
74446	[[0][2,3,][1]]	2	1300000	5.49341	5.39852	2.05859	3.70742e+08	99.9994	23.1379	
75228	[[0][2,3,][1]]	2	1300000	4.31935	5.32116	6.63706	3.78148e+08	99.9994	23.1802	
76157	[[0][2,3,][1]]	2	1300000	4.30482	5.20818	9.08505	3.87806e+08	99.9994	23.1816	
77077	[[0][2,3,][1]]	2	1300000	4.30339	5.09601	10.6696	3.97415e+08	99.9994	23.1754	
77907	[[0][2,3,][1]]	2	1300000	4.79867	5.03733	10.7333	4.01944e+08	99.9994	23.1481	
