#Fraction	PrimaryRequired	PrimaryFound	SecondaryOptimal	SecondaryFound	Loss
0.1	225.6157	215.545	42.6709	44.1411	3.44543939781
0.2	374.4084	294.732	34.135	35.735	4.68727112934
0.3	523.2011	503.345	31.3078	32.8189	4.82659273408
0.4	671.9938	627.105	29.2152	29.0545	-0.550056135163
0.5	820.7865	626.458	27.8025	30.0762	8.17804154303
0.6	969.5792	628.541	27.8025	28.8058	3.60866828523
0.7	1118.3719	628.61	26.2773	28.8544	9.80732419236
0.8	1267.1646	1237.12	26.2773	30.7266	16.9321048966
0.9	1415.9573	1426.16	26.2773	26.1472	-0.495104139314
1.0	1564.75	1544.8	24.9002	25.1422	0.971879743938
