TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
1388	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	53.5695	53.5695	0	2.05407e+08	99.9989	73.4177	73.4177	
2675	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	25.7981	25.7981	0	4.26735e+08	99.9987	36.1388	36.1388	
4569	[[0][2,3,4,5,6,][1]]	5	2400000	20.5028	20.5028	0	2.43473e+08	99.8369	46.4211	46.4211	
5558	[[0][2,3,4,5,6,][1]]	5	2300000	21.7244	21.7244	0	2.30556e+08	99.9991	44.6399	44.6399	
6488	[[0][2,3,4,5,6,][1]]	5	2100000	21.679	21.679	0	2.30652e+08	99.999	41.015	41.015	
7463	[[0][2,3,4,5,6,][1]]	5	1900000	19.6252	19.6252	0	2.54841e+08	99.9991	37.4058	37.4058	
8720	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	2400000	80.713	80.713	0	2.09846e+08	99.574	93.7135	93.7135	
9952	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1200000	41.6166	41.6166	0	4.08588e+08	99.9989	46.0533	46.0533	
13416	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.9756	26.9756	0	4.07344e+08	99.8683	35.7369	35.7369	
15794	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	27.1455	26.9758	0.0199094	4.07342e+08	99.8684	35.7779	35.7369	
18297	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	25.1472	26.9739	0.215185	4.07373e+08	99.8685	35.8166	35.737	
20614	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	25.7796	26.9727	0.256608	4.07393e+08	99.8687	35.7248	35.737	
23004	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	27.1113	26.9729	0.256992	4.07391e+08	99.8688	35.6808	35.7369	
25392	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	27.1439	26.9731	0.257643	4.07389e+08	99.8689	35.5716	35.7368	
27769	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.4366	26.9725	0.26508	4.07398e+08	99.869	35.557	35.7366	
30175	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	27.2778	26.9728	0.267348	4.07394e+08	99.8692	35.5066	35.7364	
32534	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.6546	26.9725	0.269806	4.074e+08	99.8693	35.5715	35.7362	
34898	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.6483	26.9722	0.272337	4.07405e+08	99.8694	35.5612	35.736	
37203	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.6891	26.9719	0.274218	4.0741e+08	99.8696	35.533	35.7358	
39588	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.9178	26.9718	0.274155	4.07411e+08	99.8697	35.4527	35.7355	
41976	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.8912	26.9718	0.274182	4.07413e+08	99.8698	35.4552	35.7353	
44380	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.9096	26.9717	0.274142	4.07414e+08	99.87	35.3488	35.7349	
46766	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.8799	26.9716	0.274217	4.07416e+08	99.8701	35.3039	35.7344	
49112	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.8671	26.9715	0.274354	4.07418e+08	99.8702	35.4137	35.7341	
51492	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.7412	26.9713	0.275545	4.07422e+08	99.8703	35.4201	35.7338	
53878	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.7141	26.971	0.277054	4.07427e+08	99.8705	35.4486	35.7335	
56268	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	26.7964	26.9708	0.277673	4.0743e+08	99.8706	35.4473	35.7332	
