TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
1269	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	38.4195	38.4195	0	3.12729e+08	99.9988	49.5885	
2789	[[0][2,3,4,5,6,7,][1]]	6	2000000	23.8508	23.8508	0	2.51576e+08	99.9989	42.4104	
4266	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	35.0491	35.0491	0	4.30158e+08	94.1168	49.3054	
6032	[[0][2,3,4,5,6,7,][1]]	6	2400000	28.1348	28.1348	0	2.13401e+08	99.9988	48.87	
7214	[[0][2,3,4,5,][1]]	4	1700000	13.6805	13.6805	0	2.92479e+08	99.9991	31.2999	
8971	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	42.1374	42.1374	0	4.28084e+08	99.999	46.5064	
10834	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	58.6051	58.6051	0	2.39117e+08	99.999	70.7113	
12330	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.5954	38.5954	0	4.15165e+08	99.999	43.0441	
14168	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	27.0359	27.0359	0	3.33004e+08	99.9987	37.9853	
16013	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	36.0745	36.0745	0	3.9036e+08	93.749	42.9821	
16937	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	32.9018	34.4882	6.50494	4.09467e+08	93.7491	43.1937	
17828	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	32.6144	33.8636	5.67016	4.38209e+08	95.8324	43.2828	
18716	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.6674	35.0645	8.18003	4.32293e+08	96.8741	43.2582	
19646	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.6574	35.7831	8.26755	4.28678e+08	97.4991	43.2502	
20547	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.8237	36.2899	8.05393	4.25954e+08	97.9157	43.2333	
21433	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.8947	36.662	7.75723	4.23923e+08	98.2133	43.2433	
22369	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.0066	36.8301	7.26462	4.23636e+08	98.4365	43.2551	
23269	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	37.2604	36.8779	6.79776	4.24429e+08	98.6101	43.2583	
24186	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.9372	37.0838	6.6109	4.23107e+08	98.749	43.2571	
25061	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	39.0614	37.3825	6.67823	4.25069e+08	99.374	43.2765	
25965	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.8444	37.9768	5.16454	4.23433e+08	99.9989	43.2604	
26918	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	37.6508	38.4804	1.60561	4.16439e+08	99.9989	43.2369	
27832	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.5221	38.4659	1.59793	4.16551e+08	99.9989	43.2432	
28822	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.2001	38.4201	1.6029	4.17063e+08	99.9989	43.2488	
29736	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	37.3352	38.2713	1.78624	4.18759e+08	99.9989	43.274	
30623	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.6471	38.2465	1.73268	4.19024e+08	99.9988	43.2774	
31538	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.5274	38.2986	1.72906	4.18412e+08	99.9988	43.2672	
32439	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.1898	38.3916	1.45135	4.17254e+08	99.9988	43.2609	
33325	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.2011	38.3179	1.36954	4.18036e+08	99.9988	43.2567	
34237	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.5726	38.2691	1.22153	4.18539e+08	99.9988	43.2617	
35085	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.4805	38.2327	1.12575	4.18918e+08	99.9988	43.2573	
35916	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.5144	38.319	1.00452	4.17907e+08	99.9988	43.2606	
36810	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.3104	38.2979	0.98773	4.18131e+08	99.9988	43.2612	
37613	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.3067	38.3085	0.983377	4.17984e+08	99.9988	43.2579	
38438	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.2691	38.4019	0.428967	4.16886e+08	99.9988	43.2352	
39272	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.349	38.3721	0.366525	4.17184e+08	99.9988	43.2198	
40127	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	37.9402	38.3134	0.481254	4.17833e+08	99.9988	43.22	
40972	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.3125	38.3256	0.467724	4.17695e+08	99.9988	43.2328	
41852	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.0623	38.3118	0.508144	4.17853e+08	99.9988	43.2466	
42770	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.3371	38.2882	0.450836	4.18114e+08	99.9988	43.2664	
43667	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	37.975	38.2377	0.480485	4.18673e+08	99.9988	43.286	
44553	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	38.1781	38.204	0.40874	4.19052e+08	99.9988	43.2962	
45393	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	37.8183	38.1548	0.503958	4.19597e+08	99.9988	43.3	
46257	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	37.9332	38.1175	0.513549	4.20016e+08	99.9988	43.3115	
47124	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	37.7105	38.0616	0.59159	4.20656e+08	99.9988	43.3253	
47989	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	1200000	37.8598	38.0127	0.547966	4.21237e+08	99.9988	43.3382	
