#Fraction	PrimaryRequired	PrimaryFound	SecondaryOptimal	SecondaryFound	Loss
0.1	225.6157	205.961	42.6709	43.5881	2.14947423185
0.2	374.4084	339.154	34.135	35.3406	3.53185879596
0.3	523.2011	447.727	31.3078	37.5691	19.999169536
0.4	671.9938	572.248	29.2152	35.6606	22.0618034448
0.5	820.7865	525.938	27.8025	33.5906	20.818631418
0.6	969.5792	619.01	27.8025	28.9958	4.29206006654
0.7	1118.3719	675.819	26.2773	30.4249	15.7839656281
0.8	1267.1646	1031.96	26.2773	32.7646	24.6878484471
0.9	1415.9573	949.443	26.2773	31.7119	20.681729097
1.0	1564.75	804.958	24.9002	34.7772	39.6663480615
