TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
1055	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	35.6338	35.6338	0	6.54926e+08	99.9995	47.066	47.066	
3454	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	22.7718	22.7718	0	9.88455e+08	99.9997	41.5558	41.5558	
5645	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	38.3474	38.3474	0	6.6267e+08	99.999	49.0066	49.0066	
15069	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	1300000	4.79743	4.79743	0	4.58787e+09	99.9999	22.1215	22.1215	
19238	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	1700000	12.4304	12.4304	0	1.78748e+09	99.9998	30.9691	30.9691	
28594	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	1300000	4.81637	4.81637	0	4.5706e+09	99.9999	22.0846	22.0846	
35248	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	1300000	4.8445	4.81639	0.018465	4.57058e+09	99.9999	22.1378	22.0847	
41552	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	1300000	4.84807	4.81643	0.0277991	4.57055e+09	99.9999	22.1029	22.0847	
48004	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	1300000	4.86876	4.81648	0.0441726	4.5705e+09	99.9999	22.0868	22.0847	
54481	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	1300000	4.86636	4.81653	0.0549617	4.57045e+09	99.9999	22.0812	22.0847	
