TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
2241	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	39.2314	39.2314	0	3.06035e+08	99.998	49.0937	49.0937	
3466	[[0][2,3,4,5,6,7,][1]]	6	2000000	23.0334	23.0334	0	2.59811e+08	99.6996	41.6273	41.6273	
4940	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	37.2042	37.2042	0	4.55522e+08	99.5481	49.0754	49.0754	
6326	[[0][2,3,][1]]	2	1200000	4.91531	4.91531	0	4.06573e+08	99.9138	20.8795	20.8795	
7511	[[0][2,3,4,5,][1]]	4	1700000	13.9768	13.9768	0	2.85898e+08	99.8851	30.8268	30.8268	
8855	[[0][2,][1]]	1	1300000	2.71659	2.71659	0	3.67906e+08	99.9449	20.1826	20.1826	
11224	[[0][2,][1]]	1	1300000	2.69675	2.71657	0.0230865	3.67909e+08	99.945	20.2124	20.1826	
13592	[[0][2,][1]]	1	1300000	2.70957	2.71656	0.0244679	3.6791e+08	99.9451	20.3777	20.1828	
15960	[[0][2,][1]]	1	1300000	2.75404	2.7166	0.0499907	3.67905e+08	99.9451	20.2667	20.1829	
18328	[[0][2,][1]]	1	1300000	2.70718	2.71659	0.051153	3.67907e+08	99.9452	20.1814	20.1829	
20696	[[0][2,][1]]	1	1300000	2.5875	2.71646	0.158667	3.67925e+08	99.9452	20.4126	20.1831	
23065	[[0][2,][1]]	1	1300000	2.67758	2.71642	0.164917	3.67931e+08	99.9453	20.393	20.1833	
25433	[[0][2,][1]]	1	1300000	2.70736	2.71641	0.165172	3.67932e+08	99.9453	20.2352	20.1834	
27801	[[0][2,][1]]	1	1300000	2.70467	2.7164	0.165655	3.67934e+08	99.9454	20.2535	20.1835	
30169	[[0][2,][1]]	1	1300000	2.69076	2.71638	0.168239	3.67938e+08	99.9454	20.3181	20.1836	
32537	[[0][2,][1]]	1	1300000	2.69209	2.71635	0.170514	3.67941e+08	99.9455	20.2256	20.1836	
34906	[[0][2,][1]]	1	1300000	2.69131	2.71633	0.172902	3.67945e+08	99.9455	20.1733	20.1836	
37274	[[0][2,][1]]	1	1300000	2.7135	2.71632	0.172847	3.67946e+08	99.9456	20.2402	20.1837	
39642	[[0][2,][1]]	1	1300000	2.72562	2.71633	0.173099	3.67945e+08	99.9456	20.1897	20.1837	
42010	[[0][2,][1]]	1	1300000	2.71968	2.71634	0.173056	3.67944e+08	99.9457	20.1489	20.1836	
44378	[[0][2,][1]]	1	1300000	2.71724	2.71634	0.172972	3.67944e+08	99.9458	20.1713	20.1836	
46747	[[0][2,][1]]	1	1300000	2.71807	2.71634	0.172897	3.67944e+08	99.9458	20.2003	20.1837	
49115	[[0][2,][1]]	1	1300000	2.735	2.71636	0.174169	3.67942e+08	99.9459	20.2328	20.1837	
51483	[[0][2,][1]]	1	1300000	2.742	2.71638	0.176619	3.67939e+08	99.9459	20.192	20.1837	
53851	[[0][2,][1]]	1	1300000	2.75234	2.71642	0.181417	3.67934e+08	99.946	20.147	20.1837	
56219	[[0][2,][1]]	1	1300000	2.70286	2.71641	0.182012	3.67936e+08	99.946	20.152	20.1836	
58588	[[0][2,][1]]	1	1300000	2.72147	2.71641	0.182016	3.67936e+08	99.9461	20.1729	20.1836	
60956	[[0][2,][1]]	1	1300000	2.71922	2.71641	0.181954	3.67935e+08	99.9461	20.1874	20.1836	
63324	[[0][2,][1]]	1	1300000	2.74712	2.71644	0.185336	3.67932e+08	99.9462	20.2004	20.1836	
65692	[[0][2,][1]]	1	1300000	2.74704	2.71647	0.188631	3.67928e+08	99.9462	20.2358	20.1837	
68060	[[0][2,][1]]	1	1300000	2.73689	2.71649	0.190026	3.67925e+08	99.9463	20.2864	20.1838	
70429	[[0][2,][1]]	1	1300000	2.7403	2.71652	0.191938	3.67922e+08	99.9463	20.2515	20.1839	
72797	[[0][2,][1]]	1	1300000	2.69748	2.7165	0.193118	3.67925e+08	99.9464	20.272	20.184	
75165	[[0][2,][1]]	1	1300000	2.76403	2.71655	0.200784	3.67919e+08	99.9464	20.2433	20.184	
77533	[[0][2,][1]]	1	1300000	2.74944	2.71658	0.204297	3.67915e+08	99.9465	20.2359	20.1841	
79901	[[0][2,][1]]	1	1300000	2.71109	2.71657	0.204295	3.67915e+08	99.9466	20.2201	20.1841	
82269	[[0][2,][1]]	1	1300000	2.70222	2.71656	0.204875	3.67918e+08	99.9466	20.2074	20.1841	
84638	[[0][2,][1]]	1	1300000	2.75266	2.7166	0.209033	3.67913e+08	99.9467	20.2063	20.1842	
