TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
2321	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	39.0621	39.0621	0	3.07379e+08	99.998	50.3559	50.3559	
3323	[[0][2,3,4,5,6,7,][1]]	6	2000000	23.0049	23.0049	0	2.60405e+08	99.7807	41.5486	41.5486	
4965	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	37.0833	37.0833	0	4.56794e+08	99.5237	49.1182	49.1182	
6193	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	2400000	47.4675	47.4675	0	2.10187e+08	99.7452	63.416	63.416	
7381	[[0][2,3,4,5,][1]]	4	1700000	13.4003	13.4003	0	2.98221e+08	99.842	30.8808	30.8808	
8795	[[0][2,3,][1]]	2	1200000	4.89563	4.89563	0	4.08199e+08	99.9191	20.9483	20.9483	
10871	[[0][2,3,][1]]	2	1200000	4.89132	4.89562	0.00278157	4.082e+08	99.9192	20.9074	20.9483	
13233	[[0][2,3,][1]]	2	1200000	4.89962	4.89563	0.00379138	4.082e+08	99.9193	20.9152	20.9482	
15388	[[0][2,3,][1]]	2	1200000	4.88202	4.89561	0.00956976	4.08202e+08	99.9193	20.9128	20.9482	
17670	[[0][2,3,][1]]	2	1200000	4.94517	4.89566	0.0333911	4.08198e+08	99.9194	20.959	20.9482	
19910	[[0][2,3,][1]]	2	1200000	4.91415	4.89568	0.0354442	4.08197e+08	99.9195	21.0525	20.9483	
22095	[[0][2,3,][1]]	2	1200000	4.9513	4.89574	0.0504411	4.08193e+08	99.9196	21.1555	20.9485	
24467	[[0][2,3,][1]]	2	1200000	4.99813	4.89584	0.0831324	4.08185e+08	99.9197	21.1218	20.9487	
26869	[[0][2,3,][1]]	2	1200000	4.90644	4.89585	0.0833718	4.08184e+08	99.9197	20.9806	20.9487	
28891	[[0][2,3,][1]]	2	1200000	4.9545	4.89591	0.0915283	4.0818e+08	99.9198	21.0794	20.9489	
31235	[[0][2,3,][1]]	2	1200000	4.9823	4.89599	0.107141	4.08173e+08	99.9199	20.8653	20.9488	
33625	[[0][2,3,][1]]	2	1200000	4.99161	4.89609	0.123601	4.08166e+08	99.92	20.8313	20.9487	
35845	[[0][2,3,][1]]	2	1200000	4.90227	4.8961	0.123604	4.08166e+08	99.92	20.7929	20.9485	
37991	[[0][2,3,][1]]	2	1200000	5.00435	4.8962	0.141936	4.08157e+08	99.9201	20.8236	20.9484	
40374	[[0][2,3,][1]]	2	1200000	4.89978	4.89621	0.141883	4.08157e+08	99.9202	20.8312	20.9483	
42750	[[0][2,3,][1]]	2	1200000	4.99609	4.89631	0.155778	4.0815e+08	99.9203	20.7935	20.9481	
45120	[[0][2,3,][1]]	2	1200000	4.95774	4.89637	0.160669	4.08145e+08	99.9204	20.7662	20.9479	
47502	[[0][2,3,][1]]	2	1200000	4.95662	4.89643	0.16523	4.0814e+08	99.9204	20.8986	20.9479	
49899	[[0][2,3,][1]]	2	1200000	4.95881	4.89649	0.169983	4.08136e+08	99.9205	20.8429	20.9478	
52308	[[0][2,3,][1]]	2	1200000	4.94611	4.89654	0.172889	4.08132e+08	99.9206	20.8503	20.9477	
54678	[[0][2,3,][1]]	2	1200000	4.83214	4.89648	0.177735	4.08139e+08	99.9207	20.8796	20.9476	
57053	[[0][2,3,][1]]	2	1200000	4.92812	4.89651	0.178816	4.08137e+08	99.9208	21.0257	20.9477	
59446	[[0][2,3,][1]]	2	1200000	4.94764	4.89656	0.181746	4.08133e+08	99.9208	20.8405	20.9476	
61788	[[0][2,3,][1]]	2	1200000	4.34712	4.89601	0.39852	4.08185e+08	99.9209	20.8352	20.9475	
64173	[[0][2,3,][1]]	2	1200000	4.10324	4.89522	0.648628	4.08264e+08	99.921	20.8637	20.9474	
66285	[[0][2,3,][1]]	2	1200000	3.73852	4.89406	0.989209	4.08391e+08	99.9211	20.9021	20.9473	
68404	[[0][2,3,][1]]	2	1200000	3.87959	4.89305	1.18633	4.08499e+08	99.9212	20.8993	20.9473	
70653	[[0][2,3,][1]]	2	1200000	4.99283	4.89315	1.18747	4.08491e+08	99.9212	20.9047	20.9472	
73018	[[0][2,3,][1]]	2	1200000	4.97591	4.89323	1.18806	4.08484e+08	99.9213	20.8441	20.9471	
75385	[[0][2,3,][1]]	2	1200000	5.00802	4.89334	1.18975	4.08475e+08	99.9214	20.8163	20.947	
77754	[[0][2,3,][1]]	2	1200000	4.9613	4.89341	1.18994	4.0847e+08	99.9215	20.8846	20.9469	
80136	[[0][2,3,][1]]	2	1200000	4.96031	4.89348	1.19012	4.08465e+08	99.9215	20.8497	20.9469	
82504	[[0][2,3,][1]]	2	1200000	4.99001	4.89358	1.19113	4.08457e+08	99.9216	20.8363	20.9467	
84856	[[0][2,3,][1]]	2	1200000	4.92732	4.89361	1.19073	4.08455e+08	99.9217	20.8181	20.9466	
87256	[[0][2,3,][1]]	2	1200000	4.94861	4.89366	1.19065	4.08451e+08	99.9218	20.8402	20.9465	
89301	[[0][2,3,][1]]	2	1200000	4.94669	4.89372	1.19053	4.08447e+08	99.9219	20.8627	20.9464	
91607	[[0][2,3,][1]]	2	1200000	4.96446	4.89379	1.1908	4.08442e+08	99.9219	20.8492	20.9463	
94003	[[0][2,3,][1]]	2	1200000	4.97171	4.89387	1.19125	4.08436e+08	99.922	20.8559	20.9462	
