TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
2201	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	39.2441	39.2441	0	3.05949e+08	99.9984	49.0884	49.0884	
3221	[[0][2,3,4,5,6,7,][1]]	6	2000000	23.1259	23.1259	0	2.59131e+08	99.7888	41.3285	41.3285	
4696	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	37.0836	37.0836	0	4.56219e+08	99.4005	48.8021	48.8021	
6110	[[0][2,3,4,5,6,][1]]	5	1200000	12.1658	12.1658	0	4.10402e+08	99.8372	25.6008	25.6008	
7123	[[0][2,3,4,5,][1]]	4	1700000	13.8557	13.8557	0	2.88315e+08	99.8497	30.8799	30.8799	
8545	[[0][2,3,4,][1]]	3	1200000	7.38465	7.38465	0	4.05672e+08	99.8445	22.5213	22.5213	
10946	[[0][2,3,4,][1]]	3	1200000	7.42867	7.3847	0.0188399	4.05671e+08	99.8446	22.6543	22.5215	
13087	[[0][2,3,4,][1]]	3	1200000	7.37027	7.38468	0.0198175	4.05672e+08	99.8448	22.551	22.5215	
15389	[[0][2,3,4,][1]]	3	1200000	7.4357	7.38473	0.0294814	4.0567e+08	99.8449	22.6029	22.5216	
17794	[[0][2,3,4,][1]]	3	1200000	7.46358	7.38481	0.0448015	4.05666e+08	99.8451	22.4831	22.5215	
20185	[[0][2,3,4,][1]]	3	1200000	7.47892	7.38491	0.0602271	4.05662e+08	99.8452	22.5577	22.5216	
22562	[[0][2,3,4,][1]]	3	1200000	7.54711	7.38507	0.0918842	4.05654e+08	99.8454	22.5449	22.5216	
24930	[[0][2,3,4,][1]]	3	1200000	7.49427	7.38518	0.103045	4.05648e+08	99.8455	22.5428	22.5216	
27276	[[0][2,3,4,][1]]	3	1200000	7.52776	7.38532	0.119711	4.05641e+08	99.8457	22.5232	22.5216	
