TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
2171	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	39.2585	39.2585	0	3.05847e+08	99.9981	49.0307	49.0307	
3619	[[0][2,3,4,5,6,7,][1]]	6	2000000	23.084	23.084	0	2.59198e+08	99.6987	41.5896	41.5896	
5182	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	37.2075	37.2075	0	4.55521e+08	99.5583	49.236	49.236	
7014	[[0][2,3,][1]]	2	1200000	4.90231	4.90231	0	4.07641e+08	99.9129	20.9488	20.9488	
8801	[[0][2,3,4,5,][1]]	4	1700000	13.9986	13.9986	0	2.85435e+08	99.8844	31.0731	31.0731	
10393	[[0][2,][1]]	1	1300000	2.71354	2.71354	0	3.68216e+08	99.9169	20.2434	20.2434	
12617	[[0][2,][1]]	1	1300000	2.69722	2.71352	0.0190111	3.68219e+08	99.917	20.3078	20.2434	
14835	[[0][2,][1]]	1	1300000	2.70558	2.71352	0.0211359	3.6822e+08	99.9171	20.342	20.2435	
17020	[[0][2,][1]]	1	1300000	2.74547	2.71355	0.0428013	3.68216e+08	99.9171	20.282	20.2436	
19231	[[0][2,][1]]	1	1300000	2.71428	2.71355	0.0427883	3.68216e+08	99.9172	20.2947	20.2436	
21543	[[0][2,][1]]	1	1300000	2.59456	2.71343	0.145053	3.68233e+08	99.9173	20.3851	20.2438	
23797	[[0][2,][1]]	1	1300000	2.66235	2.71338	0.156716	3.68241e+08	99.9174	20.3407	20.2439	
26006	[[0][2,][1]]	1	1300000	2.71549	2.71338	0.156657	3.68241e+08	99.9175	20.3227	20.244	
28233	[[0][2,][1]]	1	1300000	2.695	2.71336	0.158037	3.68244e+08	99.9176	20.3187	20.244	
30453	[[0][2,][1]]	1	1300000	2.70212	2.71335	0.158501	3.68246e+08	99.9176	20.3089	20.2441	
32685	[[0][2,][1]]	1	1300000	2.68863	2.71333	0.161019	3.68249e+08	99.9177	20.3097	20.2442	
34901	[[0][2,][1]]	1	1300000	2.70756	2.71332	0.161078	3.6825e+08	99.9178	20.3073	20.2442	
37131	[[0][2,][1]]	1	1300000	2.68989	2.7133	0.163296	3.68254e+08	99.9179	20.2584	20.2442	
39335	[[0][2,][1]]	1	1300000	2.7229	2.71331	0.163597	3.68253e+08	99.918	20.2105	20.2442	
41551	[[0][2,][1]]	1	1300000	2.70713	2.7133	0.163674	3.68254e+08	99.918	20.2243	20.2442	
43751	[[0][2,][1]]	1	1300000	2.7277	2.71331	0.164449	3.68252e+08	99.9181	20.2197	20.2442	
45974	[[0][2,][1]]	1	1300000	2.6989	2.7133	0.165223	3.68255e+08	99.9182	20.2903	20.2442	
48175	[[0][2,][1]]	1	1300000	2.72649	2.71331	0.165853	3.68253e+08	99.9183	20.2772	20.2442	
50369	[[0][2,][1]]	1	1300000	2.73475	2.71333	0.167638	3.6825e+08	99.9184	20.2801	20.2443	
52566	[[0][2,][1]]	1	1300000	2.73031	2.71335	0.168716	3.68248e+08	99.9184	20.9302	20.245	
54738	[[0][2,][1]]	1	1300000	2.76263	2.7134	0.178129	3.68242e+08	99.9185	20.3356	20.245	
56977	[[0][2,][1]]	1	1300000	2.67915	2.71337	0.182459	3.68247e+08	99.9186	20.3218	20.2451	
59173	[[0][2,][1]]	1	1300000	2.73325	2.71339	0.183831	3.68245e+08	99.9187	20.3057	20.2452	
61373	[[0][2,][1]]	1	1300000	2.72671	2.7134	0.184393	3.68243e+08	99.9188	20.2624	20.2452	
63577	[[0][2,][1]]	1	1300000	2.72231	2.71341	0.184592	3.68242e+08	99.9189	20.1822	20.2451	
65772	[[0][2,][1]]	1	1300000	2.73326	2.71343	0.185941	3.6824e+08	99.9189	20.1983	20.2451	
67945	[[0][2,][1]]	1	1300000	2.76145	2.71348	0.19408	3.68234e+08	99.919	20.1405	20.245	
70125	[[0][2,][1]]	1	1300000	2.75169	2.71351	0.199022	3.68229e+08	99.9191	20.204	20.2449	
72329	[[0][2,][1]]	1	1300000	2.72321	2.71352	0.199242	3.68228e+08	99.9192	20.1963	20.2449	
74566	[[0][2,][1]]	1	1300000	2.68128	2.71349	0.202656	3.68233e+08	99.9193	20.187	20.2448	
76722	[[0][2,][1]]	1	1300000	2.78285	2.71356	0.218064	3.68224e+08	99.9193	20.1542	20.2448	
78906	[[0][2,][1]]	1	1300000	2.74833	2.7136	0.221682	3.6822e+08	99.9194	20.1802	20.2447	
81121	[[0][2,][1]]	1	1300000	2.70793	2.71359	0.22167	3.68221e+08	99.9195	20.134	20.2446	
83341	[[0][2,][1]]	1	1300000	2.70352	2.71358	0.22187	3.68222e+08	99.9196	20.2059	20.2445	
85534	[[0][2,][1]]	1	1300000	2.73486	2.7136	0.223139	3.6822e+08	99.9197	20.3196	20.2446	
87717	[[0][2,][1]]	1	1300000	2.74849	2.71364	0.226696	3.68215e+08	99.9197	20.3859	20.2448	
89882	[[0][2,][1]]	1	1300000	2.77207	2.71369	0.236579	3.68208e+08	99.9198	20.3075	20.2448	
92107	[[0][2,][1]]	1	1300000	2.69703	2.71368	0.237257	3.6821e+08	99.9199	20.2149	20.2448	
94303	[[0][2,][1]]	1	1300000	2.73217	2.7137	0.238113	3.68208e+08	99.92	20.2095	20.2448	
96505	[[0][2,][1]]	1	1300000	2.72407	2.71371	0.238299	3.68207e+08	99.9201	20.8509	20.2454	
98687	[[0][2,][1]]	1	1300000	2.7494	2.71374	0.241777	3.68203e+08	99.9201	20.2785	20.2454	
100887	[[0][2,][1]]	1	1300000	2.72726	2.71376	0.242167	3.68201e+08	99.9202	20.2866	20.2454	
103068	[[0][2,][1]]	1	1300000	2.75186	2.71379	0.246077	3.68196e+08	99.9203	20.2388	20.2454	
105276	[[0][2,][1]]	1	1300000	2.71759	2.7138	0.245993	3.68196e+08	99.9204	20.2527	20.2454	
107572	[[0][2,][1]]	1	1300000	2.61301	2.7137	0.272463	3.68211e+08	99.9204	20.2829	20.2455	
109783	[[0][2,][1]]	1	1300000	2.71283	2.7137	0.272329	3.68211e+08	99.9205	20.2735	20.2455	
112008	[[0][2,][1]]	1	1300000	2.69652	2.71368	0.272929	3.68214e+08	99.9206	20.3032	20.2456	
114203	[[0][2,][1]]	1	1300000	2.73422	2.7137	0.273837	3.68211e+08	99.9207	20.2899	20.2456	
116415	[[0][2,][1]]	1	1300000	2.71238	2.7137	0.273704	3.68212e+08	99.9208	20.2965	20.2457	
118605	[[0][2,][1]]	1	1300000	2.73982	2.71372	0.275251	3.68208e+08	99.9208	20.2457	20.2457	
121000	[[0][2,][1]]	1	1300000	2.50537	2.71352	0.366874	3.68239e+08	99.9209	20.2329	20.2456	
123263	[[0][2,][1]]	1	1300000	2.20943	2.71301	0.692384	3.68324e+08	99.921	20.2335	20.2456	
125483	[[0][2,][1]]	1	1300000	2.25211	2.71255	0.876069	3.68399e+08	99.9211	20.1818	20.2456	
127698	[[0][2,][1]]	1	1300000	2.25721	2.7121	1.024	3.68474e+08	99.9212	20.2	20.2455	
130119	[[0][2,][1]]	1	1300000	2.06518	2.71145	1.2715	3.6859e+08	99.9212	20.1882	20.2455	
132417	[[0][2,][1]]	1	1300000	2.17542	2.71091	1.41644	3.68681e+08	99.9213	20.2415	20.2455	
134830	[[0][2,][1]]	1	1300000	2.07222	2.71027	1.60001	3.68795e+08	99.9214	20.1811	20.2454	
137022	[[0][2,][1]]	1	1300000	2.73785	2.7103	1.59952	3.68791e+08	99.9215	20.1791	20.2453	
139190	[[0][2,][1]]	1	1300000	2.76703	2.71036	1.60005	3.68784e+08	99.9215	20.2049	20.2453	
141369	[[0][2,][1]]	1	1300000	2.75419	2.7104	1.60004	3.68778e+08	99.9216	20.2025	20.2452	
143566	[[0][2,][1]]	1	1300000	2.72991	2.71042	1.59939	3.68776e+08	99.9217	20.2626	20.2453	
145739	[[0][2,][1]]	1	1300000	2.76163	2.71047	1.59968	3.68769e+08	99.9218	20.326	20.2453	
147936	[[0][2,][1]]	1	1300000	2.7312	2.71049	1.59905	3.68766e+08	99.9219	20.4746	20.2456	
150118	[[0][2,][1]]	1	1300000	2.74969	2.71053	1.59888	3.68761e+08	99.9219	20.2848	20.2456	
152294	[[0][2,][1]]	1	1300000	2.75688	2.71058	1.59897	3.68755e+08	99.922	20.2336	20.2456	
154491	[[0][2,][1]]	1	1300000	2.73081	2.7106	1.59833	3.68753e+08	99.9221	20.2196	20.2456	
156697	[[0][2,][1]]	1	1300000	2.72078	2.71061	1.59757	3.68751e+08	99.9222	20.2068	20.2455	
158873	[[0][2,][1]]	1	1300000	2.75718	2.71066	1.59766	3.68745e+08	99.9222	20.2387	20.2455	
161063	[[0][2,][1]]	1	1300000	2.73908	2.71068	1.59719	3.68742e+08	99.9223	20.276	20.2456	
