TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
2030	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2000000	44.91	44.91	0	2.4504e+08	99.9983	59.4346	59.4346	
3302	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,][1]]	13	2300000	52.5367	52.5367	0	2.47108e+08	99.7306	75.9443	75.9443	
4415	[[0][2,3,][1]]	2	1800000	7.12964	7.12964	0	2.80644e+08	99.9142	27.5118	27.5118	
6027	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.0806	17.0806	0	4.08526e+08	99.6678	28.7889	28.7889	
7771	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1800000	39.7801	39.7801	0	2.75626e+08	99.6511	52.4931	52.4931	
9429	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	19.0529	19.0529	0	4.19239e+08	99.7544	30.2728	30.2728	
12920	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.9753	21.9753	0	4.08968e+08	99.8309	31.9743	31.9743	
15275	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.3023	21.9756	0.0470312	4.08962e+08	99.8311	31.9866	31.9743	
17530	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.2605	21.9759	0.0623552	4.08958e+08	99.8312	32.0397	31.9744	
19948	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.19	21.9761	0.0695179	4.08954e+08	99.8314	31.9622	31.9744	
22407	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	20.945	21.9751	0.163774	4.08975e+08	99.8316	32.0868	31.9745	
24705	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	20.2795	21.9734	0.293738	4.09011e+08	99.8317	31.9853	31.9745	
27107	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.2973	21.9737	0.29726	4.09005e+08	99.8319	31.9227	31.9744	
29512	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.2819	21.974	0.300396	4.09e+08	99.8321	31.9265	31.9744	
32028	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.7167	21.9738	0.302521	4.09006e+08	99.8322	31.8435	31.9743	
34412	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.1068	21.9739	0.302972	4.09004e+08	99.8324	31.8438	31.9741	
36802	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.4333	21.9744	0.309941	4.08996e+08	99.8326	31.8907	31.974	
