TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
1257	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	38.3591	38.3591	0	3.13216e+08	99.9988	50.6236	
2773	[[0][2,3,4,5,6,7,][1]]	6	2000000	23.9061	23.9061	0	2.50995e+08	99.999	45.2438	
4249	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	35.0215	35.0215	0	4.30486e+08	94.1168	50.1721	
6064	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	2300000	68.5182	68.5182	0	2.19073e+08	99.9989	82.813	
7223	[[0][2,3,4,5,][1]]	4	1700000	13.9858	13.9858	0	2.86198e+08	99.9989	31.6345	
8774	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	97.8349	97.8349	0	2.24951e+08	99.9989	105.197	
9445	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	99.5975	98.7162	1.2626	2.22955e+08	99.9989	105.582	
10128	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	99.3779	98.9368	0.970888	2.22449e+08	99.9989	105.773	
10864	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	94.7925	97.9007	2.26311	2.25004e+08	99.9988	105.977	
11585	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	93.2716	96.9749	2.91072	2.2726e+08	99.9988	106.034	
12300	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	99.327	97.3669	2.77416	2.26305e+08	99.9988	106.002	
13044	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	98.142	97.4776	2.54737	2.26026e+08	99.9987	105.981	
13758	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	98.9661	97.6637	2.4148	2.25575e+08	99.9987	105.938	
14481	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	99.2734	97.8425	2.32045	2.25145e+08	99.9987	105.907	
15196	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	98.6167	97.92	2.20026	2.24948e+08	99.9987	105.905	
15884	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	96.1994	97.7564	2.27367	2.25341e+08	99.9987	105.945	
16596	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	99.0723	97.7039	2.23135	2.25459e+08	99.9987	105.899	
17312	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	98.3615	97.6022	2.16814	2.25687e+08	99.9986	105.836	
18042	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	98.5647	97.9795	1.92184	2.24747e+08	99.9986	105.721	
18749	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	98.8014	98.5324	0.91808	2.23389e+08	99.9986	105.64	
