#Fraction	PrimaryRequired	PrimaryFound	SecondaryOptimal	SecondaryFound	Loss
0.1	33.39618	36.2544	402.323	391.487	-2.69335832155
0.2	41.89216	43.0165	233.982	234.629	0.276516997034
0.3	50.38814	50.7157	173.092	166.234	-3.962054861
0.4	58.88412	56.896	138.58	150.047	8.2746428056
0.5	67.3801	65.5244	120.366	129.209	7.34675905156
0.6	75.87608	72.8231	106.459	126.877	19.1792145333
0.7	84.37206	82.3952	100.134	109.643	9.49627499151
0.8	92.86804	89.5014	90.779	99.058	9.11995064938
0.9	101.36402	96.0931	83.853	93.05	10.96800353
1.0	109.86	103.305	76.823	84.445	9.92150788175
