TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
1133	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	34.8749	34.8749	0	6.71311e+08	99.9995	48.5391	48.5391	
3473	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	22.9068	22.9068	0	9.82213e+08	99.9997	41.4359	41.4359	
5222	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	38.2582	38.2582	0	6.50198e+08	99.9992	49.0143	49.0143	
9462	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	1700000	12.4802	12.4802	0	1.77906e+09	99.9997	31.407	31.407	
10563	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,2,3,4,5,6,7,8,9,][1]]	14	2100000	57.8933	57.8933	0	4.2141e+08	99.9993	71.4749	71.4749	
11799	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,][1]]	21	1400000	59.1426	59.1426	0	3.88753e+08	99.9986	60.2975	60.2975	
12522	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,][1]]	21	1400000	59.3699	59.1653	0.115247	3.88593e+08	99.9986	60.2349	60.2913	
13263	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,][1]]	21	1400000	59.8621	59.235	0.369389	3.88333e+08	99.9986	60.361	60.2982	
13975	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,][1]]	21	1400000	60.0168	59.3132	0.52807	3.87737e+08	99.9986	60.4999	60.3184	
16129	[[0][2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,][1]]	9	1500000	26.4338	26.4338	0	8.71443e+08	99.9995	38.5666	38.5666	
17744	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,][1]]	21	1400000	57.6205	57.6205	0	4.02488e+08	99.9988	60.2669	60.2669	
18498	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,][1]]	21	1400000	59.8094	57.8394	1.13535	4.00818e+08	99.9988	60.2079	60.261	
19194	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,2,][1]]	21	1400000	59.7285	58.0283	1.45137	3.99135e+08	99.9988	60.4074	60.2756	
