TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
1881	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	39.2693	39.2693	0	3.05751e+08	99.9986	49.8049	49.8049	
3050	[[0][2,3,4,5,6,7,][1]]	6	2000000	23.0296	23.0296	0	2.60659e+08	99.7922	42.3505	42.3505	
4495	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	36.5803	36.5803	0	4.62574e+08	99.3943	49.9331	49.9331	
5814	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	2200000	66.1815	66.1815	0	2.25941e+08	99.6599	78.8393	78.8393	
6964	[[0][2,3,4,5,][1]]	4	1700000	13.9018	13.9018	0	2.87375e+08	99.855	34.6894	34.6894	
8245	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	91.3923	91.3923	0	2.17372e+08	99.3034	99.5169	99.5169	
10681	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	90.5869	91.3915	0.0278545	2.17376e+08	99.3041	100.096	99.5175	
12898	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	91.098	91.3912	0.0296331	2.17378e+08	99.3048	100.055	99.518	
15333	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	92.8071	91.3926	0.0572281	2.17376e+08	99.3055	99.9194	99.5184	
17551	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	91.7918	91.393	0.058842	2.17377e+08	99.3062	99.6627	99.5186	
19769	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	92.2936	91.3939	0.0665498	2.17376e+08	99.3069	99.8408	99.5189	
21986	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	91.6944	91.3942	0.067323	2.17377e+08	99.3076	99.6688	99.5191	
24421	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	90.9786	91.3938	0.0688074	2.17379e+08	99.3083	99.721	99.5193	
26856	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	90.2004	91.3926	0.0802069	2.17384e+08	99.3089	99.6132	99.5194	
29291	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	90.0625	91.3913	0.0924288	2.17388e+08	99.3096	99.5738	99.5194	
31509	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	90.1911	91.3901	0.10128	2.17393e+08	99.3103	99.5859	99.5195	
33727	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	90.2691	91.389	0.108401	2.17397e+08	99.311	99.64	99.5196	
35944	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	89.6138	91.3872	0.124534	2.17403e+08	99.3117	99.5096	99.5196	
38162	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	87.0633	91.3829	0.194576	2.17415e+08	99.3124	99.7085	99.5198	
40597	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	86.0052	91.3775	0.269122	2.1743e+08	99.3131	99.741	99.52	
42815	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	76.8355	91.3629	0.570496	2.17473e+08	99.3138	98.8792	99.5194	
45250	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	89.6594	91.3612	0.573258	2.17479e+08	99.3144	99.4683	99.5193	
47468	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	85.9451	91.3558	0.602867	2.17494e+08	99.3151	99.5434	99.5193	
49903	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	89.1484	91.3536	0.607401	2.17501e+08	99.3158	99.513	99.5193	
52338	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	86.7628	91.349	0.627563	2.17514e+08	99.3165	99.6644	99.5195	
54556	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	88.4343	91.3461	0.635325	2.17523e+08	99.3172	99.5087	99.5195	
56774	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	89.6399	91.3444	0.637758	2.17529e+08	99.3179	99.5881	99.5195	
59209	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	86.9166	91.34	0.655625	2.17541e+08	99.3185	99.7907	99.5198	
61427	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	81.6505	91.3303	0.736172	2.17569e+08	99.3192	100.01	99.5203	
63645	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	81.271	91.3202	0.81409	2.17598e+08	99.3199	100.17	99.5209	
65862	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	88.3557	91.3173	0.820154	2.17606e+08	99.3206	99.7297	99.5211	
68298	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	89.3316	91.3153	0.822637	2.17613e+08	99.3213	99.6277	99.5213	
70516	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	86.6911	91.3106	0.837702	2.17626e+08	99.3219	99.8953	99.5216	
72951	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	88.3207	91.3077	0.843683	2.17635e+08	99.3226	99.8151	99.5219	
75169	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	86.2587	91.3026	0.86123	2.17649e+08	99.3233	99.4188	99.5218	
77605	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	89.5841	91.3009	0.862869	2.17655e+08	99.324	99.7065	99.522	
