TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
1566	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	39.1708	39.1708	0	3.06664e+08	99.9989	49.4061	49.4061	
2335	[[0][2,3,4,5,6,7,][1]]	6	2000000	24.4301	24.4301	0	2.44525e+08	99.5391	41.5412	41.5412	
3420	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	40.3928	40.3928	0	4.16746e+08	98.5854	49.2201	49.2201	
4309	[[0][2,3,4,5,][1]]	4	1700000	11.1545	11.1545	0	3.5792e+08	99.7468	31.5292	31.5292	
5196	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	56.3408	56.3408	0	2.4551e+08	98.5406	71.2406	71.2406	
6121	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	26.8636	26.8636	0	3.3265e+08	99.2438	38.7133	38.7133	
7022	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1900000	69.62	69.62	0	2.6929e+08	98.4615	76.9659	76.9659	
7812	[[0][2,3,][1]]	2	2300000	9.37845	9.37845	0	2.13096e+08	99.8209	40.3213	40.3213	
8826	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,][1]]	13	1200000	30.7641	30.7641	0	4.17209e+08	98.6936	38.8349	38.8349	
9743	[[0][2,3,4,5,6,7,8,9,][1]]	8	1600000	25.4417	25.4417	0	3.12379e+08	99.3081	38.622	38.622	
10768	[[0][2,3,4,5,6,][1]]	5	1200000	12.3472	12.3472	0	4.03702e+08	99.6619	26.1624	26.1624	
11193	[[0][2,3,4,5,6,][1]]	5	1200000	12.5152	12.364	0.407579	4.03326e+08	99.6956	26.7666	26.2229	
11602	[[0][2,3,4,5,6,][1]]	5	1200000	12.5043	12.378	0.514526	4.0299e+08	99.7259	26.6286	26.2634	
12000	[[0][2,3,4,5,6,][1]]	5	1200000	12.6006	12.4003	0.726156	4.02376e+08	99.7533	26.6776	26.3048	
13190	[[0][2,3,4,5,6,][1]]	5	1200000	12.4159	12.4018	0.689845	4.02414e+08	99.7778	26.2416	26.2985	
