TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
1747	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	39.337	39.337	0	3.05165e+08	99.9989	50.0923	50.0923	
2938	[[0][2,3,4,5,6,7,][1]]	6	2000000	22.9864	22.9864	0	2.61052e+08	99.8352	44.7488	44.7488	
4391	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	36.7121	36.7121	0	4.61006e+08	99.3988	49.7965	49.7965	
5839	[[0][2,][1]]	1	1200000	2.34357	2.34357	0	4.26482e+08	99.9491	20.0207	20.0207	
6846	[[0][2,3,4,5,][1]]	4	1700000	13.8635	13.8635	0	2.88057e+08	99.7968	31.4694	31.4694	
8306	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.0233	17.0233	0	4.09936e+08	99.6754	29.3245	29.3245	
10693	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.1242	17.0234	0.0187327	4.09935e+08	99.6757	29.5397	29.3247	
13091	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.2366	17.0237	0.0437757	4.09931e+08	99.676	29.4577	29.3248	
15264	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.4153	17.024	0.0848546	4.09923e+08	99.6764	29.45	29.3249	
17587	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.4195	17.0244	0.112177	4.09915e+08	99.6767	29.4174	29.325	
19969	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.3809	17.0248	0.130191	4.09908e+08	99.677	29.3735	29.3251	
22352	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.4805	17.0253	0.155208	4.09899e+08	99.6773	29.348	29.3251	
24755	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.2866	17.0255	0.162537	4.09894e+08	99.6776	29.3724	29.3251	
27285	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	14.9153	17.0234	0.424152	4.09954e+08	99.678	29.5137	29.3253	
29667	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.6221	17.023	0.430448	4.09965e+08	99.6783	29.3781	29.3254	
32078	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.448	17.0234	0.437399	4.09957e+08	99.6786	29.341	29.3254	
34512	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.395	17.0238	0.442581	4.09949e+08	99.6789	29.4131	29.3255	
36744	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.4794	17.0243	0.450362	4.0994e+08	99.6792	29.4557	29.3256	
39128	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.5252	17.0238	0.459589	4.09954e+08	99.6796	29.4924	29.3258	
41382	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.5229	17.0243	0.4686	4.09943e+08	99.6799	29.4003	29.3259	
43774	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.563	17.0248	0.478912	4.09932e+08	99.6802	29.3455	29.3259	
46162	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.5246	17.0253	0.487569	4.09922e+08	99.6805	29.3679	29.3259	
48511	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9486	17.0252	0.487535	4.09925e+08	99.6808	29.405	29.326	
50870	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.4359	17.0256	0.493208	4.09916e+08	99.6812	29.3424	29.326	
53253	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8775	17.0255	0.493732	4.09921e+08	99.6815	29.3434	29.326	
55657	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.0658	17.0255	0.493541	4.09922e+08	99.6818	29.3912	29.3261	
58041	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.4106	17.0259	0.498436	4.09914e+08	99.6821	29.376	29.3262	
60445	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.2279	17.0261	0.49959	4.0991e+08	99.6824	29.3017	29.3261	
62759	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.2081	17.0263	0.500477	4.09907e+08	99.6827	29.3523	29.3262	
65146	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.3516	17.0266	0.503848	4.09901e+08	99.6831	29.3114	29.3261	
67516	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.2894	17.0269	0.505946	4.09896e+08	99.6834	29.1891	29.326	
69889	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.2703	17.0271	0.5077	4.09891e+08	99.6837	29.1598	29.3258	
72279	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.3071	17.0274	0.510093	4.09886e+08	99.684	29.1301	29.3256	
74665	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.219	17.0276	0.511071	4.09882e+08	99.6843	29.1485	29.3255	
77010	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.253	17.0278	0.512519	4.09878e+08	99.6846	29.1048	29.3252	
79348	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.1694	17.028	0.512932	4.09876e+08	99.685	29.127	29.325	
81739	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.1383	17.0281	0.513081	4.09875e+08	99.6853	29.0847	29.3248	
84053	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.2765	17.0283	0.514886	4.0987e+08	99.6856	29.0955	29.3246	
86441	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.1474	17.0284	0.515099	4.09869e+08	99.6859	29.1991	29.3244	
88870	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.0864	17.0285	0.514952	4.09868e+08	99.6862	29.0001	29.3241	
91278	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.0652	17.0285	0.514738	4.09869e+08	99.6865	29.1099	29.3239	
93633	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9755	17.0285	0.514577	4.09871e+08	99.6868	29.0841	29.3237	
96006	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.0174	17.0285	0.514324	4.09873e+08	99.6871	29.0812	29.3234	
98344	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.0743	17.0285	0.514135	4.09873e+08	99.6875	29.0318	29.3231	
100749	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9197	17.0284	0.514278	4.09877e+08	99.6878	29.0002	29.3228	
103130	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8904	17.0283	0.514663	4.09881e+08	99.6881	28.9899	29.3225	
105512	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.035	17.0283	0.514407	4.09883e+08	99.6884	29.31	29.3225	
107918	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9447	17.0282	0.514386	4.09886e+08	99.6887	29.0062	29.3222	
110176	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8187	17.028	0.515603	4.09892e+08	99.689	29.0938	29.3219	
112592	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.7247	17.0277	0.518421	4.09901e+08	99.6893	29.1105	29.3217	
114863	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.0074	17.0277	0.518176	4.09903e+08	99.6896	29.0663	29.3215	
117214	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9771	17.0276	0.518003	4.09905e+08	99.6899	29.0984	29.3212	
119619	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9919	17.0276	0.517788	4.09907e+08	99.6902	29.0783	29.321	
122013	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9466	17.0275	0.51775	4.0991e+08	99.6906	29.0976	29.3208	
124380	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8318	17.0273	0.51877	4.09916e+08	99.6909	29.0545	29.3205	
126786	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.3521	17.0266	0.533462	4.09935e+08	99.6912	28.943	29.3201	
129161	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9558	17.0265	0.53336	4.09938e+08	99.6915	29.0071	29.3198	
131402	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9808	17.0265	0.533162	4.0994e+08	99.6918	29.0248	29.3195	
133828	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9148	17.0264	0.533302	4.09944e+08	99.6921	28.9989	29.3192	
136222	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.7454	17.0261	0.53559	4.09952e+08	99.6924	28.9834	29.3189	
138580	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8925	17.026	0.535901	4.09956e+08	99.6927	28.9932	29.3185	
140945	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9312	17.0259	0.535925	4.0996e+08	99.693	28.8884	29.3181	
143352	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.9293	17.0258	0.53596	4.09964e+08	99.6933	28.7451	29.3175	
145683	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.7854	17.0255	0.537554	4.09971e+08	99.6936	28.9989	29.3172	
148090	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8094	17.0253	0.538789	4.09977e+08	99.6939	28.8246	29.3167	
150477	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8924	17.0252	0.539089	4.09982e+08	99.6942	28.8821	29.3163	
152692	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	17.0834	17.0253	0.538926	4.09982e+08	99.6945	28.7782	29.3157	
155077	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8347	17.0251	0.539823	4.09987e+08	99.6948	28.8981	29.3153	
157339	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.4387	17.0245	0.550444	4.10003e+08	99.6952	29.0698	29.3151	
159741	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.706	17.0242	0.553347	4.10012e+08	99.6955	28.8675	29.3146	
162094	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8831	17.024	0.553695	4.10017e+08	99.6958	28.899	29.3142	
164509	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.3229	17.0233	0.568544	4.10036e+08	99.6961	28.8966	29.3138	
166915	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.7482	17.023	0.570561	4.10044e+08	99.6964	28.8975	29.3134	
169248	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.4436	17.0225	0.580356	4.1006e+08	99.6967	28.9448	29.313	
171656	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.8994	17.0223	0.58052	4.10064e+08	99.697	28.8646	29.3126	
174133	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	15.1135	17.0204	0.679995	4.10118e+08	99.6973	29.0764	29.3123	
176481	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.7556	17.0202	0.681443	4.10125e+08	99.6976	28.9232	29.3119	
178766	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	15.2756	17.0184	0.754301	4.10174e+08	99.6979	28.9285	29.3116	
181086	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	15.858	17.0173	0.784177	4.10206e+08	99.6982	28.9789	29.3112	
183440	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.4023	17.0166	0.792092	4.10223e+08	99.6985	28.9695	29.3109	
185804	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.1514	17.0158	0.807885	4.10246e+08	99.6988	29.0234	29.3106	
188128	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	16.4281	17.0152	0.814855	4.10262e+08	99.6991	28.9776	29.3103	
