TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
2030	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	39.2405	39.2405	0	3.05977e+08	99.9984	49.6878	49.6878	
3472	[[0][2,3,4,5,6,7,][1]]	6	2000000	23.075	23.075	0	2.59588e+08	99.7969	42.0402	42.0402	
5048	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	37.2247	37.2247	0	4.55251e+08	99.549	49.7035	49.7035	
6807	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	2000000	75.2768	75.2768	0	2.51152e+08	99.4607	81.9267	81.9267	
7886	[[0][2,3,4,5,][1]]	4	1700000	13.857	13.857	0	2.88215e+08	99.8427	31.1218	31.1218	
9288	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	78.9005	78.9005	0	2.6365e+08	99.0357	83.0338	83.0338	
11452	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	80.312	78.9019	0.0565462	2.63648e+08	99.0366	83.3653	83.0342	
13709	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	77.2152	78.9002	0.0880908	2.63656e+08	99.0376	83.4893	83.0346	
15945	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	80.174	78.9015	0.101763	2.63655e+08	99.0386	83.1835	83.0348	
18201	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	79.3018	78.9019	0.102968	2.63656e+08	99.0395	83.2511	83.035	
20461	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	80.0794	78.903	0.11321	2.63654e+08	99.0405	82.9947	83.0349	
22721	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	79.9803	78.9041	0.121102	2.63653e+08	99.0414	82.9981	83.0349	
24975	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	79.3085	78.9045	0.12212	2.63654e+08	99.0424	82.3627	83.0342	
27237	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	78.6567	78.9043	0.122462	2.63658e+08	99.0433	82.9728	83.0342	
29498	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	78.2999	78.9037	0.124773	2.63662e+08	99.0443	83.0328	83.0342	
31745	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	77.8446	78.9026	0.13173	2.63669e+08	99.0453	83.0321	83.0342	
33967	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	77.4987	78.9012	0.143174	2.63676e+08	99.0462	82.988	83.0341	
36235	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	78.0139	78.9003	0.147452	2.63681e+08	99.0472	82.9751	83.0341	
38503	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	77.8607	78.8993	0.153151	2.63688e+08	99.0481	83.0486	83.0341	
40759	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	77.6089	78.898	0.16157	2.63694e+08	99.0491	83.0487	83.0341	
43022	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1900000	76.7731	78.8959	0.182556	2.63704e+08	99.05	83.1603	83.0342	
