TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
2036	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	2000000	71.8834	71.8834	0	2.50542e+08	99.9983	79.1869	79.1869	
3768	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	21.6489	21.6489	0	5.04222e+08	99.1873	35.5274	35.5274	
5401	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1300000	38.7014	38.7014	0	3.86117e+08	99.5733	44.7135	44.7135	
7113	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	2400000	47.0031	47.0031	0	2.12332e+08	99.7732	63.6451	63.6451	
8478	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1300000	49.1727	49.1727	0	3.82916e+08	99.0844	51.9081	51.9081	
10396	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.0135	22.0135	0	4.07731e+08	99.7176	31.8701	31.8701	
12205	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1600000	69.3114	69.3114	0	3.14246e+08	98.959	70.1593	70.1593	
13910	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.8309	21.8309	0	4.1123e+08	99.7234	31.6568	31.6568	
16259	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	18.5661	21.8276	0.472741	4.11305e+08	99.7237	31.9389	31.6571	
18663	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.2674	21.828	0.476767	4.11298e+08	99.724	31.8439	31.6573	
21029	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.1758	21.8284	0.479174	4.11293e+08	99.7242	32.0955	31.6577	
23430	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.2269	21.8288	0.482389	4.11287e+08	99.7245	31.8691	31.658	
25824	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.4191	21.8284	0.485793	4.11296e+08	99.7248	31.8602	31.6582	
28230	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.3526	21.8289	0.491436	4.11287e+08	99.7251	31.8022	31.6583	
30598	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.3292	21.8294	0.496493	4.11279e+08	99.7253	31.8523	31.6585	
32974	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.6537	21.8292	0.496901	4.11284e+08	99.7256	31.8535	31.6587	
35304	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.172	21.8296	0.499118	4.11279e+08	99.7259	31.9204	31.6589	
37633	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.2905	21.829	0.50495	4.1129e+08	99.7262	32.0495	31.6593	
40000	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.1781	21.8294	0.507214	4.11285e+08	99.7264	31.7777	31.6595	
42394	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.9186	21.8295	0.507123	4.11284e+08	99.7267	31.8535	31.6597	
44671	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.0023	21.8296	0.507483	4.11282e+08	99.727	31.8078	31.6598	
47003	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.9912	21.8298	0.507764	4.1128e+08	99.7272	31.7917	31.6599	
49317	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	22.0227	21.83	0.508273	4.11278e+08	99.7275	31.7642	31.66	
51684	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.9877	21.8302	0.508529	4.11276e+08	99.7278	31.7216	31.6601	
54064	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.9222	21.8302	0.508447	4.11275e+08	99.7281	31.781	31.6602	
56388	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.8615	21.8303	0.508212	4.11276e+08	99.7283	31.7795	31.6603	
58799	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.8256	21.8303	0.507958	4.11277e+08	99.7286	31.8128	31.6605	
61206	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1200000	21.8949	21.8303	0.507789	4.11277e+08	99.7289	31.845	31.6607	
