#Workers	Frequency	Time	Watts	Bandwidth
1	1200000	3122.24	19.3268	2.40084
1	1300000	2880.96	20.2197	2.60191
1	1400000	2658.85	21.1582	2.81926
1	1500000	2494.18	22.0978	3.0054
1	1600000	2334.81	23.0463	3.21054
1	1700000	2200.49	23.9986	3.40651
1	1800000	2077.75	24.9848	3.60775
1	1900000	1968.82	26.0209	3.80736
1	2000000	1869.35	27.0086	4.00995
1	2100000	1780.76	28.1233	4.20944
1	2200000	1699.68	29.1873	4.41024
1	2300000	1625.84	30.248	4.61054
1	2400000	1557.14	31.3943	4.81395
2	1200000	1565.76	20.8058	4.78745
2	1300000	1444.84	21.8737	5.18812
2	1400000	1341.25	22.9398	5.58882
2	1500000	1240.09	24.0494	6.04472
2	1600000	1172.65	25.0739	6.39236
2	1700000	1103.35	26.2378	6.79386
2	1800000	1042.17	27.4864	7.19268
2	1900000	987.195	28.621	7.59323
2	2000000	937.584	29.8455	7.99502
2	2100000	892.757	31.112	8.39646
2	2200000	848.158	32.3804	8.83798
2	2300000	814.883	33.5375	9.19887
2	2400000	780.254	34.9032	9.60713
3	1200000	1046.81	22.4939	7.1608
3	1300000	960.85	23.7093	7.80143
3	1400000	896.312	24.8668	8.36316
3	1500000	836.51	26.0583	8.96104
3	1600000	782.908	27.2686	9.57456
3	1700000	738.562	28.9293	10.1495
3	1800000	692.9	29.8253	10.8183
3	1900000	660.029	31.174	11.3571
3	2000000	626.501	32.6117	11.9649
3	2100000	596.872	34.0805	12.5588
3	2200000	569.946	35.5134	13.1521
3	2300000	545.052	36.9343	13.7528
3	2400000	523.157	38.2917	14.3284
4	1200000	787.027	23.8631	9.52445
4	1300000	727.003	25.3074	10.3108
4	1400000	674.942	26.6721	11.1061
4	1500000	629.907	28.0013	11.9002
4	1600000	590.558	29.4057	12.6931
4	1700000	555.735	30.8783	13.4884
4	1800000	524.741	32.2979	14.2851
4	1900000	497.036	33.7002	15.0814
4	2000000	471.643	35.2163	15.8934
4	2100000	449.796	37.0173	16.6653
4	2200000	429.186	38.6126	17.4656
4	2300000	410.735	40.1413	18.2502
4	2400000	393.276	41.7797	19.0604
5	1200000	631.776	25.5912	11.865
5	1300000	583.414	27.0457	12.8485
5	1400000	541.775	28.5539	13.836
5	1500000	505.373	30.0408	14.8326
5	1600000	473.711	31.4587	15.824
5	1700000	445.796	33.2324	16.8149
5	1800000	419.841	34.8826	17.8544
5	1900000	398.919	36.4677	18.7908
5	2000000	378.983	38.1979	19.7793
5	2100000	361.149	39.9314	20.756
5	2200000	344.683	41.7926	21.7475
5	2300000	329.779	43.4871	22.7304
5	2400000	316.112	45.4223	23.7131
6	1200000	528.141	27.1032	14.1932
6	1300000	486.697	28.7851	15.4018
6	1400000	452.702	30.4009	16.5584
6	1500000	422.564	32.0535	17.7393
6	1600000	396.17	33.8073	18.9212
6	1700000	372.979	35.4454	20.0976
6	1800000	352.242	37.3862	21.2808
6	1900000	333.708	39.2977	22.4628
6	2000000	317.035	41.186	23.6441
6	2100000	303.256	43.0735	24.7184
6	2200000	288.454	45.0892	25.9868
6	2300000	276.039	47.0197	27.1556
6	2400000	264.731	49.2653	28.3155
7	1200000	453.884	28.7065	16.5152
7	1300000	418.932	30.5853	17.8931
7	1400000	388.159	32.2017	19.3117
7	1500000	363.153	34.1216	20.6414
7	1600000	340.543	36.0186	22.0119
7	1700000	320.449	37.9296	23.3922
7	1800000	302.94	39.8552	24.7442
7	1900000	287.029	41.991	26.1158
7	2000000	272.781	44.1285	27.4799
7	2100000	259.923	46.0665	28.8393
7	2200000	248.223	48.4967	30.1987
7	2300000	237.532	50.719	31.5579
7	2400000	227.79	52.6452	32.9075
8	1200000	398.241	30.2895	18.8228
8	1300000	367.743	32.1721	20.3838
8	1400000	341.628	34.0377	21.942
8	1500000	319.034	36.0621	23.4959
8	1600000	299.226	37.9576	25.0513
8	1700000	281.625	40.218	26.617
8	1800000	266.838	42.4686	28.092
8	1900000	252.241	44.4735	29.7176
8	2000000	239.787	47.1256	31.2611
8	2100000	229.312	49.2725	32.6891
8	2200000	218.194	51.7445	34.3547
8	2300000	208.963	54.2242	35.8724
8	2400000	200.67	56.6368	37.3549
9	1200000	355.468	31.8531	21.0877
9	1300000	328.358	33.921	22.8287
9	1400000	304.995	36.0605	24.5775
9	1500000	284.527	38.2222	26.3455
9	1600000	267.271	40.42	28.0464
9	1700000	251.582	42.5448	29.7955
9	1800000	237.815	45.0533	31.5203
9	1900000	225.502	47.405	33.2414
9	2000000	214.343	49.9117	34.972
9	2100000	204.312	52.4588	36.689
9	2200000	194.916	54.9316	38.4576
9	2300000	186.893	57.3721	40.1085
9	2400000	179.346	60.1542	41.7963
10	1200000	321.24	33.3137	23.3346
10	1300000	297.161	35.3331	25.2254
10	1400000	275.984	37.8212	27.161
10	1500000	257.764	40.001	29.0809
10	1600000	241.924	42.4952	30.9849
10	1700000	228.069	45.0385	32.8672
10	1800000	215.795	47.5242	34.7367
10	1900000	204.417	50.1919	36.6701
10	2000000	195.007	53.0254	38.4396
10	2100000	185.485	55.3763	40.413
10	2200000	177.405	58.3183	42.2536
10	2300000	169.944	61.0098	44.1086
10	2400000	162.812	63.9383	46.0408
11	1200000	293.795	35.0013	25.5144
11	1300000	271.528	37.4826	27.6067
11	1400000	252.025	40.5296	29.7431
11	1500000	235.471	43.3818	31.8341
11	1600000	221.411	46.3993	33.8556
11	1700000	208.81	49.1998	35.8987
11	1800000	197.119	52.6445	38.0278
11	1900000	186.949	55.6431	40.0965
11	2000000	177.858	59.2133	42.146
11	2100000	169.645	62.3781	44.1864
11	2200000	162.098	65.3508	46.2436
11	2300000	155.314	69.0197	48.2635
11	2400000	149.048	72.606	50.2925
12	1200000	275.257	37.3708	27.2327
12	1300000	253.976	40.1461	29.5146
12	1400000	235.868	43.333	31.7805
12	1500000	221.569	46.2556	33.8314
12	1600000	207.921	49.0881	36.0522
12	1700000	196.734	51.8413	38.1022
12	1800000	185.609	55.883	40.386
12	1900000	176.535	59.4557	42.4618
12	2000000	166.946	62.8969	44.9007
12	2100000	160.109	66.6997	46.8181
12	2200000	152.756	69.5684	49.0717
12	2300000	146.678	73.6249	51.1051
12	2400000	140.781	77.0171	53.2458
13	1200000	252.544	39.3048	29.682
13	1300000	233.781	42.2409	32.0642
13	1400000	217.183	45.6563	34.5147
13	1500000	203.745	48.6807	36.7911
13	1600000	190.742	52.4244	39.2992
13	1700000	180.201	55.3566	41.598
13	1800000	170.626	58.693	43.9323
13	1900000	161.876	62.1146	46.307
13	2000000	153.648	65.7917	48.7868
13	2100000	146.449	69.618	51.1851
13	2200000	140.519	72.7719	53.3451
13	2300000	135.435	76.22	55.3476
13	2400000	129.943	80.5158	57.6868
14	1200000	233.982	41.0694	32.0367
14	1300000	216.681	44.1143	34.5946
14	1400000	201.163	47.2453	37.2633
14	1500000	188.564	50.6875	39.7531
14	1600000	176.692	54.0874	42.4241
14	1700000	166.807	57.7175	44.9382
14	1800000	158.397	61.1693	47.3241
14	1900000	150.041	64.7734	49.9597
14	2000000	142.308	68.7394	52.6745
14	2100000	135.822	72.6972	55.1899
14	2200000	130.397	76.11	57.486
14	2300000	124.473	79.9618	60.2219
14	2400000	119.81	83.6906	62.5657
15	1200000	218.08	42.6709	34.3727
15	1300000	201.774	45.81	37.1505
15	1400000	187.616	49.2595	39.9539
15	1500000	175.337	52.8376	42.752
15	1600000	165.426	56.2114	45.3133
