TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
567	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	286.76	286.76	0	3.83648e+07	99.9986	70.9512	70.9512	
1339	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	111.149	111.149	0	9.89659e+07	99.9995	31.0446	31.0446	
2416	[[0][2,3,4,5,6,][1]]	5	2400000	98.7389	98.7389	0	5.06384e+07	99.9995	41.6801	41.6801	
3233	[[0][2,3,4,5,6,][1]]	5	1200000	48.9387	48.9387	0	1.02168e+08	99.9994	23.7545	23.7545	
4340	[[0][2,3,][1]]	2	2400000	39.0774	39.0774	0	5.11802e+07	99.9995	33.3194	33.3194	
5166	[[0][2,3,][1]]	2	1200000	19.3151	19.3151	0	1.03544e+08	99.998	20.1236	20.1236	
6305	[[0][2,][1]]	1	2400000	19.2734	19.2734	0	5.18842e+07	99.9987	30.7135	30.7135	
6975	[[0][2,][1]]	1	1500000	11.9069	11.9069	0	8.39845e+07	99.9995	21.5179	21.5179	
7995	[[0][2,3,][1]]	2	2400000	37.2993	37.2993	0	5.36202e+07	99.9997	33.5134	33.5134	
8883	[[0][2,3,][1]]	2	1200000	17.7648	17.7648	0	1.12582e+08	99.9996	20.8836	20.8836	
9912	[[0][2,3,][1]]	2	1200000	17.4982	17.5248	0.45647	1.14126e+08	99.9996	20.5465	20.5802	
10941	[[0][2,3,][1]]	2	1200000	17.4961	17.4989	0.152746	1.14293e+08	99.9996	20.5604	20.5624	
11983	[[0][2,3,][1]]	2	1200000	17.2758	17.2981	0.38999	1.1562e+08	99.9993	20.3016	20.3276	
13046	[[0][2,3,][1]]	2	1200000	16.951	16.9858	0.625765	1.1775e+08	99.9997	20.1377	20.1567	
14113	[[0][2,3,][1]]	2	1200000	16.8626	16.8749	0.296002	1.1852e+08	99.9997	20.0487	20.0595	
15160	[[0][2,3,][1]]	2	1200000	17.1803	17.1497	0.542056	1.16623e+08	99.9995	20.0904	20.0873	
